PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,3558240490,173.5271301,-66.77523041,137.3610687,0,0,0,0,0,0
1,3558257157,173.5861816,-66.81697083,137.2997284,9.105172157,0.420234829,-3.892822981,3.440777779,0.831714809,0.382263124
2,3558273824,173.6906738,-66.82061005,137.1613159,9.086853981,0.434231728,-3.847279072,2.718704939,0.675963998,0.261845052
3,3558290491,173.7483521,-66.85414124,137.0778351,9.095371246,0.417476863,-3.904411793,2.752475023,1.312734008,0.23281306
4,3558307158,173.8228912,-66.86540222,136.9826813,9.059391975,0.423877597,-3.841636896,2.634400845,1.446022749,0.438162893
5,3558323825,173.8875275,-66.86590576,136.969986,9.050187111,0.41358757,-3.794087172,2.761849642,0.220582992,0.411167085
6,3558340492,173.958725,-66.86575317,136.8857727,9.110525131,0.433304518,-3.896839619,2.71455574,-0.758084655,0.65345037
7,3558357159,174.0132599,-66.89006805,136.7975006,9.08535862,0.438467085,-3.913872004,2.747596025,1.359759092,0.649467647
8,3558373826,174.0582123,-66.89637756,136.7151184,9.052688599,0.409528285,-3.878269434,2.530951023,0.833520412,0.602954924
9,3558390493,174.1018524,-66.90288544,136.6290436,9.037304878,0.407009244,-3.859685421,2.328623295,0.922729433,0.541727781
10,3558407160,174.1422577,-66.91581726,136.5781555,9.086951256,0.384296596,-3.832213163,2.375763416,1.276159048,0.409041196
11,3558423827,174.1870422,-66.934021,136.5087738,9.060049057,0.367793411,-3.83082366,2.343837261,1.321250319,0.404661417
12,3558440494,174.236145,-66.93771362,136.4720917,9.087863922,0.401785135,-3.887692213,2.197998762,0.332536101,0.331780493
13,3558457161,174.2896881,-66.94857788,136.412262,9.111498833,0.405442655,-3.908461332,2.531975508,0.847274542,0.388422966
14,3558473828,174.3419952,-66.96072388,136.3486481,9.064965248,0.414619148,-3.878153801,2.347570181,1.002980471,0.491289973
15,3558490495,174.4053955,-66.95938873,136.2718353,9.049143791,0.421663284,-3.848725557,2.763763905,0.211381629,0.587158322
16,3558507162,174.4619598,-66.95963287,136.2179108,9.055880547,0.408004403,-3.850082636,2.816507101,0.292554647,0.477708817
17,3558523829,174.5098419,-66.96177673,136.1535645,9.044232368,0.388076663,-3.818235874,2.419126034,0.378190756,0.464070112
18,3558540496,174.5535583,-66.9682312,136.1009979,9.066819191,0.392276883,-3.814493895,2.221869707,0.566853881,0.450815529
19,3558557163,174.594574,-66.98323059,136.0506134,9.079003334,0.406126559,-3.859527349,2.32917428,1.017803907,0.382788211
20,3558573830,174.6361237,-67.00030518,136.0076141,9.094053268,0.422556162,-3.856298447,2.550762415,1.151527762,0.334636331
21,3558590497,174.6799622,-67.01272583,135.9661255,9.107087135,0.412318587,-3.860299587,2.784856081,0.866528928,0.305636346
22,3558607164,174.7187347,-67.03149414,135.9388123,9.097286224,0.402195662,-3.846697807,2.541093349,1.244168758,0.333650231
23,3558623831,174.7515106,-67.04072571,135.8905334,9.052520752,0.401029676,-3.825512171,2.171489477,0.66155684,0.288059622
24,3558640498,174.7862701,-67.04969788,135.843811,9.044078827,0.408173293,-3.822592497,2.382205248,0.639555573,0.251151741
25,3558657165,174.8226624,-67.05586243,135.821106,9.049386024,0.398868382,-3.831277847,2.521365166,0.466176748,0.22867018
26,3558673832,174.8506927,-67.06218719,135.7193298,9.06358242,0.395157725,-3.823883295,2.462104082,0.491411686,0.043829735
27,3558690499,174.8815308,-67.06665802,135.7458649,9.078913689,0.422032446,-3.836373091,2.400992155,0.362080306,0.126968563
28,3558707166,174.9117126,-67.0710144,135.6580963,9.104235649,0.410701007,-3.865555048,2.21468544,0.347686023,0.204459801
29,3558723833,174.9373627,-67.0729599,135.6227112,9.090672493,0.394659758,-3.849313974,2.352712154,0.224117503,0.025106849
30,3558740500,174.966568,-67.07201385,135.5995941,9.063222885,0.386830091,-3.829139233,2.269317389,0.044316374,0.129414573
31,3558757167,174.9947968,-67.06488037,135.5500031,9.040097237,0.375332624,-3.8205266,2.02839756,-0.340117425,0.162781492
32,3558773834,175.0229034,-67.04936218,135.5131836,9.047739029,0.377473414,-3.818600416,1.978465915,-0.843746424,0.125361353
33,3558790501,175.0448608,-67.03109741,135.4905548,9.065054893,0.373448074,-3.843302011,2.053402185,-0.996538997,-0.086430058
34,3558807168,175.0612946,-67.00882721,135.4837494,9.066596985,0.350460351,-3.853921175,2.092884064,-1.221162319,-0.276066482
35,3558823835,175.0798187,-66.98435211,135.4788208,9.061504364,0.372512847,-3.860139132,2.237864733,-1.352248073,-0.314946532
36,3558840502,175.1004028,-66.95872498,135.440979,9.090156555,0.356743276,-3.87258172,2.560149431,-1.410683513,-0.414208591
37,3558857169,175.1216125,-66.93177795,135.4610443,9.091238022,0.370126754,-3.859595537,2.597794056,-1.48971796,-0.434333801
38,3558873836,175.1390533,-66.90357208,135.474884,9.091263771,0.380658746,-3.853352785,2.455995083,-1.563962698,-0.483554929
39,3558890503,175.1489563,-66.8733139,135.4593964,9.079288483,0.392537236,-3.849243879,2.283948183,-1.683682561,-0.61573571
40,3558907170,175.1590424,-66.84390259,135.4709625,9.099222183,0.392917275,-3.837542057,2.209345102,-1.646883965,-0.573750079
41,3558923837,175.1695251,-66.81684875,135.4667053,9.095612526,0.370984972,-3.840149641,2.204574823,-1.523533106,-0.548598468
42,3558940504,175.1820526,-66.79468536,135.4669342,9.095938683,0.366691709,-3.887872934,2.108891964,-1.24869597,-0.43573603
43,3558957171,175.1956024,-66.77577209,135.463562,9.06981945,0.392689228,-3.896016598,2.278832197,-1.054397941,-0.473924577
44,3558973838,175.210022,-66.75365448,135.4344635,9.036397934,0.366942436,-3.865400791,2.614851475,-1.234852195,-0.610952556
45,3558990505,175.2208862,-66.72041321,135.4631042,9.06758213,0.367849857,-3.888970375,2.521666288,-1.89484024,-0.722175598
46,3559007172,175.2187042,-66.68984985,135.474884,9.070889473,0.360670358,-3.873707771,2.203018904,-1.719956756,-0.914591074
47,3559023839,175.2208252,-66.66140747,135.4922333,9.052456856,0.367934138,-3.848344564,2.325255394,-1.600934625,-0.853504777
48,3559040506,175.2312317,-66.63289642,135.48703,9.054204941,0.35956195,-3.864504337,2.351534128,-1.63519156,-0.656184614
49,3559057173,175.2306519,-66.6014328,135.5155487,9.059403419,0.387688875,-3.912660837,2.002208948,-1.803383827,-0.810405076
50,3559073840,175.2338867,-66.58001709,135.5585327,9.086064339,0.408328384,-3.943988323,2.310662508,-1.199897289,-0.795395851
51,3559090507,175.2493439,-66.5688858,135.5500336,9.0391922,0.427999884,-3.93274951,2.836440086,-0.589879692,-0.648980975
52,3559107174,175.2657471,-66.550354,135.5113525,9.033572197,0.436276674,-3.941146851,2.370948553,-1.043486953,-0.452179402
53,3559123841,175.2789307,-66.52796173,135.5639343,9.018507957,0.403747141,-3.944921732,2.651074648,-1.255880356,-0.666455269
