PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,1442794611,-1.6073532,9.40641,13.534927,3.044423,1.0530152,0.53201133,-0.5780329,1.314025,0.70582116,0.0,0.0,0.0,0.0,0.0,0.0
1,1442811278,-1.6261063,9.437675,13.51469,2.729361,1.0281048,0.5306448,-0.5766655,1.2840033,0.8011826,0.045489,0.017135,0.008844,-0.009611,0.0214,0.013353
2,1442827945,-1.646431,9.470543,13.492798,2.387391,1.0011277,0.5292805,-0.57502687,1.2514597,0.90554965,0.085279,0.03382,0.017665,-0.019195,0.042258,0.028445
3,1442844612,-1.6681213,9.504501,13.46944,2.0234804,0.9724837,0.52794576,-0.5731189,1.2166934,1.0175072,0.119004,0.050028,0.026464,-0.028747,0.062536,0.045403
4,1442861279,-1.6951065,9.549667,13.440262,1.5367136,0.9340637,0.52609825,-0.5707866,1.1731018,1.1660281,0.144616,0.065596,0.035232,-0.03826,0.082088,0.064837
5,1442877946,-1.7265778,9.603813,13.406136,0.9476576,0.88752925,0.52386504,-0.56803966,1.1220101,1.3453354,0.16041,0.080388,0.043963,-0.047727,0.100788,0.087259
6,1442894613,-1.7499924,9.649826,13.3784485,0.55886173,0.85791165,0.5224962,-0.5609134,1.0793508,1.4565727,0.169724,0.094687,0.052671,-0.057076,0.118777,0.111535
7,1442911280,-1.7646561,9.687477,13.357647,0.38510036,0.8464769,0.5220419,-0.5489619,1.0456798,1.4943372,0.176142,0.108795,0.061372,-0.066225,0.136205,0.136441
8,1442927947,-1.7761078,9.723618,13.338852,0.29516315,0.84235597,0.52199167,-0.5340279,1.01419,1.5020527,0.181061,0.122834,0.070072,-0.075125,0.153108,0.161475
9,1442944614,-1.7809601,9.753899,13.325054,0.3698511,0.8522557,0.5226783,-0.5149343,0.9890314,1.4530882,0.187225,0.137038,0.078783,-0.083707,0.169592,0.185693
10,1442961281,-1.7876205,9.791168,13.308384,0.40513325,0.8593746,0.52322894,-0.4938873,0.95903826,1.4129533,0.193977,0.151361,0.087503,-0.091938,0.185576,0.209242
11,1442977948,-1.7965317,9.836166,13.28838,0.3899355,0.86281526,0.52360255,-0.47093958,0.92354286,1.3851441,0.200476,0.165741,0.09623,-0.099787,0.200968,0.232328
12,1442994615,-1.8005676,9.878914,13.271534,0.49608612,0.8767882,0.5245242,-0.44389293,0.8916439,1.3137678,0.208744,0.180354,0.104972,-0.107185,0.215829,0.254224
13,1443011282,-1.8014755,9.922165,13.25618,0.6813965,0.89783585,0.5258156,-0.4131164,0.8609534,1.2122308,0.220101,0.195318,0.113736,-0.11407,0.230178,0.274428
14,1443027949,-1.7961044,9.963615,13.251015,0.7692976,0.90969455,0.5260303,-0.3869351,0.83297193,1.1446558,0.232923,0.21048,0.122503,-0.120519,0.244061,0.293506
15,1443044616,-1.7831497,10.001823,13.257771,0.7652855,0.91266644,0.52511936,-0.3658019,0.8090157,1.1097599,0.245678,0.225691,0.131255,-0.126616,0.257545,0.312002
16,1443061283,-1.7651215,10.039803,13.271332,0.7258358,0.9122389,0.5236494,-0.34594727,0.7868132,1.0856627,0.257775,0.240895,0.139982,-0.132382,0.270659,0.330096
17,1443077950,-1.740715,10.07653,13.294514,0.6083889,0.90442425,0.52123666,-0.32959563,0.76719284,1.0879985,0.267915,0.255969,0.148669,-0.137875,0.283446,0.348229
18,1443094617,-1.7097931,10.110878,13.324085,0.5614338,0.9024809,0.5189123,-0.3112356,0.75168216,1.0644158,0.277272,0.27101,0.157318,-0.143062,0.295974,0.365969
19,1443111284,-1.6722107,10.142883,13.359978,0.59208775,0.9070536,0.5167205,-0.2905312,0.7403339,1.0122415,0.28714,0.286128,0.16593,-0.147904,0.308313,0.38284
20,1443127951,-1.6267166,10.172104,13.406525,0.5913725,0.90822595,0.5138119,-0.27214992,0.73330516,0.9704567,0.296996,0.301265,0.174494,-0.15244,0.320535,0.399014
21,1443144618,-1.5729828,10.198135,13.463352,0.5918617,0.90888345,0.5103961,-0.25493553,0.7311092,0.92757237,0.30686,0.316413,0.183001,-0.156689,0.33272,0.414474
22,1443161285,-1.5148697,10.227615,13.521954,0.5963955,0.9105419,0.5087291,-0.23466498,0.7196546,0.89171445,0.3168,0.331589,0.19148,-0.1606,0.344714,0.429336
23,1443177952,-1.4522629,10.260841,13.5824585,0.5935755,0.91224885,0.5089263,-0.21153909,0.6978302,0.86798584,0.326693,0.346793,0.199962,-0.164126,0.356345,0.443802
24,1443194619,-1.3827896,10.294266,13.648998,0.6052418,0.9153142,0.5100611,-0.18680608,0.6728392,0.84446275,0.33678,0.362048,0.208463,-0.167239,0.367559,0.457876
25,1443211286,-1.3072052,10.329567,13.719677,0.62943363,0.9198879,0.51274693,-0.15947023,0.64085704,0.82458055,0.347271,0.377379,0.217009,-0.169897,0.37824,0.471619
26,1443227953,-1.2225418,10.362602,13.801033,0.63732624,0.922587,0.5154521,-0.13320956,0.6102996,0.8134185,0.357893,0.392755,0.2256,-0.172117,0.388412,0.485176
27,1443244620,-1.1282272,10.392906,13.89381,0.63044167,0.92347276,0.518114,-0.10819453,0.58182275,0.810346,0.3684,0.408146,0.234235,-0.17392,0.398109,0.498682
28,1443261287,-1.0261612,10.423889,13.993385,0.6209574,0.9243031,0.52203935,-0.081783414,0.5479362,0.8161863,0.378749,0.423551,0.242936,-0.175283,0.407241,0.512285
29,1443277954,-0.9154053,10.454544,14.101471,0.6028147,0.9243514,0.52692515,-0.054788172,0.51042974,0.83224833,0.388796,0.438957,0.251718,-0.176196,0.415748,0.526156
30,1443294621,-0.79016876,10.484657,14.225796,0.5953932,0.92524105,0.53026134,-0.024360359,0.47419322,0.8325378,0.398719,0.454378,0.260556,-0.176602,0.423651,0.540032
31,1443311288,-0.6498337,10.514587,14.366875,0.60072327,0.92722106,0.5319807,0.010063887,0.43867803,0.8153266,0.408731,0.469832,0.269422,-0.176434,0.430962,0.553621
32,1443327955,-0.4962082,10.543694,14.522511,0.60482883,0.92896205,0.5330827,0.046566546,0.40271026,0.7942561,0.418811,0.485315,0.278307,-0.175658,0.437674,0.566859
33,1443344622,-0.32748413,10.57196,14.695019,0.6125879,0.93089134,0.53291345,0.08603382,0.36731154,0.76250684,0.429021,0.50083,0.287189,-0.174224,0.443796,0.579567
34,1443361289,-0.14698029,10.60022,14.879265,0.61626244,0.9325335,0.53329253,0.12748623,0.32770163,0.73554766,0.439292,0.516372,0.296077,-0.172099,0.449258,0.591826
35,1443377956,0.04549408,10.62841,15.075455,0.614007,0.93372166,0.53431183,0.17081559,0.28361666,0.7148324,0.449525,0.531934,0.304982,-0.169252,0.453985,0.60374
36,1443394623,0.253479,10.656158,15.288399,0.6134205,0.9350251,0.53450286,0.21732694,0.23818773,0.68694866,0.459749,0.547518,0.31389,-0.16563,0.457955,0.615189
37,1443411290,0.47660065,10.683617,15.51738,0.6122885,0.93629366,0.5342475,0.2668584,0.19029164,0.65537465,0.469954,0.563123,0.322794,-0.161182,0.461127,0.626112
38,1443427957,0.70381165,10.71093,15.7402,0.61170197,0.9376172,0.5350181,0.29399043,0.16062993,0.6337763,0.480149,0.57875,0.331711,-0.156282,0.463804,0.636675
39,1443444624,0.9347763,10.738098,15.955521,0.61256504,0.9390719,0.5367758,0.2963755,0.15155959,0.6218451,0.490358,0.594401,0.340657,-0.151342,0.46633,0.647039
40,1443461291,1.1747589,10.765152,16.173603,0.61255455,0.94049245,0.5390792,0.28587395,0.15251434,0.61554706,0.500567,0.610076,0.349642,-0.146577,0.468872,0.657298
41,1443477958,1.4210205,10.792145,16.388489,0.6121454,0.94192374,0.5422915,0.25522405,0.1695109,0.61828697,0.510769,0.625775,0.35868,-0.142323,0.471697,0.667603
42,1443494625,1.6813126,10.818848,16.614758,0.6117716,0.9433823,0.54517347,0.21939194,0.19135702,0.61901057,0.520965,0.641498,0.367766,-0.138666,0.474886,0.67792
43,1443511292,1.9563828,10.845268,16.853321,0.6111374,0.9448526,0.547679,0.178998,0.21747446,0.61737525,0.531151,0.657246,0.376894,-0.135683,0.478511,0.68821
44,1443527959,2.2400665,10.871574,17.091759,0.6104307,0.9463686,0.55073243,0.11999446,0.25891113,0.62180674,0.541325,0.673019,0.386073,-0.133683,0.482826,0.698573
45,1443544626,2.5341873,10.897736,17.33313,0.60964775,0.94793165,0.55407137,0.045156717,0.313609,0.63003004,0.551486,0.688818,0.395308,-0.13293,0.488053,0.709074
46,1443561293,2.7833328,10.923584,17.534473,0.6090212,0.9495392,0.55642486,-0.008119285,0.3617071,0.6291143,0.561636,0.704644,0.404582,-0.133065,0.494081,0.719559
47,1443577960,2.9811478,10.949127,17.689667,0.608613,0.95120066,0.5577698,-0.038316548,0.40306246,0.61878026,0.57178,0.720497,0.413878,-0.133704,0.500799,0.729872
48,1443594627,3.1548843,10.974426,17.820717,0.60827637,0.9529203,0.55852234,-0.06160623,0.4460547,0.6035985,0.581918,0.736379,0.423187,-0.134731,0.508233,0.739932
49,1443611294,3.2882614,10.999458,17.91446,0.6081009,0.95470345,0.55834323,-0.06816143,0.48579434,0.58014405,0.592053,0.752291,0.432493,-0.135867,0.51633,0.749601
50,1443627961,3.4116135,11.024361,17.992126,0.60783863,0.9565571,0.55820644,-0.083771884,0.53710365,0.55817163,0.602184,0.768234,0.441796,-0.137263,0.525282,0.758904
51,1443644628,3.5261536,11.049156,18.054298,0.60747623,0.9584865,0.5581344,-0.109957635,0.6010655,0.53800285,0.612309,0.784209,0.451098,-0.139096,0.5353,0.767871
52,1443661295,3.601738,11.073738,18.07801,0.60721684,0.9604968,0.5573393,-0.12544778,0.66632724,0.51176465,0.622429,0.800217,0.460387,-0.141187,0.546405,0.7764
53,1443677962,3.643715,11.098137,18.066578,0.607008,0.9625938,0.5560108,-0.13570789,0.73627436,0.48141086,0.632546,0.81626,0.469654,-0.143449,0.558676,0.784424
54,1443694629,3.7325974,11.122383,18.117352,0.6068096,0.96410173,0.55532515,-0.14802307,0.7839337,0.46435845,0.642659,0.832328,0.478909,-0.145916,0.571742,0.792163
55,1443711296,3.8712845,11.146446,18.235813,0.60665035,0.964956,0.55529153,-0.16035882,0.80532247,0.46131968,0.65277,0.848411,0.488164,-0.148589,0.585164,0.799852
56,1443727963,4.0242844,11.17038,18.377144,0.6065073,0.9654808,0.55546975,-0.17283913,0.815516,0.4653356,0.662878,0.864502,0.497422,-0.15147,0.598756,0.807608
57,1443744630,4.212425,11.194168,18.56734,0.60638523,0.96548307,0.5561587,-0.18661305,0.8063779,0.4810754,0.672984,0.880593,0.506691,-0.15458,0.612196,0.815626
58,1443761297,4.37986,11.217804,18.742653,0.60635567,0.96535784,0.55644757,-0.19185027,0.7907218,0.49628985,0.68309,0.896682,0.515965,-0.157778,0.625375,0.823897
59,1443777964,4.5229187,11.241287,18.899006,0.6064234,0.9651237,0.55628985,-0.18813553,0.7692752,0.5104598,0.693197,0.912767,0.525236,-0.160914,0.638196,0.832405
60,1443794631,4.6870193,11.264618,19.090591,0.6065512,0.96440977,0.55639195,-0.18101075,0.72814476,0.53379047,0.703306,0.92884,0.534509,-0.163931,0.650332,0.841302
61,1443811298,4.8600235,11.287819,19.30394,0.6067591,0.96329015,0.5565581,-0.16810274,0.66953814,0.5638124,0.713419,0.944895,0.543785,-0.166733,0.661491,0.850699
62,1443827965,4.9626007,11.311531,19.433784,0.60706806,0.96321714,0.55652595,-0.17850783,0.6731912,0.5787755,0.723537,0.960949,0.55306,-0.169708,0.672711,0.860345
63,1443844632,4.9922333,11.335815,19.476624,0.6074858,0.96427923,0.55635303,-0.21540412,0.7447035,0.5778738,0.733662,0.97702,0.562333,-0.173298,0.685123,0.869976
64,1443861299,4.977867,11.360359,19.47319,0.6080141,0.96583414,0.55602926,-0.26318666,0.84750885,0.5697938,0.743796,0.993117,0.5716,-0.177684,0.699248,0.879473
65,1443877966,4.8982086,11.385368,19.39552,0.6086645,0.96827716,0.5555038,-0.33012092,1.0035233,0.5487493,0.75394,1.009255,0.580858,-0.183186,0.715973,0.888619
66,1443894633,4.810219,11.410507,19.318375,0.6094227,0.9706635,0.5551103,-0.40055835,1.1625929,0.53011143,0.764097,1.025433,0.59011,-0.189862,0.73535,0.897454
67,1443911300,4.7156296,11.4357605,19.244759,0.61029434,0.97294515,0.554854,-0.47336757,1.3220468,0.5145639,0.774269,1.041649,0.599358,-0.197751,0.757384,0.90603
68,1443927967,4.5671387,11.461464,19.112926,0.6112976,0.97594094,0.55453014,-0.56368953,1.5262265,0.4893955,0.784457,1.057915,0.6086,-0.207146,0.782821,0.914187
69,1443944634,4.3758774,11.487556,18.937931,0.6124401,0.97946095,0.5542121,-0.66842467,1.7651012,0.45773637,0.794664,1.074239,0.617837,-0.218286,0.812239,0.921816
70,1443961301,4.1337967,11.511803,18.712055,0.6130552,0.9817467,0.5524138,-0.7466607,1.940618,0.4262296,0.804882,1.090601,0.627044,-0.23073,0.844583,0.92892
71,1443977968,3.8332214,11.534035,18.42591,0.6130867,0.98273647,0.548967,-0.7966174,2.0492883,0.39380693,0.8151,1.10698,0.636193,-0.244007,0.878738,0.935483
72,1443994635,3.4842606,11.555275,18.092155,0.6128464,0.9831413,0.5446218,-0.83579737,2.1312323,0.3592763,0.825314,1.123366,0.64527,-0.257937,0.914259,0.941471
73,1444011302,3.0818634,11.574913,17.705254,0.61214924,0.98249686,0.53894573,-0.85335886,2.1606016,0.3239149,0.835516,1.139741,0.654252,-0.27216,0.950269,0.94687
74,1444027969,2.6164627,11.594353,17.251892,0.61138344,0.9820437,0.53273827,-0.87709403,2.2062852,0.2803278,0.845706,1.156108,0.663131,-0.286778,0.98704,0.951542
75,1444044636,2.0866776,11.61367,16.730656,0.61056805,0.9818415,0.5260379,-0.908512,2.2717347,0.22809815,0.855882,1.172472,0.671898,-0.30192,1.024902,0.955344
76,1444061303,1.4911423,11.631599,16.14151,0.6093397,0.9808693,0.51805156,-0.924386,2.3002613,0.17177176,0.866038,1.18882,0.680532,-0.317326,1.06324,0.958207
77,1444077970,0.8260498,11.648399,15.479633,0.60777473,0.97938263,0.5089241,-0.93048936,2.306149,0.10956144,0.876168,1.205143,0.689014,-0.332834,1.101676,0.960033
78,1444094637,0.22312164,11.664993,14.872074,0.60672283,0.97856706,0.5013193,-0.9295699,2.3120413,0.06276548,0.88628,1.221452,0.697369,-0.348327,1.14021,0.961079
79,1444111304,-0.3067093,11.681244,14.329102,0.6062155,0.97840655,0.49537313,-0.9187521,2.31266,0.033813834,0.896384,1.237759,0.705625,-0.36364,1.178754,0.961643
80,1444127971,-0.8298569,11.696915,13.785587,0.6058893,0.97850657,0.4899015,-0.9003549,2.306393,0.011274695,0.906482,1.254067,0.71379,-0.378646,1.217194,0.961831
81,1444144638,-1.310112,11.712173,13.276127,0.6059704,0.9791618,0.48561457,-0.87401414,2.2970772,0.0012540817,0.916582,1.270386,0.721884,-0.393213,1.255479,0.961852
82,1444161305,-1.8262329,11.726143,12.7247505,0.60585403,0.97941077,0.4807366,-0.83178216,2.256144,-0.007585168,0.92668,1.28671,0.729896,-0.407076,1.293081,0.961726
83,1444177972,-2.3838272,11.73877,12.125557,0.60550785,0.9792108,0.47516376,-0.77315205,2.1821465,-0.016025543,0.936772,1.30303,0.737815,-0.419962,1.32945,0.961459
84,1444194639,-2.912056,11.750603,11.546265,0.6054201,0.97928923,0.4703947,-0.7012112,2.0916,-0.012956619,0.946862,1.319351,0.745655,-0.431649,1.36431,0.961243
85,1444211306,-3.4272995,11.761436,10.97076,0.605464,0.97944045,0.46605867,-0.61374044,1.977535,-0.0005829334,0.956953,1.335675,0.753423,-0.441878,1.397269,0.961233
86,1444227973,-3.9105453,11.7725525,10.442974,0.60510063,0.9791854,0.4618745,-0.54098034,1.8839649,0.0022230148,0.967038,1.351995,0.761121,-0.450894,1.428668,0.96127
87,1444244640,-4.349571,11.784111,9.976994,0.6043415,0.9785599,0.45801783,-0.4856213,1.816015,-0.004655719,0.97711,1.368304,0.768755,-0.458988,1.458935,0.961192
