PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,2095620619,-218.5629,-56.545914,78.729416,8.945536,-3.7960918,4.053116e-05,2.923852,0.65790933,0.9920389,0.0,0.0,0.0,0.0,0.0,0.0
1,2095637286,-218.5183,-56.571205,78.70224,9.04996,-3.9302282,-0.26459122,3.0422435,0.61945224,1.0140696,0.150833,-0.065504,-0.00441,0.050704,0.010324,0.016901
2,2095653953,-218.4718,-56.59766,78.67325,9.1635685,-4.0768967,-0.55204105,3.166823,0.5810949,1.0361514,0.303559,-0.133452,-0.013611,0.103484,0.020009,0.03417
3,2095670620,-218.42413,-56.62487,78.64284,9.284735,-4.2340565,-0.8582082,3.2956226,0.5436059,1.0579269,0.458305,-0.20402,-0.027914,0.158411,0.029069,0.051802
4,2095687287,-218.35994,-56.66104,78.60303,9.446551,-4.443238,-1.2665682,3.4685156,0.49157265,1.0864465,0.615748,-0.278074,-0.049023,0.21622,0.037262,0.069909
5,2095703954,-218.28261,-56.70436,78.5555,9.642312,-4.6961327,-1.7601523,3.6768441,0.42860934,1.1200354,0.776453,-0.356343,-0.078359,0.277501,0.044405,0.088576
6,2095720621,-218.23093,-56.7332,78.52226,9.771878,-4.86334,-2.0870848,3.799128,0.36889452,1.1711097,0.939318,-0.437399,-0.113144,0.34082,0.050553,0.108094
7,2095737288,-218.20657,-56.74659,78.50433,9.830333,-4.938366,-2.2350082,3.8290286,0.31165752,1.241955,1.103157,-0.519705,-0.150394,0.404637,0.055747,0.128793
8,2095753955,-218.19327,-56.753666,78.49231,9.861178,-4.9776726,-2.3132534,3.8186855,0.25237134,1.3257816,1.26751,-0.602666,-0.188948,0.468282,0.059953,0.150889
9,2095770622,-218.20126,-56.74865,78.492065,9.837667,-4.946658,-2.2545357,3.7353492,0.19427726,1.4266031,1.431471,-0.68511,-0.226524,0.530538,0.063191,0.174666
10,2095787289,-218.20381,-56.74637,78.488495,9.827255,-4.9321632,-2.228569,3.6604786,0.12477687,1.5393536,1.595259,-0.767313,-0.263667,0.591546,0.065271,0.200322
