PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,1474744516,-19.81102,54.775543,9.919732,-8.62066,1.8903346,3.028598,-4.480773,-1.0533416,0.13056181,0.0,0.0,0.0,0.0,0.0,0.0
1,1474761183,-19.76654,54.78394,9.914586,-8.71625,2.195385,3.0209925,-4.3417683,-1.0589353,0.17299382,-0.145271,0.03659,0.05035,-0.072363,-0.017649,0.002883
2,1474777850,-19.720078,54.79258,9.909347,-8.820215,2.5255704,3.0120857,-4.1949477,-1.0630559,0.21761283,-0.292275,0.078683,0.100551,-0.142279,-0.035367,0.00651
3,1474794517,-19.67237,54.801285,9.904105,-8.931077,2.876009,3.001934,-4.0424047,-1.0654352,0.26377437,-0.441126,0.126616,0.150583,-0.209652,-0.053124,0.010906
4,1474811184,-19.608437,54.81352,9.896905,-9.078906,3.3457165,2.9893181,-3.8409977,-1.0711253,0.32482395,-0.592441,0.182378,0.200405,-0.273669,-0.070976,0.01632
5,1474827851,-19.53157,54.8285,9.888196,-9.2576065,3.91438,2.9743893,-3.60004,-1.0788112,0.39785457,-0.746734,0.247618,0.249978,-0.33367,-0.088956,0.022951
6,1474844518,-19.472328,54.83451,9.882609,-9.376469,4.290906,2.964571,-3.454638,-1.116954,0.4683493,-0.903008,0.319133,0.299388,-0.391247,-0.107572,0.030757
7,1474861185,-19.43155,54.83087,9.880326,-9.431053,4.461317,2.960374,-3.4119952,-1.1891392,0.53687286,-1.060192,0.393488,0.348728,-0.448114,-0.127391,0.039705
8,1474877852,-19.396759,54.82262,9.879436,-9.460756,4.551505,2.9583397,-3.4139147,-1.2812244,0.60864943,-1.217871,0.469346,0.398034,-0.505013,-0.148745,0.049849
9,1474894519,-19.3759,54.806564,9.881169,-9.441353,4.4838057,2.9604943,-3.4968722,-1.4017279,0.68032956,-1.375227,0.544076,0.447376,-0.563294,-0.172107,0.061188
10,1474911186,-19.346977,54.790436,9.882304,-9.433977,4.4550447,2.9621665,-3.5705824,-1.5357636,0.7642262,-1.53246,0.618327,0.496745,-0.622804,-0.197703,0.073925
11,1474927853,-19.308838,54.77459,9.882676,-9.441961,4.4758844,2.9630837,-3.630549,-1.6828521,0.86118895,-1.689826,0.692925,0.54613,-0.683313,-0.225751,0.088278
12,1474944520,-19.27919,54.752342,9.884967,-9.413816,4.3808403,2.9673498,-3.7537336,-1.8583486,0.9624833,-1.846723,0.765939,0.595586,-0.745875,-0.256723,0.104319
13,1474961187,-19.253357,54.72524,9.888505,-9.36219,4.2106447,2.9740129,-3.9218254,-2.0597725,1.0709971,-2.00276,0.836116,0.645153,-0.811239,-0.291053,0.122169
14,1474977854,-19.23278,54.70513,9.883531,-9.339382,4.1301374,2.9795067,-4.0668077,-2.246604,1.1375766,-2.158416,0.904952,0.694811,-0.879019,-0.328496,0.141129
15,1474994521,-19.219872,54.692253,9.869401,-9.343687,4.133545,2.9840615,-4.192637,-2.4175458,1.1563965,-2.314144,0.973844,0.744545,-0.948896,-0.368788,0.160402
16,1475011188,-19.210922,54.68196,9.850272,-9.358475,4.1690245,2.9887843,-4.3201904,-2.590776,1.1526566,-2.470119,1.043328,0.794358,-1.020899,-0.411968,0.179613
17,1475027855,-19.2071,54.677296,9.823432,-9.396326,4.2760944,2.9928753,-4.4339366,-2.7559366,1.1119617,-2.626724,1.114596,0.844239,-1.094798,-0.4579,0.198146
