PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2095624732,117.8139725,81.46634674,136.5629578,0,0,0,0,0,0
1,2095641399,117.8121185,81.42771912,136.5345001,-9.672599792,1.278952599,-0.640797794,0.894414723,1.388624668,3.185624599
2,2095658066,117.646347,81.39622498,136.325592,-9.655585289,1.276622176,-0.672550917,0.892109573,1.448443055,3.156080246
3,2095674733,117.5666656,81.35816956,136.2084351,-9.664278984,1.276307344,-0.662088394,0.961315095,1.276184797,3.198085308
4,2095691400,117.4936905,81.31926727,136.1137848,-9.652749062,1.303454757,-0.632946014,0.877433419,1.219158053,3.2972188
5,2095708067,117.3799973,81.27744293,136.0113983,-9.670478821,1.290634155,-0.689118326,0.787020564,1.343943119,3.196983337
6,2095724734,117.3276138,81.23487091,135.950882,-9.6509552,1.293603659,-0.646178722,0.879264832,1.198373437,3.07434988
7,2095741401,117.2506638,81.19230652,135.8757782,-9.653237343,1.283109188,-0.684563994,1.05965507,1.086343527,3.224799156
8,2095758068,117.1916733,81.14925385,135.792038,-9.653764725,1.285735488,-0.671368361,0.925495684,0.991986156,3.286986589
9,2095774735,117.1410141,81.10733795,135.7322693,-9.658794403,1.286567211,-0.685470164,0.986863613,0.964580655,3.265843153
10,2095791402,117.1005096,81.06686401,135.7059021,-9.663649559,1.315398455,-0.679294944,0.989104807,0.896437883,3.192219257
11,2095808069,117.0430527,81.02714539,135.6394196,-9.637570381,1.322120905,-0.679113805,1.076457024,0.690076649,3.146104336
12,2095824736,116.9968796,80.98552704,135.5983124,-9.648276329,1.327261448,-0.659690499,1.096959949,0.807920635,3.121323824
13,2095841403,116.9589996,80.94364166,135.5453033,-9.634397507,1.311826229,-0.667925715,1.052995563,0.935113192,3.043908834
14,2095858070,116.9262543,80.90130615,135.520401,-9.634080887,1.319432378,-0.649086118,0.869262993,1.025846243,3.044869423
15,2095874737,116.8924332,80.85971832,135.4741821,-9.691966057,1.334247828,-0.677476227,0.776993215,1.050216675,2.989648342
16,2095891404,116.8522186,80.81872559,135.4195862,-9.653576851,1.312590957,-0.680231988,0.873706877,0.951876819,2.990186691
17,2095908071,116.8154449,80.77823639,135.3901062,-9.65894413,1.314995766,-0.665654957,0.899044156,0.935222089,2.97312212
18,2095924738,116.765976,80.73806763,135.3495941,-9.661190033,1.322813749,-0.675049603,0.943655014,0.821059942,3.039990425
19,2095941405,116.7085648,80.69821167,135.2800903,-9.636755943,1.343448877,-0.675636768,1.088334799,0.707486808,3.075252533
20,2095958072,116.654129,80.66120911,135.2144623,-9.640269279,1.344476461,-0.664222598,0.970535755,0.663823664,2.88238287
21,2095974739,116.5836258,80.62055206,135.1287994,-9.643291473,1.324408054,-0.66073662,1.000291109,0.618431449,3.140027046
22,2095991406,116.5041809,80.58000946,135.0428619,-9.654824257,1.326881409,-0.674692392,0.924772084,0.545640111,3.178535938
23,2096008073,116.4217377,80.53988647,134.9500885,-9.653357506,1.346808434,-0.659210205,0.848081291,0.50720185,3.181666613
24,2096024740,116.3280792,80.5002594,134.8513794,-9.657617569,1.341878057,-0.689140379,0.741942286,0.408516139,3.193128586
25,2096041407,116.2311859,80.45987701,134.7410278,-9.654114723,1.336959362,-0.663821876,0.849253118,0.357450843,3.263429642
26,2096058074,116.133049,80.41960907,134.6359711,-9.671328545,1.340080738,-0.655143261,0.88737756,0.330775172,3.275185347
27,2096074741,116.0412292,80.38040161,134.5158691,-9.670797348,1.349999309,-0.665641069,0.965745986,0.347506702,3.207407713
28,2096091408,115.9509354,80.3397522,134.4049072,-9.650514603,1.350028753,-0.664062858,0.921058297,0.394307494,3.275915384
29,2096108075,115.8491745,80.29947662,134.2992554,-9.635572433,1.358811617,-0.646937966,0.899524391,0.275112391,3.314071894
30,2096124742,115.741394,80.25831604,134.1861725,-9.65020752,1.346668839,-0.668121755,0.959214807,0.230315775,3.391588688
31,2096141409,115.6176987,80.21618652,134.0598297,-9.646282196,1.354218841,-0.653335154,0.799551725,0.113656379,3.512000799
32,2096158076,115.4933243,80.17362976,133.9275208,-9.671868324,1.379413366,-0.653411448,0.806710422,0.107125111,3.543222427
33,2096174743,115.3770905,80.13046265,133.8025208,-9.656480789,1.365746021,-0.661126435,0.866919518,0.180768043,3.545623779
34,2096191410,115.2651367,80.08805084,133.6688385,-9.636707306,1.383528829,-0.629889667,0.861598492,0.191262856,3.49394393
35,2096208077,115.1474304,80.04598236,133.5449371,-9.626509666,1.401729345,-0.655407548,0.920846939,0.11156252,3.499533892
36,2096224744,115.0195847,80.00334167,133.414093,-9.653805733,1.395269275,-0.677104533,0.84857434,0.025484636,3.563648462
37,2096241411,114.8864899,79.96022797,133.270813,-9.643953323,1.373239756,-0.62207979,0.862789333,-0.035953827,3.616551399
38,2096258078,114.74617,79.91793823,133.1190033,-9.642806053,1.39313221,-0.649767399,0.722944021,-0.109635167,3.600825787
39,2096274745,114.6191406,79.87453461,132.9809875,-9.641079903,1.419138789,-0.608024299,0.708498538,0.033309314,3.602451801
40,2096291412,114.5041809,79.83140564,132.86203,-9.654069901,1.426982045,-0.64343679,0.768982947,0.133403763,3.539060593
