PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1474744516,90.70301819,17.01851273,20.11867714,0,0,0,0,0,0
1,1474761183,90.80780029,17.15788269,20.12797165,-2.912322283,9.28457737,-0.259904861,0.828513265,0.415726155,0.071862839
2,1474777850,90.9617691,17.24843216,20.09421921,-2.913207293,9.330341339,-0.26322332,0.514680803,-0.169389591,0.204344526
3,1474794517,91.10003662,17.29375267,20.05389595,-2.88197279,9.47376442,-0.130673349,0.758116603,-0.468443394,0.260474741
4,1474811184,91.16484833,17.28528976,20.06483841,-2.863749981,9.494095802,-0.139903873,1.455550551,-0.022321468,0.411640942
5,1474827851,91.19573975,17.25178528,20.07773399,-2.950437546,9.45482254,-0.212371454,1.492432833,6.98E-04,0.47389257
6,1474844518,91.22707367,17.23300552,20.06918526,-2.93545413,9.397319794,-0.247513771,1.450632691,-0.002676527,0.405071199
7,1474861185,91.26838684,17.22171974,20.05516243,-2.94279027,9.400938988,-0.310493559,1.787478209,-0.188727185,0.423473954
8,1474877852,91.31489563,17.21179962,20.03732681,-2.941379309,9.39229393,-0.26829955,1.60465467,-0.457071424,0.640413463
9,1474894519,91.36286926,17.20169449,20.04137421,-2.906284571,9.445240021,-0.220918581,1.779205322,-0.478816599,0.819151759
10,1474911186,91.39421082,17.18736076,20.04926682,-2.941680908,9.342301369,-0.246727124,1.258652925,-0.748838484,0.919028401
11,1474927853,91.43380737,17.17721558,20.084198,-2.900727034,9.374076843,-0.088565581,1.825128794,-0.502610803,0.851871908
12,1474944520,91.46443176,17.16346359,20.09714508,-2.904288769,9.489952087,-0.136553153,1.97441268,-0.380105287,1.011298299
13,1474961187,91.46968079,17.14042854,20.09126091,-2.985658169,9.436184883,-0.253681093,0.842485011,-0.569536805,1.448263764
14,1474977854,91.47550964,17.12275505,20.06397057,-2.991540194,9.508752823,-0.269758642,0.945140541,-1.156157136,1.310928226
15,1474994521,91.48616028,17.10659027,20.04423523,-2.939783335,9.511571884,-0.250460178,1.29283309,-1.710595489,1.315205693
16,1475011188,91.4942627,17.09187508,20.00659752,-2.966854572,9.408089638,-0.281759501,1.21520102,-2.067482948,1.196977496
17,1475027855,91.49950409,17.08265495,19.98789215,-2.929764271,9.448379517,-0.146025255,0.932257533,-1.995126843,0.935523152
18,1475044522,91.48696899,17.07515526,19.96172333,-2.942374706,9.428613663,-0.1912864,0.028910337,-1.984305501,0.80803591
19,1475061189,91.47658539,17.06843567,19.94702721,-2.939145565,9.334055901,-0.089177854,0.133371726,-1.736335993,0.761766493
20,1475077856,91.46185303,17.06314659,19.90944862,-3.008097887,9.559836388,-0.119874015,0.12862058,-2.030754328,0.720376432
21,1475094523,91.42536926,17.05704308,19.87727737,-2.990975857,9.453902245,-0.167818651,-1.053322196,-2.145268202,0.794768453
22,1475111190,91.4030838,17.04867554,19.84230423,-3.01091361,9.344299316,-0.129495323,-0.140191108,-2.321099281,0.967743814
23,1475127857,91.39930725,17.04144096,19.82288933,-3.007341385,9.380866051,-0.118999757,0.978757262,-2.244133472,0.969165325
24,1475144524,91.38648224,17.04094696,19.79226303,-2.978116274,9.479511261,-0.101668142,0.615005791,-2.739752293,0.619948983
25,1475161191,91.37732697,17.03737831,19.75350761,-2.955299377,9.381422043,-0.172999993,0.831509829,-2.605157137,0.785803974
