PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,2095620619,-151.3630524,-19.73488617,138.2532806,0,0,0,0,0,0
1,2095637286,-151.1787567,-19.71627998,138.1459503,3.338516235,-4.49983263,-7.995211124,1.622096896,0.44319573,-0.806377351
2,2095653953,-151.0189362,-19.75368309,138.1358948,3.3257792,-4.42341423,-7.782439232,1.23457706,0.065882273,-1.196382165
3,2095670620,-150.8804321,-19.82846642,138.1078949,3.297661304,-4.330073357,-7.831441879,1.272381425,-0.297914118,-1.07970345
4,2095687287,-150.7943573,-19.89054298,138.0883789,3.288892984,-4.260378361,-7.823041916,2.528748035,-0.267383754,-0.675406814
5,2095703954,-150.7594452,-19.94124222,138.0085449,3.288269043,-4.301534653,-7.932666779,2.358859301,-0.025894443,-0.19546333
6,2095720621,-150.7535248,-19.97227478,137.9384766,3.27028513,-4.470458031,-8.01646328,2.176983356,-0.140011832,-0.246944845
7,2095737288,-150.7453918,-19.97821426,137.9135132,3.276360989,-4.431416035,-8.011267662,1.86655736,-0.424095064,-0.392322481
8,2095753955,-150.7368469,-19.97497749,137.9003601,3.351811409,-4.370214462,-8.016007423,1.878070235,-0.437375247,-0.467687875
9,2095770622,-150.7340546,-19.97412872,137.9087067,3.324602365,-4.295320511,-7.987949848,1.847783208,-0.497974843,-0.443752795
10,2095787289,-150.7401123,-19.97283173,137.9122314,3.332149029,-4.277355671,-7.946269035,1.683093667,-0.545243144,-0.291165143
11,2095803956,-150.7440796,-19.9732399,137.9107056,3.326571703,-4.309382439,-7.973474979,1.897804737,-0.48715353,-0.123350747
12,2095820623,-150.7457886,-19.96981621,137.8927765,3.274127245,-4.343165874,-7.998943806,1.981596947,-0.644569159,0.085322306
13,2095837290,-150.7402496,-19.95823097,137.8896179,3.318911791,-4.316854954,-7.855363369,2.268715382,-0.84836942,0.323648483
14,2095853957,-150.7506104,-19.95469856,137.8916931,3.28148365,-4.470109463,-7.945124149,1.085639119,-0.529683411,0.126187369
15,2095870624,-150.7553864,-19.94318581,137.9241486,3.288109779,-4.440697193,-7.98960638,1.090915322,-0.932135761,0.119630508
16,2095887291,-150.7339935,-19.92362976,137.9322357,3.38272953,-4.32150507,-7.973971367,2.369962215,-1.144042492,0.53691262
17,2095903958,-150.7208099,-19.91086388,137.9269867,3.356606007,-4.358677864,-8.116558075,1.714161873,-0.642981172,0.885117233
18,2095920625,-150.709198,-19.89599228,137.9102783,3.344737768,-4.315509319,-8.076190948,1.619317889,-0.636116982,1.126952171
19,2095937292,-150.6982117,-19.88102341,137.8919525,3.342155695,-4.344696522,-7.950926781,1.597304106,-0.559125304,1.280654311
20,2095953959,-150.6829834,-19.87319756,137.8717346,3.314126015,-4.470630169,-7.945965767,1.787965059,-0.229028791,1.078710914
21,2095970626,-150.6546021,-19.86467743,137.862381,3.338671684,-4.356582642,-7.9320364,2.410827637,-0.286670178,1.016869187
22,2095987293,-150.6383057,-19.8612442,137.8578339,3.356492758,-4.400728703,-7.90195322,1.732564569,-0.181478783,0.645753801
23,2096003960,-150.6197968,-19.85884094,137.8403625,3.384969711,-4.517483711,-8.007115364,1.668929935,-0.02262882,0.88336277
24,2096020627,-150.5632019,-19.85342216,137.8152618,3.382903576,-4.363618374,-7.96198225,3.709455252,-0.024793094,1.266989827
25,2096037294,-150.5209961,-19.84376335,137.7689362,3.399397373,-4.37309742,-7.880237579,2.839109898,-0.269189477,1.425468206
26,2096053961,-150.4906616,-19.83687782,137.743866,3.403398514,-4.428267479,-7.925223351,2.084259033,-0.168224216,1.382214904
27,2096070628,-150.4537048,-19.83213043,137.7204132,3.358048201,-4.448766232,-7.975059509,2.240003347,0.18572408,1.807955742
28,2096087295,-150.4104462,-19.82689285,137.6915131,3.360274553,-4.339396477,-7.888531685,2.656875849,0.071606711,1.640333295
29,2096103962,-150.3844604,-19.8285408,137.6522064,3.396459341,-4.36631012,-7.838563919,1.560767531,0.51626879,1.610072136
30,2096120629,-150.3660278,-19.83177185,137.6129608,3.366396666,-4.374353886,-7.853814125,0.979384899,0.711744964,1.834464788
31,2096137296,-150.3383484,-19.8291893,137.5753937,3.399265289,-4.513271332,-7.894927502,1.526497602,0.389959693,1.990804672
32,2096153963,-150.3119812,-19.82757187,137.5397644,3.407618999,-4.55268383,-7.932527542,1.339102268,0.495983541,2.068718433
33,2096170630,-150.2972717,-19.83141327,137.5320282,3.4229877,-4.525140285,-7.912671089,0.684979618,0.635508657,1.646749258
34,2096187297,-150.2926331,-19.83772087,137.5114136,3.47031188,-4.508470058,-7.873635292,0.037733909,0.754582107,1.571588635
35,2096203964,-150.3040161,-19.84404564,137.4732819,3.463153601,-4.41199398,-7.922824383,-1.036469102,0.826643527,1.756947994
36,2096220631,-150.3372192,-19.83811378,137.4219971,3.414621592,-4.359956264,-7.853906631,-2.428724051,0.293041289,2.347871065
37,2096237298,-150.4129028,-19.83024979,137.3810425,3.499287844,-4.331218243,-7.83596611,-5.052233219,0.293092549,2.612463474
38,2096253965,-150.5075531,-19.81282806,137.3606873,3.432065964,-4.394786358,-7.893967152,-6.135510921,-0.303536177,2.808823586
39,2096270632,-150.6204376,-19.78191566,137.3538361,3.372274399,-4.323581696,-7.923102856,-7.021773815,-1.309526324,2.691978455
40,2096287299,-150.755722,-19.7408905,137.3468933,3.406667948,-4.284906864,-7.828493595,-8.10299015,-2.170267344,2.380925179
41,2096303966,-150.8886261,-19.70633316,137.335968,3.345804214,-4.466417789,-7.882585526,-7.892311096,-1.936192393,2.031247377
42,2096320633,-150.9125824,-19.65750313,137.3153076,3.353999853,-4.454978466,-7.957706451,-1.482053638,-2.559836149,2.636206627
43,2096337300,-150.8282623,-19.60327911,137.2834778,3.383942604,-4.28964901,-7.895460129,4.668600559,-2.390830517,3.564078093
44,2096353967,-150.7487946,-19.54849243,137.2604523,3.365760565,-4.220364571,-7.926794529,4.550640583,-2.645817518,3.179387808
45,2096370634,-150.6781158,-19.47582817,137.2383575,3.279501915,-4.183959007,-7.99698925,4.199221611,-3.783623457,3.344948292
46,2096387301,-150.6200714,-19.38191605,137.2371979,3.255077124,-3.907281876,-7.798280239,3.552078247,-4.960796356,3.809178591
47,2096403968,-150.6240387,-19.29607201,137.227478,3.2724967,-4.159876823,-7.972044468,0.013081687,-4.689787865,3.310242891
48,2096420635,-150.6348419,-19.20949173,137.2259216,3.20562315,-4.384377956,-8.134697914,-0.08416333,-5.101179123,2.6517663
49,2096437302,-150.6064911,-19.10746384,137.2342224,3.202037334,-4.085363865,-8.170763969,2.467111826,-6.156270027,2.590872288
50,2096453969,-150.5774841,-19.05277252,137.2471313,3.284134388,-4.31282711,-8.511304855,2.473207235,-3.513716698,1.446855068
51,2096470636,-150.5246735,-18.98052025,137.2756042,3.265624046,-4.242124557,-7.972751141,4.304708004,-4.905254841,1.06639123
52,2096487303,-150.4788666,-18.92590332,137.301651,3.2651124,-4.279802799,-8.065956116,3.836802006,-3.901992321,0.697670758
53,2096503970,-150.4220428,-18.88023376,137.3244171,3.274036646,-4.225814819,-8.039052963,4.527909756,-3.461825609,0.386297166
54,2096520637,-150.4208984,-18.84033585,137.3453979,3.342289925,-4.490047932,-7.953990459,1.246691704,-3.220796824,0.115775801
55,2096537304,-150.4693756,-18.80226135,137.3849335,3.407341719,-4.472663403,-7.905035019,-1.430520773,-3.612262011,-0.77109611
56,2096553971,-150.5444794,-18.77116966,137.4440002,3.310871601,-4.379205704,-7.938698292,-2.735653877,-3.740081787,-1.800419092
