PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,531185854,15.55211258,-77.12810516,147.7142181,0,0,0,0,0,0, 
1,531202521,15.61964035,-76.87657166,147.4683838,9.407674789,0.529531658,2.276138306,-13.76752758,8.483997345,-15.21388149, 
2,531219188,15.41242981,-76.50315857,147.4216919,9.776444435,0.74409008,2.656435966,-18.37024498,8.387413025,-12.50287628, 
3,531235855,15.41902447,-75.92241669,147.2650299,10.01929283,0.643622339,2.346073389,-20.58310127,7.579986095,-10.25282478, 
4,531252522,15.42758274,-75.59067535,147.0379486,9.871437073,0.368768603,1.777438164,-24.4260273,8.582128525,-10.16996002, 
5,531269189,15.16354752,-75.61341095,146.9569244,9.387828827,-0.067159899,1.27882421,-32.08214188,8.160797119,-10.01935959, 
6,531285856,14.41174889,-75.96188354,147.2353973,9.39673233,-0.256247789,1.034710526,-37.99816132,2.889044523,-7.969702244, 
7,531302523,13.25944996,-76.44992828,147.8456879,9.791641235,-0.416981459,1.233417034,-39.66425323,1.552157521,-5.067642212, 
8,531319190,11.88410854,-76.88536072,148.6180115,10.14343929,-0.569082916,1.758202672,-39.95610428,4.080503941,-5.341686726, 
9,531335857,10.31808853,-77.17465973,149.418457,10.45667458,-0.508914948,2.31094408,-49.60804367,6.772718906,-8.099359512, 
10,531352524,8.785188675,-77.27092743,150.0114136,9.988426208,0.004293384,2.468888521,-58.13059998,10.57623959,-11.6238842, 
11,531369191,7.480256557,-77.22280121,150.3699341,9.6225214,-0.027877973,2.331479311,-60.68159485,12.82218647,-12.12732315, 
12,531385858,6.460809231,-77.06881714,150.5948181,9.63690567,0.148921937,2.103131056,-52.31123352,15.56290245,-11.65410995, 
13,531402525,5.822525024,-76.93869781,150.4979401,9.980628967,0.394925505,2.059006214,-48.01908112,12.43860912,-12.62771511, 
14,531419192,5.477761269,-76.84646606,150.072876,10.25599289,0.376579493,2.483245134,-51.46397018,9.270374298,-14.33192444, 
15,531435859,5.274833202,-76.71668243,149.2791901,10.29114246,0.430209398,2.883548498,-57.57134247,9.972360611,-16.02249718, 
16,531452526,5.299818516,-76.50787354,148.2143555,10.09536076,0.145235792,3.303509474,-59.97992325,12.64500046,-18.88212395, 
17,531469193,5.789134502,-76.24061584,146.7152863,9.20754528,0.029621441,3.841835976,-57.43354416,13.39401436,-25.17730141, 
18,531485860,6.504510403,-76.01333618,145.1507721,8.314585686,-0.434178114,3.116531134,-47.5343895,7.984630585,-26.25107574, 
19,531502527,6.811184883,-75.88554382,144.1353912,8.766623497,-0.270499289,2.33093524,-39.83097839,1.711036205,-18.60565186, 
20,531519194,6.549987316,-75.76971436,143.6436157,9.700537682,0.085682034,3.381960392,-43.35902023,2.44145155,-11.2467308, 
21,531535861,6.35401535,-75.69675446,143.0897064,10.03841782,0.453888059,4.270566463,-43.0904007,-0.715585411,-11.65015888, 
22,531552528,6.382698059,-75.58451843,142.1414337,9.577312469,0.730473816,4.488226414,-52.6305542,-0.257026225,-17.20049477, 
23,531569195,6.346731186,-75.40448761,141.1713409,8.482046127,0.530378938,4.211593628,-57.88583374,2.499876261,-17.3931427, 
24,531585862,5.725996971,-75.40532684,140.707077,7.991611004,0.062281802,3.254291058,-63.65438461,-8.293424606,-8.304426193, 
25,531602529,4.701573372,-75.59152222,140.6357574,8.897713661,-0.142405406,2.82967639,-65.06838226,-18.66245651,-1.470602393, 
26,531619196,3.780385971,-75.8057251,140.4556885,10.24091816,-0.279229611,2.661399364,-65.20291901,-19.86255264,-3.348748922, 
27,531635863,3.160278797,-75.8669281,139.9828644,10.9119463,-0.295034826,2.949053526,-64.15008545,-10.05982018,-8.587362289, 
28,531652530,2.724993467,-75.7350235,139.3968201,10.43216324,-0.277791768,3.210581541,-59.61902618,2.117640495,-11.07342243, 
29,531669197,2.314375401,-75.54277802,138.8213959,9.320918083,-0.181341156,3.155241489,-57.48270035,6.115663052,-11.21156979, 
30,531685864,1.985048056,-75.38217926,138.2129211,8.537236214,0.064956278,2.812259197,-54.49571609,4.423559666,-11.66549492, 
31,531702531,1.792721868,-75.34866333,137.5259705,8.816282272,0.328677028,2.930229187,-50.86533356,-2.958987236,-12.46501541, 
32,531719198,1.86601007,-75.37752533,136.6154633,9.219669342,0.292058349,3.263482094,-47.97530746,-6.593075752,-15.45869732, 
33,531735865,2.049641609,-75.42688751,135.5473785,9.544734001,0.439975262,3.699409008,-50.5735321,-7.869889259,-17.54453087, 
34,531752532,2.249045134,-75.44663239,134.4088593,9.087520599,0.52668035,3.63860774,-53.78235626,-6.268178463,-18.38344574, 
35,531769199,2.306950331,-75.55860901,133.3922577,8.841867447,1.104954839,3.34813118,-55.26736069,-11.85209942,-16.02207756, 
36,531785866,2.29536891,-75.75098419,132.4977417,9.194598198,1.102471948,3.165105343,-52.4919281,-16.58862495,-13.43260574, 
37,531802533,2.482654095,-76.03259277,131.4918518,9.649704933,1.054575801,3.151680231,-47.19073486,-21.91378593,-14.23728657, 
38,531819200,2.875064611,-76.30560303,130.2454681,10.3748064,1.441818714,3.178520918,-49.03746796,-21.49409676,-17.03857613, 
39,531835867,3.206706762,-76.5243454,128.9589996,9.920050621,1.75779891,3.296256065,-55.18139267,-18.21788597,-16.9784832, 
40,531852534,2.929106712,-76.8105011,128.1670837,9.662694931,1.344948173,3.204068422,-63.04086304,-21.84552383,-9.178214073, 
41,531869201,2.073294163,-77.14169312,128.0246735,9.724123001,0.713962674,2.591579199,-59.88175201,-24.02364159,0.022673972, 
42,531885868,1.077070713,-77.51095581,128.1712646,9.612077713,0.351312429,2.14618516,-51.42156219,-25.99224854,3.653367519, 
43,531902535,0.201523349,-77.94962311,128.2340698,9.680048943,0.161516517,1.874571562,-49.07555389,-29.92974663,2.161064863, 
44,531919202,-0.559958935,-78.47349548,128.1200104,9.646525383,0.255469352,2.153020144,-52.59373474,-34.74046326,-0.513439357, 
45,531935869,-1.4220891,-79.04168701,127.9868851,9.418836594,0.478158265,2.324766159,-59.75843048,-37.19814301,-1.210131645, 
46,531952536,-2.713222027,-79.6772995,128.1515198,9.440716743,0.654411912,1.994256735,-67.95872498,-41.23386383,1.394495249, 
47,531969203,-4.537969589,-80.32458496,128.8878479,9.599485397,0.544430017,1.590071797,-66.18251038,-42.1639061,6.205036163, 
48,531985870,-6.89117384,-80.96284485,130.243866,9.557778358,0.175277144,1.344600916,-61.12623978,-42.15375519,10.39175797, 
49,532002537,-9.794999123,-81.59384155,132.2206116,9.527100563,-0.098589934,1.186834812,-57.20906067,-42.60650635,13.31404305, 
50,532019204,-13.23392391,-82.27402496,134.7844543,9.450227737,-0.183804423,0.883902371,-54.21587753,-46.62581635,13.95319462, 
51,532035871,-17.49114799,-83.03207397,138.1935425,9.569802284,-0.110735022,1.002631068,-52.74956512,-52.91241837,14.05419827, 
52,532052538,-23.07632065,-83.82772064,142.8818359,9.507349014,-0.013753369,1.068169951,-55.82319641,-57.89510345,14.49454784, 
53,532069205,-31.17804527,-84.65122986,150.0232239,9.553370476,-0.017823953,0.97243762,-59.92980957,-65.39461517,16.61598015, 
54,532085872,-42.89118958,-85.37339783,160.7822113,9.691612244,0.093603939,0.453111202,-59.82323837,-70.03218842,19.61190414, 
55,532102539,-59.70530701,-85.87497711,176.7211304,9.885230064,0.345267206,-0.292002201,-55.40732193,-77.11746979,23.11654091, 
56,532119206,-79.82993317,-85.94285583,-163.9949799,10.09629726,0.228662297,-0.623612821,-53.46483994,-79.99692535,25.63976288, 
57,532135873,-98.43943787,-85.51450348,-146.1704865,10.21933937,-0.146087602,-0.61021173,-50.12903976,-80.25850677,27.6674099, 
58,532152540,-113.7541885,-84.65258026,-131.6796265,10.40488911,-0.52727443,-0.228484064,-52.64316559,-86.79803467,29.7915535, 
59,532169207,-124.406395,-83.52110291,-121.9790421,10.55015755,-0.666134775,0.37214309,-60.20047379,-86.35784149,31.10765266, 
60,532185874,-131.6494141,-82.24581909,-115.7605743,10.37426567,-0.554792702,0.361996233,-64.36936188,-84.70324707,32.79763031, 
61,532202541,-136.3499603,-80.87650299,-111.8887177,10.18267822,-0.374871135,-0.276047528,-52.27778244,-82.9378891,36.47729874, 
62,532219208,-139.4065552,-79.46580505,-109.3846512,9.674109459,-0.343592465,-1.445324421,-35.37773895,-81.39888763,38.85951233, 
63,532235875,-141.8756714,-77.9934082,-107.233078,9.641551018,-0.460321009,-2.090251923,-21.55262184,-85.65262604,37.69596481, 
64,532252542,-143.6188049,-76.51338196,-105.6140594,11.54051495,-1.601212144,-1.933100343,-9.809004784,-84.87526703,37.92206955, 
65,532269209,-145.030014,-75.14250183,-104.2789612,13.18797684,-2.27221489,-2.036593437,-6.97654438,-79.45102692,33.21990967, 
66,532285876,-146.4960327,-73.93945313,-102.9447632,13.78126621,-2.133647919,-2.505919933,-10.7767725,-72.91491699,24.06396675, 
67,532302543,-147.8091278,-72.9450531,-101.8493271,12.95564938,-1.614029765,-3.375998974,-15.7697506,-61.55977249,17.68474579, 
68,532319210,-148.4038086,-72.18917084,-101.5094604,11.36502934,-2.007926464,-4.147257328,-16.19856071,-42.95792007,19.85630989, 
69,532335877,-148.4881287,-71.54311371,-101.6694717,11.85420036,-2.84612298,-4.379035473,-14.12627602,-32.51935577,23.84902382, 
70,532352544,-148.3420868,-70.89437866,-101.8509979,12.34526062,-2.961420298,-4.743153572,-1.507393003,-32.22558594,24.26728249, 
71,532369211,-147.9554443,-70.15390015,-101.9599915,12.12409401,-2.395278692,-5.135076046,17.07022858,-37.33764267,26.07820129, 
72,532385878,-147.4661407,-69.35787964,-102.0653992,12.08196735,-2.069889784,-5.249936581,23.49089622,-39.76941299,28.10317802, 
73,532402545,-147.1192322,-68.5909729,-102.1299133,12.20076752,-2.065773487,-5.100226879,17.3054409,-38.35770416,26.77849579, 
74,532419212,-146.9065857,-67.87214661,-102.1490173,12.46308422,-2.277699232,-4.758998394,11.83764076,-36.20205688,24.60697937, 
75,532435879,-146.6535187,-67.22833252,-102.1872253,12.66856098,-2.403575659,-4.658931732,13.23532009,-32.02815628,22.682827, 
76,532452546,-146.2805939,-66.70017242,-102.267662,12.80272579,-2.455351591,-4.479660988,18.11818504,-25.53135109,19.89174652, 
77,532469213,-145.8656769,-66.33861542,-102.4188004,12.64396858,-2.173903227,-4.12806797,16.77708817,-16.14144897,15.94638824, 
78,532485880,-145.5186157,-66.09989929,-102.6389389,12.3008213,-1.879630089,-3.955344439,8.94739151,-9.019421577,13.37715244, 
79,532502547,-145.082901,-66.00593567,-103.0417938,12.03957081,-1.533913016,-3.884725094,4.276817799,0.717636228,12.26999474, 
80,532519214,-144.5262909,-66.03206635,-103.585434,11.7858448,-1.345548987,-3.948974848,3.844449759,8.654747963,11.03875351, 
81,532535881,-143.7852173,-66.20267487,-104.2958069,11.50598335,-1.536677361,-4.048744678,5.767752647,18.11986923,9.227675438, 
82,532552548,-142.8894501,-66.51272583,-105.158287,10.94063568,-1.563359976,-3.711328506,6.640142918,27.03586388,6.874231339, 
83,532569215,-141.866333,-66.96006775,-106.154213,10.11023903,-1.586084127,-3.280550957,6.791654587,35.38831329,3.732024431, 
84,532585882,-140.7498474,-67.49819946,-107.2253342,9.624567986,-1.617743373,-3.069845438,8.037166595,40.47334671,0.717678428, 
85,532602549,-139.4819794,-68.16802979,-108.4727478,9.287297249,-1.933347583,-2.618333817,7.053215504,48.67573166,-2.564006805, 
86,532619216,-138.1427155,-68.97789001,-109.868454,8.860267639,-1.96911478,-2.089743614,2.671736002,56.4248848,-7.423476696, 
