PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,584672714,-168.8386993,-88.65042114,-102.3299103,0,0,0,0,0,0, 
1,584689381,-149.6375275,-89.21815491,-121.525032,9.620376587,-0.238710374,0.332800627,-6.780115128,19.66536903,1.119103909, 
2,584706048,-67.35490417,-89.30058289,156.1099091,9.588383675,-0.032835104,0.417318255,-6.07563591,20.25810814,1.542290449, 
3,584722715,-29.85461807,-88.64621735,118.6463852,9.501563072,0.143992856,0.288928926,-4.311916828,19.61781311,-0.513471305, 
4,584739382,-15.94821548,-88.15985107,104.7313461,9.608449936,0.244337723,0.382765561,-7.887005806,16.29144669,-2.678016186, 
5,584756049,-6.784879684,-87.73204041,95.48009491,9.648359299,0.051788859,0.752561927,-13.84949017,17.07768822,-3.247721672, 
6,584772716,-1.533634424,-87.19348907,90.15596008,9.370456696,-0.273630023,1.016944289,-14.55881691,20.13740158,-4.463995934, 
7,584789383,0.557893753,-86.67516327,87.96681976,9.232749939,-0.2296184,1.117150664,-12.921525,16.24586678,-6.045055389, 
8,584806050,1.283247471,-86.28727722,86.97818756,9.616501808,0.028084895,1.076328278,-21.95928574,8.253138542,-6.023235321, 
9,584822717,1.592088461,-85.9747467,86.20277405,9.899137497,0.085220039,0.717839479,-35.71987915,5.502676964,-5.109321594, 
10,584839384,1.544655561,-85.69242859,85.6882019,9.5588274,0.090240963,0.056531176,-42.63309479,7.846624851,-3.657274246, 
11,584856051,1.470483303,-85.52455902,85.2258606,9.116526604,-0.243569687,-0.258612663,-41.79143143,7.042326927,-2.998011112, 
12,584872718,1.227934599,-85.52648163,85.01712799,9.20142746,-0.368216008,-0.136244267,-35.9381218,1.800946116,-2.666473389, 
13,584889385,0.718922257,-85.61130524,84.93410492,9.813398361,-0.61213696,-0.059000462,-35.3573761,-0.588172674,-2.350615978, 
14,584906052,-0.091715127,-85.64585114,85.10971832,10.31869411,-0.658973873,-0.077850029,-37.8686409,3.856799126,-2.56623888, 
15,584922719,-1.650321484,-85.63318634,85.88104248,10.41100597,-0.688156486,-0.005410559,-47.04962158,7.558988571,-0.717366159, 
16,584939386,-3.443812847,-85.59931946,86.70594788,9.816721916,-0.435323805,0.592691302,-57.87700272,9.121721268,-0.880383193, 
17,584956053,-4.675317764,-85.53199768,86.89775085,9.504863739,-0.629251599,1.144966841,-62.03034592,10.1289587,-3.294440746, 
18,584972720,-5.467203617,-85.44762421,86.65895081,9.766798019,-0.533594847,1.271211743,-61.41400909,9.459810257,-5.217699051, 
19,584989387,-5.867863178,-85.37653351,86.12547302,10.12803936,-0.299603701,1.107375145,-55.58353806,7.297415257,-6.520067692, 
20,585006054,-5.974873066,-85.31889343,85.2781601,10.29196072,-0.312734127,0.917326272,-56.76089859,5.830792427,-7.645748615, 
21,585022721,-6.119681358,-85.20743561,84.30729675,10.42669296,-0.364246845,0.987501979,-66.441185,8.745116234,-7.590432167, 
22,585039388,-5.947805405,-84.8219986,82.93130493,10.59789753,-0.945953429,2.031820774,-71.64487457,25.00781441,-7.946516037, 
23,585056055,-5.207516193,-84.08135986,80.99629211,9.250368118,-1.207957506,2.316861391,-70.79493713,45.29794312,-10.48768044, 
24,585072722,-4.381443501,-83.45455933,78.95948792,7.801951885,-1.511402607,2.027836084,-71.47970581,37.30857849,-14.2703886, 
25,585089389,-3.66245985,-83.3524704,77.34809875,8.10792923,-1.42257297,1.979909182,-52.35296249,4.860157967,-15.5463562, 
26,585106056,-3.639201641,-83.44145203,76.46323395,9.976373672,-0.9305076,2.037315607,-50.74579239,-7.447386265,-11.80125523, 
27,585122723,-3.897856236,-83.28887939,75.65919495,10.5281086,-0.719180048,2.243903637,-62.84145737,6.74767971,-10.32008266, 
28,585139390,-4.455823898,-82.97110748,74.94536591,9.150622368,-0.842244446,2.779408693,-75.40400696,16.3849926,-8.916508675, 
29,585156057,-5.656702518,-82.90732574,74.7492218,7.430299759,-1.50115335,2.406746864,-83.14058685,0.346221745,-6.249792099, 
30,585172724,-7.159441471,-83.28174591,74.97959137,7.623326778,-1.628054142,1.915372849,-75.83789063,-26.44741058,-6.344129562, 
31,585189391,-8.632292747,-83.79631805,75.29063416,9.64799118,-1.44424355,1.310971856,-69.23730469,-34.80177307,-7.972800732, 
32,585206058,-9.789616585,-84.01995087,75.42110443,10.94700336,-1.283718109,1.19738996,-61.09379578,-16.90208626,-7.258742809, 
33,585222725,-10.90407658,-84.02657318,75.57382202,10.890131,-1.297049165,1.509943128,-57.21893311,-3.664297581,-5.04300642, 
34,585239392,-12.27298355,-83.95934296,75.97650909,9.907317162,-1.459640622,1.746683598,-57.55587387,0.583432078,-2.575476646, 
35,585256059,-13.52524567,-83.90484619,76.3314209,8.925795555,-1.399052143,1.792574644,-53.42538071,-0.132124439,-2.959923029, 
36,585272726,-14.2705822,-83.91092682,76.32448578,8.676974297,-1.124042511,1.949755311,-44.59025192,-3.157838106,-5.980723858, 
37,585289393,-14.3006134,-83.93104553,75.6707077,9.315421104,-0.913377762,1.942408323,-40.30078888,-3.056740522,-10.03441334, 
38,585306060,-13.69982624,-83.90825653,74.35353851,9.631053925,-0.964130461,1.880295157,-42.06106567,0.3912687,-13.2850399, 
39,585322727,-12.96354485,-83.89821625,72.82540131,9.449252129,-0.880996466,2.08765173,-46.50754547,-0.104795225,-14.64309406, 
40,585339394,-12.32781315,-83.91820526,71.33296967,8.78368187,-0.734027982,2.296612501,-50.43502426,-2.085316896,-14.661623, 
41,585356061,-11.80604172,-84.04681396,69.97213745,8.784741402,-0.330227941,2.552124023,-49.46144104,-8.883363724,-14.91453457, 
42,585372728,-11.08745575,-84.23918152,68.36208344,9.508133888,-0.236044422,2.442222357,-52.58472443,-12.65613174,-16.59095192, 
43,585389395,-9.67771244,-84.46031189,66.00352478,10.20149803,-0.115080662,1.986113071,-55.87138367,-13.93867874,-20.45124054, 
44,585406062,-7.858525276,-84.63710022,63.19627762,10.28438473,0.323645413,2.38621664,-58.19461441,-11.42105389,-21.51174164, 
45,585422729,-6.341051579,-84.82581329,60.65516663,9.205858231,0.240017369,2.323136806,-60.47118378,-12.93975163,-19.02105331, 
46,585439396,-5.822832108,-85.19756317,59.07612991,8.940284729,-0.201011017,2.08932209,-63.02984619,-24.83692169,-14.01072693, 
47,585456063,-6.156498909,-85.66984558,58.33676147,9.390474319,-0.461481422,1.794231057,-64.00139618,-31.34729004,-9.783396721, 
48,585472730,-6.481539249,-86.18412781,57.66626358,9.728855133,-0.510351241,1.130502582,-59.41716766,-33.84984589,-9.483683586, 
49,585489397,-5.837049484,-86.70153046,56.12729263,9.900894165,-0.388001293,0.705766976,-53.33803177,-33.62738419,-12.22565746, 
50,585506064,-3.86413908,-87.2535553,53.24430084,9.619462967,-0.214238733,0.608430505,-54.18295288,-35.30394363,-14.99591827, 
51,585522731,-0.65804255,-87.83662415,49.06413269,9.233794212,-0.084302194,0.537610829,-58.11135864,-37.46904373,-15.12548828, 
52,585539398,4.505798817,-88.4655838,42.85463715,9.184337616,0.072763681,0.78817451,-62.44125366,-40.8004837,-13.64057446, 
53,585556065,15.59225655,-89.14545441,30.6641655,9.201483727,-0.035242949,0.802817822,-65.96536255,-45.16970825,-10.70058918, 
54,585572732,74.41468811,-89.67076111,-29.1960125,9.279728889,-0.257995844,0.360570163,-62.17224121,-47.07577133,-8.291639328, 
55,585589399,150.85289,-89.17079163,-106.5895309,9.427297592,-0.340068489,0.143817097,-57.14981842,-51.5482254,-7.602329254, 
56,585606066,161.3199463,-88.34223175,-117.8936157,9.513955116,-0.274338633,-0.070243031,-50.1178093,-53.56814957,-9.22196579, 
57,585622733,164.1270142,-87.447258,-121.4993286,9.513001442,-0.102042854,-0.287338287,-47.83425522,-55.84767532,-10.89485741, 
58,585639400,165.3961182,-86.45635986,-123.5765762,9.353569984,-0.032527681,-0.369469881,-48.39892197,-61.2068634,-11.70581245, 
59,585656067,166.2371521,-85.35408783,-125.2463531,9.337970734,0.029363211,-0.51476413,-49.56922913,-67.85999298,-11.67115784, 
60,585672734,166.9002228,-84.18325043,-126.7444611,9.567566872,0.42524606,-0.675204694,-49.88806534,-72.16775513,-10.68540096, 
61,585689401,167.530365,-82.91781616,-128.2046204,9.612352371,0.755603373,-0.958213508,-49.42054367,-78.05982208,-9.421199799, 
62,585706068,168.1830444,-81.53787231,-129.6126556,9.812770844,0.608792663,-1.323939323,-44.74514771,-85.11134338,-8.310645103, 
63,585722735,168.8191681,-80.10508728,-130.9375763,10.11768246,0.408181995,-1.462703109,-40.54166794,-88.45404816,-6.654761791, 
64,585739402,169.4922028,-78.66262817,-132.1938324,10.19862747,-0.121634245,-1.604620337,-33.95720291,-89.23874664,-4.50417614, 
65,585756069,170.3185883,-77.23386383,-133.5055389,10.28194809,-0.367554039,-1.284310818,-27.68130302,-88.87640381,-0.698556423, 
66,585772736,171.0809937,-75.79522705,-134.7849579,9.938029289,-0.350696445,-0.74620074,-29.24586678,-89.72568512,1.842846751, 
67,585789403,171.6864471,-74.3241272,-135.9949951,9.830086708,0.085548326,-0.980613112,-34.20581055,-91.86125946,3.391909361, 
68,585806070,172.1796722,-72.7437439,-136.9965515,9.468553543,0.394576311,-1.67316401,-28.45223808,-98.18512726,1.70369792, 
69,585822737,172.4114685,-71.03525543,-137.6413116,10.12148285,0.315086633,-2.580423117,-23.29853058,-105.1693802,-3.607132196, 
70,585839404,172.588623,-69.33984375,-138.1281128,12.1465559,-0.504572392,-3.349792004,-17.31428909,-104.1366959,-5.188068867, 
71,585856071,172.7997589,-67.82859802,-138.5056763,13.8145504,-0.588454008,-4.361763954,-8.945063591,-93.03713226,-5.097468853, 
72,585872738,172.930603,-66.5729599,-138.8005676,13.76922035,0.171339795,-5.230978966,-9.045332909,-77.7045517,-4.386410713, 
73,585889405,172.8371582,-65.60084534,-139.1353455,11.80968666,0.574647784,-5.889690876,-24.57933235,-60.97972488,-0.967918694, 
74,585906072,172.6359558,-64.96657562,-139.485611,10.84428596,0.0084837,-5.716217041,-31.78100777,-40.82265854,2.130170584, 
75,585922739,172.7276154,-64.42446899,-139.8305359,11.82328415,-0.391827404,-5.444784641,-13.85664272,-35.22293854,2.844272375, 
76,585939406,173.0270844,-63.72699738,-140.1831665,11.85455132,0.117281787,-5.632473946,-1.748194337,-44.47407532,2.156892538, 
77,585956073,173.3990631,-62.82706451,-140.555191,11.41868973,0.824690163,-6.173522472,1.667885661,-56.58013535,1.763921618, 
78,585972740,173.829361,-61.831707,-140.9263306,11.72958374,1.14171803,-6.901382923,5.385201454,-62.20235062,1.889878154, 
79,585989407,174.2135315,-60.94607925,-141.2368011,12.08623886,1.038357496,-6.988025665,6.003072739,-55.37548065,1.690641999, 
80,586006074,174.5183105,-60.16870117,-141.4839172,12.23312092,0.704057574,-6.534649372,4.6949687,-48.66516495,1.113156438, 
81,586022741,174.765564,-59.45407104,-141.6789093,12.42716026,0.471263409,-6.190746307,4.052540779,-44.77809525,0.347765326, 
82,586039408,175.0045471,-58.8985672,-141.8464813,12.49557209,0.51896739,-6.227493286,5.039186954,-35.25663757,0.686148047, 
83,586056075,175.254837,-58.53753662,-142.020813,12.20583153,0.742287874,-6.308780193,5.421559811,-23.71827698,2.136430025, 
84,586072742,175.4934998,-58.34125519,-142.2275391,11.76638985,1.054717183,-6.029477119,3.11435914,-13.99495411,4.140110016, 
85,586089409,175.6598969,-58.27074051,-142.484787,11.48174286,1.343565702,-5.508024216,-3.742452383,-6.63803339,6.451079369, 
86,586106076,175.7916107,-58.34710312,-142.8294067,11.23427486,1.341378331,-5.297833443,-10.23132038,1.88046658,9.962752342, 
87,586122743,176.0423737,-58.58348083,-143.2794952,10.87405109,1.047734737,-5.205440998,-8.45847702,11.17416286,13.9790926, 
88,586139410,176.4605713,-58.93784714,-143.8264008,10.24102783,0.907616138,-5.030502796,-3.410594702,18.06673241,17.32171059, 
89,586156077,176.917038,-59.4077301,-144.4125366,9.62276268,0.739296794,-4.688827991,-3.228760958,25.01528549,18.6334877, 
90,586172744,177.4063721,-60.01089096,-145.0566406,9.191221237,0.470513463,-4.468058109,-4.400503159,33.05170822,20.32356071, 
91,586189411,178.0059204,-60.76306534,-145.7679901,8.938925743,0.083042189,-4.436821938,-1.504668474,42.09111404,21.9760685, 
92,586206078,178.5985718,-61.69070816,-146.5052185,8.771672249,0.020572232,-4.477894783,-3.585000277,52.83092117,22.0335083, 
93,586222745,179.0972443,-62.85157776,-147.2145996,8.346489906,0.093609348,-4.29650259,-8.11865139,67.07406616,20.30320358, 
94,586239412,179.6784668,-64.19870758,-148.0402985,7.684985638,0.270167977,-3.869391441,-9.828939438,78.44881439,22.0596447, 
95,586256079,-179.5857697,-65.5424118,-149.0753479,7.41742897,0.507175863,-3.387466431,-12.41544628,78.53980255,25.43975258, 
96,586272746,-178.8203888,-66.79842377,-150.275589,7.527567387,0.659230351,-3.278138399,-20.26400566,73.68237305,27.21569252, 
97,586289413,-178.1116028,-68.01590729,-151.4795074,7.813066483,0.691440463,-3.551331043,-24.44757462,71.72379303,25.00865173, 
98,586306080,-177.3313293,-69.33943176,-152.6624908,7.466657639,0.593497574,-3.843847036,-19.55938911,78.38450623,21.9087925, 
99,586322747,-176.3637695,-70.80925751,-153.9672852,6.29784584,0.371680439,-3.8890481,-15.77521324,87.63549805,21.11654663, 
100,586339414,-175.3096008,-72.24090576,-155.3401489,5.637907028,0.024638049,-3.647300005,-15.07938766,85.82239532,19.15400314, 
101,586356081,-174.1984711,-73.54656982,-156.7991333,5.581235409,-0.090820387,-3.358198166,-17.18129539,78.77623749,17.83625793, 
102,586372748,-172.8807068,-74.67636871,-158.4455414,5.494984627,-0.374499857,-3.139842033,-16.11352348,68.94682312,18.6040287, 
103,586389415,-171.2878723,-75.61829376,-160.3658752,5.264071465,-0.749329984,-3.054963827,-15.95942688,58.72031021,20.80811691, 
104,586406082,-169.5485535,-76.47585297,-162.4190979,5.157479286,-1.036540627,-2.658807039,-15.35283089,54.49065399,20.01872253, 
105,586422749,-167.7378845,-77.26874542,-164.4538574,5.413692474,-1.167093992,-1.863844752,-10.40955925,51.01512909,17.05049706, 
106,586439416,-166.1287079,-77.92138672,-166.3239136,5.873816967,-1.107576609,-1.504016995,-13.18429947,42.56938553,13.79293156, 
107,586456083,-165.0767365,-78.3963089,-167.7163696,6.213728428,-1.131992817,-1.8527565,-18.80921173,30.85118675,8.636867523, 
108,586472750,-164.5362701,-78.7489624,-168.6335449,6.792237282,-1.146314979,-2.109663725,-21.67090225,22.31107521,4.039783478, 
109,586489417,-164.4245453,-78.99223328,-169.194397,7.608916283,-1.155812383,-2.152279377,-26.47012138,14.9072504,1.362401724, 
110,586506084,-164.4281158,-79.15280151,-169.6864014,8.429800987,-1.179128528,-2.345012903,-29.36305809,9.927740097,1.768850923, 
111,586522751,-164.3019714,-79.2673111,-170.3224792,8.948108673,-1.11981535,-2.630332947,-30.08149147,7.756209373,3.944887161, 
112,586539418,-163.9216766,-79.34343719,-171.1070099,9.205235481,-1.264469028,-2.648656368,-23.59967422,6.066862106,6.028366566, 
