PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 757299574, -162.67041015625, -50.19493103027344, 68.01754760742188, 0, 0, 0, 0, 0, 0, 
1, 757316241, -165.4126739501953, -54.46503448486328, 69.46810913085938, 9.779495239257812, 3.3524820804595947, 0.8873141407966614, -44.765682220458984, 82.40434265136719, -6.170112609863281, 
2, 757332908, -174.4354248046875, -64.480224609375, 76.78628540039062, 10.340391159057617, -2.483633518218994, -3.403470754623413, -51.98215866088867, 94.30461120605469, -10.829893112182617, 
3, 757349575, -174.9580078125, -71.159423828125, 76.85099029541016, 11.14787483215332, -3.473583221435547, -1.186212420463562, -21.371036529541016, 130.88021850585938, 1.7146141529083252, 
4, 757366242, -166.2061004638672, -76.90254974365234, 68.07465362548828, 8.724020004272461, -0.9845837354660034, -2.705550193786621, -14.741843223571777, 153.48992919921875, 1.49223792552948, 
5, 757382909, -156.04916381835938, -80.6501235961914, 57.167842864990234, 6.65106725692749, 0.1023905947804451, -2.887636423110962, -48.25956726074219, 164.95545959472656, -5.569248199462891, 
6, 757399576, -146.22622680664062, -82.55524444580078, 45.860443115234375, 7.548453330993652, -5.52607536315918, -6.549051284790039, -85.48929595947266, 130.7412567138672, 13.025134086608887, 
7, 757416243, -131.34637451171875, -82.42106628417969, 29.33266830444336, 9.399757385253906, -5.432017803192139, -4.527684211730957, -92.22824096679688, 142.3066864013672, 29.924161911010742, 
8, 757432910, -115.92178344726562, -81.59917449951172, 13.176920890808105, 10.520448684692383, 1.8615376949310303, -0.9575998783111572, -32.694435119628906, 158.8807373046875, 28.12601661682129, 
9, 757449577, -104.06304168701172, -81.82562255859375, -0.5426957011222839, 8.569866180419922, 3.3077447414398193, -3.7294700145721436, -98.0682144165039, 164.30300903320312, -1.7648723125457764, 
10, 757466244, -97.2269058227539, -82.1619873046875, -9.781293869018555, 9.873481750488281, -1.1346895694732666, -5.322361469268799, -131.36471557617188, 131.75318908691406, 4.857605934143066, 
11, 757482911, -89.76607513427734, -82.3858413696289, -19.319395065307617, 11.037588119506836, -1.3411399126052856, -4.305751800537109, -111.20525360107422, 138.76303100585938, 2.1513867378234863, 
12, 757499578, -81.64693450927734, -82.51166534423828, -29.235002517700195, 10.644698143005371, -1.1368900537490845, -4.690857410430908, -94.79264831542969, 138.3219451904297, -2.8529036045074463, 
13, 757516245, -73.82886505126953, -82.44758605957031, -38.69623947143555, 11.062997817993164, -1.457748532295227, -3.759079933166504, -86.22639465332031, 134.81134033203125, -1.4624634981155396, 
14, 757532912, -64.6945571899414, -82.14791870117188, -49.27010726928711, 10.832601547241211, -1.104696273803711, -3.42301607131958, -73.88473510742188, 144.02105712890625, -3.877788782119751, 
15, 757549579, -56.58020782470703, -81.6325912475586, -58.919219970703125, 11.633564949035645, -1.6490426063537598, -3.4926717281341553, -80.31885528564453, 140.99462890625, -3.75177001953125, 
16, 757566246, -48.34486770629883, -80.66886901855469, -68.38574981689453, 11.479631423950195, -0.9839766025543213, -3.251594066619873, -61.605281829833984, 156.72781372070312, 0.685848593711853, 
17, 757582913, -41.65959167480469, -79.83975982666016, -76.28829193115234, 8.841997146606445, 1.0050265789031982, -4.18695068359375, -61.27748107910156, 141.9031524658203, -13.174735069274902, 
18, 757599580, -36.17939758300781, -79.2796401977539, -83.276611328125, 8.465950965881348, 0.8497772216796875, -3.177832841873169, -79.63398742675781, 123.21253967285156, -26.387327194213867, 
19, 757616247, -31.51852035522461, -78.9309310913086, -89.6056137084961, 8.596345901489258, 0.1325489580631256, -3.4931437969207764, -90.50564575195312, 104.186767578125, -34.35081481933594, 
20, 757632914, -26.781505584716797, -78.7439193725586, -95.96897888183594, 9.07501220703125, -0.35441893339157104, -3.599499464035034, -88.53507995605469, 90.94024658203125, -45.147090911865234, 
21, 757649581, -21.389846801757812, -78.64280700683594, -102.76184844970703, 9.23167610168457, -0.7354153394699097, -3.0348265171051025, -75.12351989746094, 81.97972106933594, -57.12357711791992, 
22, 757666248, -15.412734985351562, -78.5941162109375, -109.92188262939453, 8.180268287658691, -0.614882230758667, -3.0300779342651367, -62.26433181762695, 71.56853485107422, -67.41119384765625, 
23, 757682915, -9.082864761352539, -78.57457733154297, -117.3607406616211, 7.527304649353027, -0.0043150875717401505, -2.4958341121673584, -58.214195251464844, 60.122066497802734, -75.20088195800781, 
24, 757699582, -2.493119239807129, -78.59069061279297, -125.12409210205078, 6.956429958343506, 0.2555796504020691, -2.8907816410064697, -62.57041549682617, 46.34090042114258, -81.57344055175781, 
25, 757716249, 4.288239479064941, -78.71729278564453, -133.23294067382812, 7.027054786682129, 0.1405181884765625, -3.6420111656188965, -72.30094909667969, 27.168222427368164, -85.71007537841797, 
26, 757732916, 11.731219291687012, -78.93290710449219, -141.957763671875, 7.838672161102295, -0.6563302874565125, -4.730067729949951, -69.85157012939453, 8.310673713684082, -89.28895568847656, 
27, 757749583, 20.17585563659668, -79.1463623046875, -151.39266967773438, 8.693504333496094, -1.2246270179748535, -4.947639465332031, -52.52991485595703, -6.725961685180664, -91.800048828125, 
28, 757766250, 29.708358764648438, -79.275146484375, -161.52685546875, 9.017072677612305, -1.5176059007644653, -4.497978687286377, -29.322723388671875, -19.82112693786621, -93.49638366699219, 
29, 757782917, 40.093223571777344, -79.237548828125, -172.1381378173828, 8.947831153869629, -1.0312854051589966, -3.152773857116699, -6.9253387451171875, -31.31909942626953, -94.12711334228516, 
30, 757799584, 50.862876892089844, -78.98661804199219, 177.01632690429688, 8.777050018310547, -0.06325321644544601, -2.140780448913574, 2.1890852451324463, -43.72405242919922, -94.01020050048828, 
31, 757816251, 61.43571472167969, -78.52482604980469, 166.22140502929688, 9.189805030822754, 0.2235284000635147, -2.024224281311035, -6.288531303405762, -58.03911590576172, -91.33443450927734, 
32, 757832918, 71.48573303222656, -77.89656066894531, 155.7096405029297, 9.557700157165527, -0.23040612041950226, -2.323385238647461, -20.14322280883789, -73.53196716308594, -84.64349365234375, 
33, 757849585, 80.87718963623047, -77.12907409667969, 145.68789672851562, 9.8775053024292, -0.4493432641029358, -1.7773969173431396, -29.573545455932617, -87.30548095703125, -75.19290924072266, 
34, 757866252, 89.145263671875, -76.21671295166016, 136.6852264404297, 10.011627197265625, -0.294893741607666, -1.3610749244689941, -35.61272430419922, -93.14567565917969, -65.6236343383789, 
35, 757882919, 96.32176208496094, -75.20889282226562, 128.69256591796875, 10.303339004516602, -0.5852930545806885, -0.9167493581771851, -40.19997787475586, -96.8553466796875, -55.723716735839844, 
36, 757899586, 102.2442626953125, -74.20822143554688, 121.8847427368164, 10.527379035949707, -0.5111138224601746, -0.9451849460601807, -44.58708953857422, -93.7256088256836, -43.65054702758789, 
37, 757916253, 107.39191436767578, -73.24488830566406, 115.79718780517578, 10.2561674118042, -0.19633029401302338, -1.0521111488342285, -47.55011749267578, -93.27323150634766, -32.169464111328125, 
38, 757932920, 111.79662322998047, -72.34468078613281, 110.3851089477539, 10.0813570022583, -0.14987409114837646, -1.0202878713607788, -51.50133514404297, -89.79244232177734, -21.639678955078125, 
39, 757949587, 115.64921569824219, -71.53295135498047, 105.5293197631836, 9.925813674926758, -0.34370163083076477, -1.493030071258545, -51.2059326171875, -85.01226043701172, -11.631328582763672, 
40, 757966254, 119.21458435058594, -70.80096435546875, 101.00582885742188, 10.054015159606934, -0.31186288595199585, -1.570575475692749, -48.14031982421875, -81.99098205566406, -2.441537618637085, 
41, 757982921, 122.48055267333984, -70.13617706298828, 96.80584716796875, 10.161667823791504, -0.015948936343193054, -1.0395302772521973, -46.54780578613281, -77.95792388916016, 4.727365016937256, 
42, 757999588, 125.31929779052734, -69.57579040527344, 93.04930114746094, 10.122562408447266, 0.12032252550125122, -0.6016473770141602, -46.041542053222656, -69.61771392822266, 10.861483573913574, 
43, 758016255, 127.82119750976562, -69.15047454833984, 89.62611389160156, 9.67235279083252, -0.06580524146556854, -0.9720684289932251, -46.556365966796875, -61.07477951049805, 17.86872673034668, 
44, 758032922, 130.1811981201172, -68.83195495605469, 86.34510040283203, 8.896063804626465, -0.03356458619236946, -1.4175984859466553, -46.38621520996094, -55.67705535888672, 24.57378387451172, 
45, 758049589, 132.412109375, -68.59111785888672, 83.140869140625, 8.391812324523926, -0.2196316123008728, -1.8512564897537231, -49.289100646972656, -51.61347198486328, 30.093210220336914, 
46, 758066256, 134.61598205566406, -68.42904663085938, 79.99728393554688, 8.285428047180176, -0.4188828766345978, -2.0631847381591797, -47.10541534423828, -47.08384323120117, 35.286258697509766, 
47, 758082923, 136.7700653076172, -68.33747863769531, 76.89283752441406, 8.01374626159668, -0.30863460898399353, -2.724733829498291, -47.61455535888672, -42.687232971191406, 39.89973068237305, 
48, 758099590, 139.0714569091797, -68.20462036132812, 73.70542907714844, 8.311165809631348, -0.0333658792078495, -1.9948980808258057, -43.160160064697266, -44.54497146606445, 41.770084381103516, 
49, 758116257, 141.13861083984375, -68.16419982910156, 70.92111206054688, 8.702550888061523, 0.06671945005655289, -1.1967225074768066, -34.49138259887695, -33.383338928222656, 40.619327545166016, 
50, 758132924, 142.93492126464844, -68.25711059570312, 68.50386810302734, 8.139219284057617, 0.16354259848594666, -1.839824914932251, -30.109338760375977, -21.115022659301758, 40.38968276977539, 
51, 758149591, 144.78750610351562, -68.35334777832031, 65.9892349243164, 7.79999303817749, -0.006372734904289246, -2.300058126449585, -32.06797790527344, -21.10449981689453, 42.986900329589844, 
52, 758166258, 146.67405700683594, -68.46481323242188, 63.388206481933594, 8.087015151977539, 0.3803485631942749, -1.9481980800628662, -34.81126022338867, -20.01828956604004, 45.79175567626953, 
53, 758182925, 147.9210662841797, -68.6406478881836, 61.151065826416016, 7.737006187438965, 3.453303337097168, -3.6155476570129395, -52.8362922668457, -11.235771179199219, 41.68319320678711, 
54, 758199592, 149.399169921875, -68.39289855957031, 58.33212661743164, 15.20695972442627, 0.40300244092941284, -4.369889736175537, -71.15887451171875, -38.533565521240234, 40.550045013427734, 
55, 758216259, 151.34036254882812, -68.23187255859375, 55.608070373535156, 21.72112464904785, 1.086960792541504, -2.881143808364868, -37.82478332519531, -32.22879409790039, 42.97740173339844, 
