PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,4293044231,-20.4738369,16.08481216,-20.22081757,0,0,0,0,0,0, 
1,4293060898,-19.98860741,16.08016014,-20.29695702,-2.71561861,-2.905563831,8.757130623,19.66822243,4.128153324,-8.682808876, 
2,4293077565,-19.35453224,16.15120888,-20.3378849,-2.717108011,-2.970794678,8.544671059,18.27419472,4.507489681,-10.14256859, 
3,4293094232,-18.93706512,16.25222397,-20.4370594,-2.670113087,-2.968436241,8.672683716,16.36849022,3.895498037,-11.20656967, 
4,4293110899,-18.65754318,16.31275558,-20.58250046,-2.743887901,-2.995467424,8.808135033,14.26372433,5.03568697,-11.67852211, 
5,4293127566,-18.47224236,16.37850761,-20.73650169,-2.831339836,-2.904402971,8.766367912,11.96478939,6.071413994,-11.27640057, 
6,4293144233,-18.30579758,16.49637413,-20.90602684,-2.720682383,-3.177913189,8.894351006,11.88945961,8.230067253,-11.56587505, 
7,4293160900,-18.23244476,16.61183167,-21.1152401,-2.609838247,-2.773986101,8.857892036,10.11431885,10.09393215,-11.05988312, 
8,4293177567,-18.18767738,16.72444916,-21.35093498,-2.690332413,-2.832538605,9.15242672,6.781041145,12.0809679,-12.15781307, 
9,4293194234,-18.12088776,16.83880615,-21.63100433,-2.746263027,-2.568701267,8.987738609,7.258616924,13.41356182,-12.82282352, 
10,4293210901,-17.99172211,16.95769119,-21.89928055,-2.752380848,-3.110440731,8.736198425,9.767516136,13.94617176,-14.42808151, 
11,4293227568,-17.85486984,17.08908081,-22.18728828,-2.862914324,-3.020840883,8.713179588,13.13390255,14.89447212,-15.73329639, 
12,4293244235,-17.77814865,17.23396111,-22.49543571,-2.944824457,-2.930814505,9.015324593,11.09082413,15.44072723,-16.79093552, 
13,4293260902,-17.78549767,17.38524628,-22.85184479,-2.988377571,-2.792083025,8.978485107,6.801193237,16.11437798,-18.6247673, 
14,4293277569,-17.83184433,17.5393734,-23.24644852,-2.961431503,-2.920471191,8.879372597,4.725893974,16.48288155,-20.20826149, 
15,4293294236,-17.89812279,17.70726585,-23.69215012,-2.865516186,-2.96685195,8.69774437,4.341684818,17.69007492,-21.55522156, 
16,4293310903,-17.96486092,17.92287445,-24.17592621,-2.706020594,-3.610583544,9.241031647,5.654150963,21.37304115,-23.2575779, 
17,4293327570,-18.01340866,18.23478508,-24.76065254,-2.709971666,-3.60201478,9.132656097,9.902198792,29.49041176,-26.6156292, 
18,4293344237,-17.89823151,18.63763809,-25.42809105,-2.591300964,-3.293241978,9.26175499,22.60376167,36.95894623,-29.9849987, 
19,4293360904,-17.45937157,19.13367462,-26.22077179,-2.745771408,-3.168094873,8.842323303,43.83745575,44.1436348,-32.33568573, 
20,4293377571,-16.61619377,19.70698547,-27.00688171,-2.963153839,-2.572306633,8.932019234,68.43772888,48.28131866,-30.94221878, 
21,4293394238,-15.46771526,20.33547211,-27.77620506,-3.004712343,-2.520792007,8.759209633,86.93949127,51.10860443,-31.70454979, 
22,4293410905,-14.11999321,21.00896454,-28.51622391,-3.142487526,-2.41526556,9.278491974,98.54946136,52.54634476,-30.57256317, 
23,4293427572,-12.70655155,21.7002697,-29.26860809,-3.008774757,-2.045469999,9.499530792,102.2446213,52.59462738,-30.20685387, 
24,4293444239,-11.03984547,22.43780327,-29.85169411,-2.282826662,-1.878492713,8.442181587,115.5547943,53.74643326,-25.9901104, 
25,4293460906,-9.051886559,23.18822289,-30.45055199,-2.438437462,-1.580783844,8.5020895,134.1984406,53.75140381,-24.78796959, 
26,4293477573,-7.137095451,23.88161659,-30.97578621,-2.877745628,-0.41888389,9.269088745,129.9967041,49.82008362,-26.45892525, 
27,4293494240,-5.648696899,24.48417854,-31.53404808,-3.303100109,0.200933024,9.799229622,103.7991943,43.8050499,-28.01789093, 
28,4293510907,-4.679003716,25.01238823,-32.05528641,-3.288573265,-0.340174913,9.398234367,72.6672287,38.9976387,-30.62041092, 
29,4293527574,-3.975848436,25.52155113,-32.62908936,-3.28941679,-1.282042027,8.94321537,57.1429863,37.53493118,-32.02483368, 
30,4293544241,-3.365796089,26.03256226,-33.21718597,-3.250398636,-1.477765322,8.379383087,52.74518204,37.31797409,-33.06333923, 
31,4293560908,-2.923547029,26.54022598,-33.86108017,-3.233474255,-1.008304119,7.955757618,44.44695663,36.81797791,-34.94254303, 
32,4293577575,-2.727425575,27.06515503,-34.53807449,-3.137541056,-0.833181918,7.258543968,31.31191063,37.61686707,-36.89135742, 
33,4293594242,-2.745457649,27.64062691,-35.26501465,-3.386529684,-1.218671799,6.733504772,20.36319542,40.50633621,-39.18116379, 
34,4293610909,-2.890339613,28.28874779,-36.06233597,-3.672928572,-1.637930632,6.683220387,15.46537399,44.73740005,-42.24290085, 
35,4293627576,-3.009889364,28.9989109,-36.91049194,-4.51944685,-2.077001333,7.535467625,19.47672844,48.30155563,-44.3101387, 
36,4293644243,-3.094671965,29.69097328,-37.77598572,-5.435081959,-2.241318703,8.606119156,22.82737541,46.87622833,-44.0901413, 
37,4293660910,-3.332334518,30.31576157,-38.65301895,-5.832770824,-1.501184344,8.78234005,15.29846573,42.5935936,-44.79626465, 
38,4293677577,-3.720570564,30.89759445,-39.53577423,-6.03989172,-0.79271251,9.147846222,6.478607178,39.79074097,-43.65325165, 
39,4293694244,-4.126643181,31.44507408,-40.3586235,-6.192336559,-0.115150973,8.444420815,4.083898544,37.50685883,-40.56781769, 
40,4293710911,-4.623189926,32.00052261,-41.09142685,-5.75352335,-0.041752279,7.477263927,-3.546695471,37.58474731,-36.4093132, 
41,4293727578,-5.129000664,32.59029388,-41.79096222,-5.985168934,-0.302590549,6.979972839,-5.892288685,39.29979324,-32.81894302, 
42,4293744245,-5.574121952,33.21438217,-42.42477798,-6.539655685,-0.857907355,6.929467678,-3.936879635,40.88591766,-29.26751518, 
43,4293760912,-5.888468742,33.89007187,-43.00600052,-7.077832222,-1.10594511,7.664554119,2.58992815,43.38461685,-25.99990845, 
44,4293777579,-6.173093796,34.6172142,-43.54069519,-6.96664381,-0.729888916,7.064726353,3.313840389,45.91911697,-23.132061, 
45,4293794246,-6.445878983,35.41448593,-44.01622772,-6.705877781,-0.691367269,6.758003712,2.289823771,49.45794678,-19.37860107, 
46,4293810913,-6.693566322,36.30174637,-44.43719101,-6.899563313,-0.392397881,7.076416016,2.052458048,54.23592758,-15.54722691, 
47,4293827580,-7.033677101,37.2584343,-44.80995941,-6.169716358,0.022652581,7.74837923,-5.004355431,57.89823532,-12.32522297, 
48,4293844247,-7.532398224,38.30787277,-45.17567825,-5.526039124,-1.504532337,7.917652607,-14.63557243,63.47367096,-10.77759933, 
49,4293860914,-7.839135647,39.45729446,-45.50889969,-5.850949764,-1.786389589,7.490146637,-3.971240997,69.44937134,-7.595769882, 
50,4293877581,-8.087246895,40.70087814,-45.82235336,-6.05714941,-1.672431469,7.370686054,-1.20810461,74.95666504,-4.666400433, 
51,4293894248,-8.346662521,42.04176712,-46.17183304,-6.138755798,-1.146550179,7.256033421,-1.036627412,80.88319397,-3.62631011, 
52,4293910915,-8.680931091,43.48868561,-46.54595184,-6.434381962,-1.094080925,7.30809021,-4.129704952,87.41571808,-3.038651466, 
53,4293927582,-9.070118904,45.09812927,-46.9798851,-6.674755096,-1.25939095,7.228144169,-4.549269199,97.50702667,-3.089770317, 
54,4293944249,-9.57042408,46.85291672,-47.5104866,-7.061707497,-1.10078299,7.226054192,-6.528639317,106.8042526,-4.343903065, 
55,4293960916,-10.08408546,48.7539711,-48.15064621,-7.530231476,-0.938527167,7.09708786,-1.818390012,116.215126,-5.522905827, 
56,4293977583,-10.58123302,50.71271515,-48.81688309,-8.018371582,-1.587308049,6.620963097,1.148493171,119.752243,-3.947533131, 
57,4293994250,-10.93469143,52.64450836,-49.37572861,-8.377396584,-1.455225468,6.208588123,5.578229427,117.2719421,1.641738296, 
58,4294010917,-11.09320068,54.54554367,-49.67824173,-9.211772919,-1.735792756,6.510917664,5.566791534,113.5236435,11.66699219, 
59,4294027584,-11.07916737,56.48319244,-49.67283249,-8.793554306,-1.332774162,5.493943691,1.045162797,113.5625763,23.03275681, 
60,4294044251,-10.98657894,58.42389679,-49.49942017,-8.150074005,-2.136007071,5.061422348,-2.762659788,112.691185,28.28277779, 
61,4294060918,-10.83400536,60.30496979,-49.19284058,-8.198968887,-1.639304996,4.509279728,-6.168884754,108.5340042,31.19802666, 
62,4294077585,-10.59627342,62.11663055,-48.78604126,-8.204577446,-1.369838238,3.876363277,-6.613304138,104.0849152,32.4630928, 
63,4294094252,-10.22036552,63.83572006,-48.30263138,-8.44240284,-1.155536413,3.669962406,-2.772378683,98.48330688,32.34169769, 
64,4294110919,-9.80361557,65.47137451,-47.78077316,-9.208077431,-1.342272401,4.099084854,-2.797495365,93.6802063,31.03046227, 
65,4294127586,-9.314234734,67.05214691,-47.09588242,-9.266126633,-0.441162109,3.344056606,-7.764302254,90.14104462,32.87568283, 
66,4294144253,-8.652630806,68.59011078,-46.24153137,-8.725174904,-1.163223863,2.857346773,-7.330346107,87.42021942,34.2779808, 
67,4294160920,-7.878933907,70.06576538,-45.28369141,-9.047504425,-1.543365955,3.180726528,-6.913945198,83.94142151,33.60648727, 
68,4294177587,-7.026769161,71.50200653,-44.19670105,-9.667809486,-1.150541782,3.329013586,-10.01153469,81.90000916,33.35583496, 
69,4294194254,-5.890512943,72.92675018,-42.84897995,-9.541770935,-0.517205179,2.97507143,-8.389872551,81.41374207,35.10290527, 
70,4294210921,-4.312269688,74.35135651,-41.14899445,-9.059294701,0.005371496,2.195318699,-2.771981478,81.8422699,37.14889908, 
71,4294227588,-1.996566772,75.77905273,-38.92283249,-9.875497818,-0.682426929,2.859769344,10.23452854,82.86360168,39.96007538, 
72,4294244255,1.269791365,77.21600342,-35.89805222,-10.91108322,-1.814685822,3.650546551,19.84152031,85.20491028,43.82598495, 
73,4294260922,5.708593845,78.6614151,-31.71716881,-11.09283733,-1.950473547,3.221781969,21.34340858,89.12849426,48.11756134, 
74,4294277589,11.98662376,80.04605865,-25.7818203,-10.77017784,-2.149517536,2.94098568,27.0347538,91.62877655,53.4944725, 
75,4294294256,20.70261765,81.25228119,-17.55588531,-10.63406944,-2.20595026,1.994172215,36.30143738,91.47569275,58.06970215, 
76,4294310923,32.91722488,82.15710449,-6.189642429,-11.32012272,-2.181925535,2.852568865,58.36728668,92.23967743,65.03890228, 
77,4294327590,48.21467972,82.63798523,7.809085369,-12.07208157,-2.608863831,2.930518866,85.62535858,93.73908234,67.56302643, 
78,4294344257,62.4644165,82.75984955,20.69444275,-14.05522346,-2.308255672,4.467357635,88.50476837,84.89341736,52.07192993, 
79,4294360924,73.98293304,82.62136841,31.54816628,-14.96407413,-1.359516501,5.434752464,45.6164856,74.2518692,40.96466064, 
80,4294377591,81.98297882,82.39483643,39.50556564,-14.60635567,-1.143084049,4.909582138,7.148127556,58.9776268,29.03499031, 
81,4294394258,86.00300598,82.1765213,44.03197861,-13.95934677,-0.482296556,4.468214512,-27.3400383,36.23548889,19.85358238, 
82,4294410925,85.35723877,82.007164,44.29854584,-13.09777641,0.008802105,4.63482666,-53.92195511,3.11992979,13.50071621, 
83,4294427592,80.13137817,81.85917664,40.25391006,-12.47003841,0.750444412,4.29832983,-72.5043869,-32.88267899,7.818850517, 
84,4294444259,71.09540558,81.6568222,32.78851318,-11.5994978,1.29142189,2.738026142,-97.95809937,-62.90376663,-0.830256045, 
85,4294460926,59.21220016,81.26812744,22.69414139,-10.96201706,0.769394815,0.858559728,-113.0125122,-88.92311096,-13.28386974, 
86,4294477593,45.98443222,80.57039642,11.45832729,-9.781783104,1.563443661,0.26995039,-126.8120499,-107.5222321,-28.02359581, 
87,4294494260,33.4598999,79.69622803,1.316252112,-8.059157372,2.429087877,-0.90808773,-150.7351532,-104.7969437,-43.3725853, 
88,4294510927,21.38129616,78.87423706,-7.891901016,-7.0081563,0.886245608,-2.453129768,-180.6535034,-89.29160309,-65.27487183, 
89,4294527594,8.966499329,78.09768677,-17.65686607,-7.376441479,-2.843509912,-2.528987646,-169.5516663,-74.27038574,-97.4888916, 
90,4294544261,-2.503511906,76.9734726,-27.19845009,-7.842929363,-3.205007315,-1.525525689,-127.8682709,-73.41799164,-116.1511917, 
91,4294560928,-11.92914391,75.44989014,-35.36695099,-7.942975998,-3.091099977,-0.4037278,-88.09354401,-75.50304413,-123.787056, 
92,4294577595,-18.96375656,73.60814667,-41.72393799,-8.021125793,-2.181295156,0.423368156,-52.9001236,-79.18772888,-123.8305283, 
93,4294594262,-24.04786301,71.54364014,-46.59949112,-8.117621422,-1.499833107,1.299411297,-24.25071716,-83.08592224,-123.2559586, 
