PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,584672714,-153.66957,-4.682762,20.672932,-2.5295825,-0.26594633,1.3936638,4.345436,16.435448,-1.4636581,0.0,0.0,0.0,0.0,0.0,0.0
1,584689381,-140.82164,-4.4176254,31.394476,-2.2534165,-0.26109567,1.4603498,2.6906767,16.511963,-2.1617897,-0.037557,-0.004352,0.024339,0.044845,0.275199,-0.03603
2,584706048,-127.46912,-4.1378403,42.470917,-1.9531059,-0.25780615,1.5315839,0.906446,16.618254,-2.8927033,-0.070109,-0.008649,0.049865,0.059952,0.55217,-0.084242
3,584722715,-113.834656,-3.847206,53.69372,-1.6330805,-0.2563293,1.6063733,-0.9858818,16.753155,-3.6456528,-0.097327,-0.012921,0.076638,0.043521,0.831389,-0.145003
4,584739382,-95.41758,-3.4668503,69.22741,-1.2037659,-0.25182965,1.7046452,-3.4377842,16.93803,-4.64071,-0.11739,-0.017118,0.105049,-0.013775,1.11369,-0.222348
5,584756049,-73.216446,-3.013855,88.14301,-0.6833515,-0.24558385,1.8222059,-6.3563147,17.171646,-5.829532,-0.128779,-0.021211,0.135419,-0.119714,1.399884,-0.319507
6,584772716,-58.367043,-2.6729584,100.35943,-0.32177162,-0.2548712,1.8780324,-9.245906,16.84251,-6.511377,-0.134142,-0.025459,0.16672,-0.273812,1.680593,-0.42803
7,584789383,-51.331856,-2.45092,105.46868,-0.13018703,-0.28085247,1.8669416,-12.128297,15.892922,-6.6478324,-0.136312,-0.03014,0.197836,-0.47595,1.945475,-0.538827
8,584806050,-47.454166,-2.2705383,107.66932,-0.00075912476,-0.31627488,1.8246348,-15.188542,14.610067,-6.540201,-0.136325,-0.035411,0.228247,-0.729092,2.188976,-0.64783
9,584822717,-49.69057,-2.180359,104.28794,0.0002412796,-0.36596355,1.7288921,-18.314693,12.818873,-5.9986415,-0.136321,-0.04151,0.257062,-1.034337,2.402624,-0.747807
10,584839384,-50.331028,-2.050949,102.32711,0.043289185,-0.41870186,1.6321033,-21.928764,10.877185,-5.4898663,-0.1356,-0.048488,0.284264,-1.399816,2.58391,-0.839305
11,584856051,-48.982143,-1.8752899,102.14278,0.13789368,-0.47410446,1.5367726,-26.063293,8.799955,-5.0364585,-0.133302,-0.05639,0.309877,-1.834204,2.730576,-0.923246
12,584872718,-52.051125,-1.7597122,97.92722,0.14188194,-0.542114,1.3971227,-30.423435,6.249857,-4.23896,-0.130937,-0.065425,0.333162,-2.341261,2.83474,-0.993895
13,584889385,-57.94463,-1.6770325,91.12854,0.090851784,-0.620607,1.2235553,-35.11072,3.2931042,-3.191423,-0.129423,-0.075768,0.353555,-2.92644,2.889625,-1.047085
14,584906052,-60.65808,-1.5464249,87.561905,0.076553345,-0.68593687,1.1720369,-39.045116,2.041842,-2.8737535,-0.128147,-0.0872,0.373089,-3.577192,2.923656,-1.094981
15,584922719,-60.44532,-1.3736343,87.03773,0.08925724,-0.737232,1.2518175,-42.092075,2.6572285,-3.3293524,-0.126659,-0.099487,0.393953,-4.278727,2.967943,-1.15047
16,584939386,-59.122345,-1.1790619,87.74011,0.10848522,-0.78444815,1.3958985,-44.836853,4.1829686,-4.15558,-0.124851,-0.112561,0.417218,-5.026008,3.037659,-1.21973
17,584956053,-55.261852,-0.94412994,91.07315,0.15397453,-0.8213767,1.646923,-46.964436,7.2085433,-5.6151667,-0.122285,-0.126251,0.444667,-5.808749,3.157801,-1.313316
18,584972720,-54.072178,-0.7438431,92.10427,0.13451481,-0.8646138,1.9023149,-49.034252,10.419866,-7.033121,-0.120043,-0.140661,0.476372,-6.625987,3.331465,-1.430535
19,584989387,-55.79687,-0.58135986,90.60805,0.04578209,-0.91508126,2.157453,-51.08233,13.75682,-8.378769,-0.11928,-0.155912,0.51233,-7.477359,3.560745,-1.570181
20,585006054,-56.676647,-0.40435028,90.20047,-0.051787376,-0.95917904,2.5012233,-52.54504,18.401552,-10.21873,-0.120143,-0.171898,0.554017,-8.35311,3.867438,-1.740493
21,585022721,-57.85997,-0.2294159,89.805,-0.17913342,-1.0004064,2.9133031,-53.527485,24.09966,-12.416423,-0.123129,-0.188571,0.602572,-9.245235,4.269099,-1.947433
22,585039388,-58.860302,-0.07007599,89.15182,-0.27007294,-1.0551301,3.1792247,-54.728394,26.669159,-13.667357,-0.12763,-0.206157,0.655559,-10.157375,4.713585,-2.175222
23,585056055,-59.238407,0.07736206,88.60397,-0.3129692,-1.1232556,3.2900631,-56.123055,25.8636,-13.917022,-0.132846,-0.224878,0.710393,-11.092759,5.144645,-2.407172
24,585072722,-60.0488,0.20701599,87.5257,-0.35496044,-1.1993849,3.334508,-57.432304,23.502337,-13.69324,-0.138762,-0.244868,0.765968,-12.049964,5.536351,-2.635393
25,585089389,-61.06576,0.31586456,85.93337,-0.376647,-1.2876647,3.2554545,-58.8143,18.446354,-12.646754,-0.145039,-0.266329,0.820226,-13.030202,5.84379,-2.846172
26,585106056,-61.64021,0.4243698,84.89291,-0.40245628,-1.3750806,3.2016106,-59.697075,13.442753,-11.685444,-0.151747,-0.289247,0.873586,-14.025153,6.067836,-3.040929
27,585122723,-61.852436,0.531456,84.361565,-0.4365368,-1.4611386,3.180202,-60.032448,8.624096,-10.849238,-0.159023,-0.313599,0.926589,-15.025694,6.211571,-3.22175
28,585139390,-61.814438,0.623909,83.83833,-0.44979572,-1.5558724,3.0673995,-60.224243,1.6171331,-9.379508,-0.16652,-0.33953,0.977712,-16.029431,6.238523,-3.378075
29,585156057,-61.390934,0.7053528,83.54728,-0.44756794,-1.6565702,2.8936982,-60.133278,-7.0280027,-7.4597487,-0.173979,-0.36714,1.02594,-17.031652,6.12139,-3.502404
