PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,531185854,109.33127,8.159325,145.59834,-2.5971203,1.0953547,1.9581918,-6.947251,5.5031533,-9.502294,0.0,0.0,0.0,0.0,0.0,0.0
1,531202521,109.07755,8.1673355,145.69765,-2.271688,1.0044739,1.9316599,-10.3082905,5.3541346,-9.05894,-0.037861,0.016741,0.032194,-0.171805,0.089236,-0.150982
2,531219188,108.80451,8.170654,145.80699,-1.9201317,0.90855384,1.9069936,-13.896067,5.201067,-8.608048,-0.069863,0.031884,0.063977,-0.403406,0.17592,-0.294449
3,531235855,108.51519,8.168488,145.92566,-1.5476217,0.80888116,1.8846444,-17.66342,5.0454974,-8.155767,-0.095657,0.045365,0.095388,-0.697796,0.260012,-0.430378
4,531252522,108.14371,8.175026,146.07262,-1.0489435,0.67902756,1.8557411,-22.592356,4.8559976,-7.5722585,-0.113139,0.056682,0.126317,-1.074335,0.340945,-0.556582
5,531269189,107.70368,8.186584,146.24437,-0.44576454,0.52471095,1.8226318,-28.47561,4.639922,-6.8878527,-0.120568,0.065427,0.156694,-1.548929,0.418277,-0.67138
6,531285856,107.16135,8.179268,146.41196,-0.04825592,0.430315,1.8333293,-32.836548,4.766671,-6.785982,-0.121372,0.072599,0.187249,-2.096205,0.497722,-0.78448
7,531302523,106.50264,8.152458,146.57568,0.12859821,0.40042636,1.891645,-35.575554,5.269711,-7.3181243,-0.119229,0.079273,0.218776,-2.689131,0.585551,-0.906449
8,531319190,105.750175,8.114952,146.74751,0.21887112,0.39865306,1.9766536,-37.742985,5.980645,-8.182351,-0.115581,0.085917,0.25172,-3.318181,0.685228,-1.042822
9,531335857,104.88941,8.060448,146.92055,0.1397419,0.44781768,2.1019619,-38.685314,7.00527,-9.570203,-0.113252,0.093381,0.286753,-3.962936,0.801983,-1.202325
10,531352524,103.919426,8.006477,147.11748,0.10081291,0.49169528,2.2376573,-40.117764,8.123078,-11.052625,-0.111572,0.101576,0.324047,-4.631565,0.937368,-1.386535
11,531369191,102.837524,7.953697,147.34007,0.11337471,0.52750945,2.3827217,-42.134445,9.325977,-12.612302,-0.109682,0.110368,0.363759,-5.333806,1.092801,-1.59674
12,531385858,101.62811,7.887779,147.57164,0.0010595322,0.6033082,2.5644248,-43.317432,10.820263,-14.635383,-0.109664,0.120423,0.406499,-6.055763,1.273139,-1.840663
13,531402525,100.28711,7.8122864,147.8175,-0.19281673,0.7077193,2.777221,-44.02592,12.56552,-17.040104,-0.112878,0.132218,0.452786,-6.789528,1.482564,-2.124665
14,531419192,99.359795,7.797722,147.76097,-0.29970264,0.7693027,2.9499018,-45.00515,13.137877,-18.436087,-0.117873,0.14504,0.501951,-7.539614,1.701529,-2.431933
15,531435859,98.89547,7.8493576,147.36787,-0.32653618,0.78758025,3.0795834,-46.14294,12.425267,-18.7412,-0.123315,0.158166,0.553277,-8.308663,1.908617,-2.744286
16,531452526,98.63194,7.9364014,146.79036,-0.3253641,0.7892041,3.196865,-47.319023,11.074579,-18.563051,-0.128738,0.171319,0.606558,-9.097313,2.093193,-3.05367
17,531469193,98.723236,8.078651,145.93591,-0.25618744,0.7560661,3.2830062,-48.68275,8.686889,-17.52325,-0.133008,0.18392,0.661275,-9.908692,2.237974,-3.345724
18,531485860,98.846825,8.231636,144.98213,-0.2642126,0.742728,3.3873205,-49.423157,6.142165,-16.535206,-0.137412,0.196299,0.71773,-10.732411,2.340343,-3.621311
19,531502527,98.98602,8.393669,143.9357,-0.3565054,0.7519386,3.512653,-49.503033,3.479913,-15.643929,-0.143354,0.208831,0.776274,-11.557462,2.398342,-3.882043
20,531519194,99.439575,8.604782,142.62312,-0.42819595,0.7412021,3.6183448,-49.433895,-0.09610611,-14.061033,-0.150491,0.221184,0.83658,-12.38136,2.39674,-4.116394
21,531535861,100.145256,8.856537,141.07596,-0.511446,0.72219664,3.7148147,-49.026398,-4.4166303,-11.970059,-0.159015,0.233221,0.898494,-13.198467,2.323129,-4.315895
22,531552528,100.39092,9.031921,139.92429,-0.5768299,0.7111701,3.78075,-48.89039,-7.1456428,-10.74303,-0.168629,0.245074,0.961507,-14.013307,2.204035,-4.494945
23,531569195,100.15086,9.125229,139.2025,-0.610549,0.70465153,3.8086152,-49.122528,-8.167872,-10.40659,-0.178805,0.256818,1.024984,-14.832016,2.067904,-4.668388
24,531585862,99.72584,9.186882,138.62904,-0.6496153,0.70290846,3.8150754,-49.28673,-8.486608,-10.426437,-0.189632,0.268533,1.088569,-15.653462,1.926461,-4.842162
25,531602529,98.92935,9.185562,138.37283,-0.68318844,0.7090873,3.7920446,-49.555737,-7.475785,-11.156389,-0.201018,0.280351,1.15177,-16.479391,1.801865,-5.028102
26,531619196,98.25848,9.200569,138.01717,-0.70246506,0.7027666,3.74084,-49.687984,-6.7123322,-11.585013,-0.212726,0.292064,1.214117,-17.307524,1.689993,-5.221186
27,531635863,97.74127,9.236099,137.53806,-0.7101126,0.6835543,3.6613178,-49.63916,-6.277854,-11.661224,-0.224561,0.303457,1.275139,-18.134843,1.585362,-5.41554
28,531652530,96.97021,9.225418,137.28986,-0.7005005,0.66397196,3.5445743,-49.67595,-4.840824,-12.191132,-0.236236,0.314523,1.334215,-18.962775,1.504682,-5.618726
29,531669197,96.05029,9.184883,137.18613,-0.6716013,0.63949645,3.389608,-49.74065,-2.7246275,-12.960902,-0.247429,0.325181,1.390708,-19.791786,1.459272,-5.834741
