PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,733553158,30.677544,-48.682755,21.527859,7.1143603,0.27765512,-4.336665,4.433379,4.4084806,-5.838298,0.0,0.0,0.0,0.0,0.0,0.0
1,733569825,30.801872,-48.58549,21.523842,7.068446,0.46374226,-4.553165,4.724798,4.1868153,-5.024988,0.117807,0.007729,-0.075886,0.078747,0.06978,-0.08375
2,733586492,30.931206,-48.485275,21.519161,7.0170903,0.6654434,-4.7895603,5.068204,3.95465,-4.1642723,0.234759,0.01882,-0.155712,0.163217,0.135691,-0.153155
3,733603159,31.063377,-48.383827,21.513813,6.9609776,0.87977076,-5.0424767,5.4606657,3.7157567,-3.2669423,0.350775,0.033483,-0.239753,0.254228,0.19762,-0.207604
4,733619826,31.241753,-48.246376,21.507736,6.8861237,1.1672411,-5.3805075,5.9658976,3.3941674,-2.1045463,0.465544,0.052937,-0.329428,0.35366,0.254189,-0.24268
5,733636493,31.456718,-48.08074,21.500889,6.7951717,1.5154786,-5.789866,6.574711,3.0065238,-0.7262845,0.578797,0.078195,-0.425926,0.463239,0.304298,-0.254785
6,733653160,31.642769,-47.96736,21.436642,6.731591,1.7361326,-6.070012,7.05264,2.4086208,0.42974067,0.69099,0.107131,-0.527093,0.580783,0.344442,-0.247623
7,733669827,31.799782,-47.909294,21.309124,6.69747,1.8196101,-6.2115397,7.3880606,1.5739532,1.3540127,0.802615,0.137458,-0.630619,0.703917,0.370675,-0.225056
8,733686494,31.953072,-47.8733,21.144753,6.6736703,1.847775,-6.3014646,7.688484,0.5789356,2.2252655,0.913843,0.168254,-0.735643,0.832058,0.380324,-0.187968
9,733703161,32.08634,-47.880646,20.92699,6.6717367,1.7701354,-6.286447,7.892103,-0.6234007,2.9312153,1.025039,0.197756,-0.840417,0.963593,0.369934,-0.139114
10,733719828,32.249992,-47.875015,20.688202,6.66241,1.7129755,-6.3023424,8.154587,-1.9732547,3.7915359,1.136079,0.226306,-0.945456,1.099503,0.337046,-0.075922
11,733736495,32.446968,-47.853554,20.42942,6.6439857,1.6830378,-6.3567066,8.486359,-3.471026,4.82483,1.246812,0.254357,-1.051401,1.240942,0.279196,0.004492
12,733753162,32.63871,-47.86273,20.119305,6.6410074,1.5734296,-6.3356876,8.757105,-5.1924424,5.776981,1.357495,0.280581,-1.156996,1.386894,0.192655,0.100775
13,733769829,32.836327,-47.89086,19.763535,6.6473455,1.4101248,-6.2675614,9.000219,-7.130897,6.717017,1.468284,0.304083,-1.261455,1.536898,0.073807,0.212725
14,733786496,32.980965,-47.881107,19.442368,6.638235,1.3263373,-6.248628,8.438305,-8.564444,7.6416187,1.578921,0.326189,-1.365599,1.677536,-0.068934,0.340085
15,733803163,33.062218,-47.83387,19.158543,6.614444,1.3208933,-6.273311,6.974284,-9.436283,8.519329,1.689162,0.348204,-1.470154,1.793774,-0.226205,0.482074
16,733819830,33.115425,-47.7684,18.87685,6.583688,1.347394,-6.314267,4.9932327,-10.08703,9.398207,1.79889,0.370661,-1.575392,1.876995,-0.394322,0.638711
17,733836497,33.122276,-47.6704,18.61802,6.5399637,1.4389868,-6.393836,2.2627096,-10.316366,10.267497,1.907889,0.394644,-1.681956,1.914707,-0.566261,0.809836
18,733853164,33.106865,-47.585194,18.325855,6.5040913,1.489696,-6.425766,-0.8065462,-10.567522,11.063577,2.016291,0.419472,-1.789052,1.901265,-0.742386,0.994229
19,733869831,33.070717,-47.51472,17.996658,6.4769917,1.4944386,-6.4059873,-4.2011857,-10.864885,11.785808,2.124241,0.444379,-1.895818,1.831245,-0.923467,1.190659
20,733886498,32.984657,-47.42429,17.67588,6.443317,1.5338078,-6.3954062,-8.342275,-10.810114,12.452542,2.23163,0.469942,-2.002408,1.692207,-1.103636,1.398201
21,733903165,32.852455,-47.3235,17.351269,6.4075813,1.5849733,-6.374783,-13.160923,-10.491325,13.046954,2.338423,0.496358,-2.108654,1.472858,-1.278491,1.61565
22,733919832,32.874672,-47.180267,16.940517,6.390368,1.5705914,-6.3975267,-13.683573,-11.586588,13.686541,2.444929,0.522535,-2.215279,1.244798,-1.471601,1.843759
23,733936499,33.06594,-46.987118,16.440758,6.392104,1.4920716,-6.4750733,-9.476595,-14.208176,14.378923,2.551464,0.547403,-2.323197,1.086855,-1.708404,2.083408
24,733953166,33.33306,-46.76548,15.882169,6.406333,1.3699026,-6.568316,-2.8427181,-17.620863,15.05245,2.658236,0.570235,-2.432669,1.039476,-2.002085,2.334282
25,733969833,33.731224,-46.504734,15.242547,6.438619,1.1842308,-6.6938596,7.6277714,-22.288149,15.736303,2.765546,0.589972,-2.544233,1.166606,-2.373554,2.596554
26,733986500,34.13584,-46.21399,14.580501,6.4732666,1.000155,-6.8357863,18.947348,-27.134363,16.362646,2.873434,0.606641,-2.658163,1.482395,-2.825793,2.869265
27,734003167,34.54,-45.89379,13.897733,6.510041,0.81887245,-6.9914775,30.98599,-32.111893,16.92136,2.981935,0.620289,-2.774688,1.998828,-3.360991,3.151288
28,734019834,35.054665,-45.529385,13.145251,6.561797,0.59046125,-7.18395,46.505066,-38.16972,17.468803,3.091298,0.63013,-2.89442,2.773912,-3.997153,3.442435
29,734036501,35.65484,-45.12164,12.334416,6.625573,0.32782793,-7.410374,64.94078,-45.097706,17.987305,3.201724,0.635594,-3.017926,3.856258,-4.748781,3.742223
30,734053168,36.363487,-44.683662,11.562207,6.6758604,0.15408516,-7.5235505,76.54022,-49.816395,18.486319,3.312988,0.638162,-3.143319,5.131928,-5.579054,4.050328
31,734069835,37.19953,-44.213177,10.83141,6.7119427,0.07530594,-7.5130515,80.74716,-52.15318,18.9721,3.424854,0.639417,-3.268537,6.477714,-6.448274,4.36653
32,734086502,38.13813,-43.70307,10.103095,6.7441263,0.041876793,-7.4471974,81.840805,-53.432186,19.426104,3.537256,0.640115,-3.392657,7.841727,-7.33881,4.690298
33,734103169,39.192863,-43.155037,9.402589,6.765767,0.087310314,-7.285621,77.18041,-52.817078,19.851835,3.650019,0.64157,-3.514084,9.128067,-8.219095,5.021162
34,734119836,40.38256,-42.55589,8.65961,6.7954884,0.12639475,-7.1195464,73.195595,-52.351776,20.253407,3.763277,0.643677,-3.632743,10.347994,-9.091625,5.358719
35,734136503,41.71073,-41.90313,7.8705626,6.8342786,0.15582657,-6.954042,70.21776,-52.133476,20.628315,3.877182,0.646274,-3.748644,11.51829,-9.960516,5.702524
36,734153170,43.184166,-41.203426,7.0922356,6.867169,0.2478075,-6.7080865,62.727898,-50.406967,20.977198,3.991635,0.650404,-3.860445,12.563755,-10.800632,6.052144
37,734169837,44.81144,-40.45242,6.3098574,6.8981056,0.3855071,-6.399984,52.03047,-47.58234,21.300009,4.106603,0.656829,-3.967111,13.43093,-11.593671,6.407144
38,734186504,45.97561,-39.766273,5.496337,6.83475,0.44370508,-6.20614,44.356407,-46.088814,21.780064,4.220516,0.664224,-4.070547,14.170203,-12.361818,6.770145
