PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,2851026350,-17.147882,27.512165,12.060728,-4.0945396,-1.1978714,2.030131,2.1058626,-9.101247,-11.640824,0.0,0.0,0.0,0.0,0.0,0.0
1,2851043017,-16.95965,26.500576,11.889444,-3.8282843,-1.3282523,2.1837146,2.6183019,-10.03675,-12.8862915,-0.063805,-0.022138,0.036395,0.043638,-0.167279,-0.214772
2,2851059684,-16.76314,25.43694,11.710459,-3.5465555,-1.470396,2.350292,3.1469975,-11.036566,-14.217046,-0.122914,-0.046645,0.075567,0.096088,-0.351222,-0.451723
3,2851076351,-16.561499,24.336987,11.52665,-3.25425,-1.6223795,2.5274293,3.684214,-12.0870695,-15.614137,-0.177152,-0.073685,0.117691,0.157492,-0.552673,-0.711959
4,2851093018,-16.291418,22.878895,11.280219,-2.853675,-1.8235586,2.764735,4.3884134,-13.469203,-17.465487,-0.224713,-0.104078,0.16377,0.230632,-0.77716,-1.00305
5,2851109685,-15.966837,21.132763,10.983877,-2.3657994,-2.066018,3.052077,5.223725,-15.123833,-19.68936,-0.264143,-0.138512,0.214638,0.317694,-1.029224,-1.331206
6,2851126352,-15.57654,19.78022,10.54446,-2.0692778,-2.198564,3.2251189,5.65637,-15.943663,-22.448647,-0.298631,-0.175155,0.26839,0.411967,-1.294952,-1.70535
7,2851143019,-15.10969,18.841778,9.943532,-1.9775534,-2.21208,3.2749808,5.655079,-15.85923,-25.821522,-0.33159,-0.212023,0.322973,0.506218,-1.559273,-2.135709
8,2851159686,-14.579142,18.036488,9.231554,-1.9714861,-2.1733775,3.2734373,5.449245,-15.357576,-29.689596,-0.364448,-0.248246,0.37753,0.597039,-1.815233,-2.630536
9,2851176353,-13.97753,17.541725,8.377637,-2.1256714,-2.0413246,3.1762097,4.8931456,-14.135635,-34.127228,-0.399876,-0.282268,0.430467,0.678591,-2.050827,-3.199323
10,2851193020,-13.292402,16.87098,7.4178395,-2.2513127,-1.9145486,3.092522,4.3390255,-12.912244,-39.158947,-0.437398,-0.314177,0.482009,0.750908,-2.266031,-3.851972
11,2851209687,-12.521387,15.997414,6.351574,-2.338694,-1.7980781,3.0281036,3.8029943,-11.722079,-44.800037,-0.476376,-0.344145,0.532477,0.814291,-2.461399,-4.598639
12,2851226354,-11.661692,15.315014,5.1304073,-2.5468931,-1.6065962,2.8898408,2.980629,-9.939025,-51.121822,-0.518824,-0.370922,0.580641,0.863968,-2.627049,-5.450669
13,2851243021,-10.707842,14.720615,3.7577224,-2.837171,-1.3599846,2.7000434,1.941967,-7.706278,-58.150665,-0.56611,-0.393588,0.625642,0.896334,-2.755487,-6.419847
14,2851259688,-9.660976,14.062599,2.3269706,-2.9071555,-1.1640623,2.6307003,1.20607,-6.3550034,-63.171043,-0.614563,-0.412989,0.669487,0.916435,-2.861404,-7.472698
15,2851276355,-8.517191,13.375908,0.8360777,-2.7478395,-1.0173404,2.686363,0.78159046,-5.929711,-65.93922,-0.66036,-0.429945,0.71426,0.929462,-2.960233,-8.571685
16,2851293022,-7.268879,12.6640625,-0.76169205,-2.4769053,-0.881989,2.8000758,0.46603775,-5.890042,-67.76734,-0.701642,-0.444645,0.760928,0.937229,-3.0584,-9.701141
17,2851309689,-5.913107,11.900047,-2.4459405,-2.0146618,-0.7838874,3.0168521,0.39244556,-6.586054,-67.890335,-0.73522,-0.45771,0.811209,0.94377,-3.168168,-10.832647
18,2851326356,-4.443783,11.275345,-4.290075,-1.5785551,-0.63809824,3.2121222,0.17516804,-7.074361,-67.91581,-0.761529,-0.468345,0.864744,0.946689,-3.286074,-11.964577
19,2851343023,-2.856285,10.796867,-6.3032336,-1.1781378,-0.4399501,3.3801477,-0.20606136,-7.3078566,-67.93003,-0.781165,-0.475678,0.92108,0.943255,-3.407872,-13.096744
20,2851359690,-1.148323,10.351307,-8.434799,-0.6357565,-0.2530583,3.6219242,-0.44613647,-8.059045,-66.44799,-0.791761,-0.479896,0.981445,0.935819,-3.542189,-14.204211
21,2851376357,0.684824,9.983467,-10.704443,0.004047394,-0.058652163,3.9116762,-0.62734985,-9.131839,-63.78215,-0.791694,-0.480874,1.04664,0.925363,-3.694386,-15.267247
22,2851393024,2.3110294,9.596821,-12.920977,0.38349342,0.16259909,3.9211338,-3.216157,-10.204894,-62.865974,-0.785302,-0.478164,1.111992,0.87176,-3.864468,-16.315013
23,2851409691,3.6996517,9.175503,-15.062147,0.48978806,0.4057474,3.6298945,-8.428648,-11.3480015,-63.76667,-0.777139,-0.471402,1.17249,0.731283,-4.053601,-17.377791
24,2851426358,5.0124903,8.801071,-17.234348,0.4625311,0.67509913,3.1751125,-15.166777,-12.587445,-65.27705,-0.76943,-0.46015,1.225409,0.478503,-4.263392,-18.465742
25,2851443025,6.1557045,8.447838,-19.383068,0.20630455,0.974566,2.465924,-24.136976,-13.866505,-68.14907,-0.765992,-0.443907,1.266508,0.07622,-4.4945,-19.60156
26,2851459692,7.325598,8.147736,-21.611044,-0.024349213,1.2774235,1.7180598,-33.847878,-15.581052,-70.26254,-0.766398,-0.422617,1.295142,-0.487911,-4.754184,-20.772602
27,2851476359,8.532869,7.9115677,-23.926603,-0.2190504,1.584133,0.939466,-44.25054,-17.750072,-71.492294,-0.770049,-0.396215,1.3108,-1.22542,-5.050019,-21.96414
28,2851493026,9.59576,7.7036057,-26.230366,-0.58835125,1.911325,-0.0588367,-56.73369,-20.140596,-73.52974,-0.779855,-0.36436,1.309819,-2.170981,-5.385696,-23.189636
29,2851509693,10.552461,7.5341263,-28.543186,-1.0809345,2.2536519,-1.2353841,-71.026146,-22.847996,-75.91697,-0.797871,-0.326799,1.289229,-3.35475,-5.766496,-24.454919
30,2851526360,11.831596,6.881996,-31.271042,-1.3444881,2.3855822,-2.0037663,-81.26228,-28.27984,-75.82592,-0.820279,-0.287039,1.255833,-4.709121,-6.237827,-25.718684
31,2851543027,13.448533,5.689911,-34.44012,-1.372117,2.285542,-2.3326623,-87.0713,-36.673798,-73.17343,-0.843148,-0.248947,1.216955,-6.160309,-6.849057,-26.938241
32,2851559694,15.222947,4.210144,-37.872032,-1.297596,2.055269,-2.4739347,-91.07147,-46.984158,-68.97334,-0.864775,-0.214693,1.175723,-7.678167,-7.632126,-28.087797
33,2851576361,17.267128,2.2901535,-41.67826,-1.029501,1.6293701,-2.2691107,-91.66167,-59.91911,-62.46756,-0.881933,-0.187537,1.137904,-9.205861,-8.630778,-29.128923
34,2851593028,19.281822,0.22437286,-45.5986,-0.8298044,1.1418362,-2.1110406,-92.64173,-74.05816,-55.710094,-0.895763,-0.168506,1.10272,-10.74989,-9.865081,-30.057425
35,2851609695,21.25035,-1.9756851,-49.620964,-0.7105675,0.5967321,-2.0190449,-94.20758,-89.37637,-48.760803,-0.907606,-0.15856,1.069069,-12.320016,-11.354687,-30.870105
36,2851626362,23.418167,-4.5968704,-53.97397,-0.46259022,-0.13287365,-1.6583344,-93.056,-107.2427,-39.922127,-0.915316,-0.160775,1.04143,-13.870949,-13.142065,-31.535474
37,2851643029,25.722178,-7.586479,-58.606304,-0.14056015,-1.0231204,-1.1084647,-89.95178,-127.41764,-29.595222,-0.917659,-0.177827,1.022956,-15.370145,-15.265692,-32.028728
38,2851659696,23.263914,-9.791496,-58.14515,0.03650856,-1.6098082,-0.66862464,-87.49947,-139.3681,-20.164589,-0.917051,-0.204657,1.011812,-16.82847,-17.588494,-32.364804
39,2851676363,15.571324,-11.143173,-52.071804,0.07305813,-1.8669951,-0.321885,-85.48502,-142.25641,-11.630636,-0.915833,-0.235774,1.006447,-18.25322,-19.959434,-32.558648
40,2851693030,4.8933706,-12.158508,-42.86895,0.03622818,-2.0015063,0.024285436,-83.13595,-140.92024,-3.1090906,-0.915229,-0.269132,1.006852,-19.638819,-22.308105,-32.610466
41,2851709697,-10.185755,-12.525391,-28.985603,-0.12853909,-1.8884196,0.30141377,-81.017006,-132.41177,4.802967,-0.917371,-0.300606,1.011876,-20.989102,-24.514968,-32.530417
42,2851726364,-26.797735,-12.995972,-13.562859,-0.23885155,-1.8346078,0.77592254,-76.69185,-123.223434,13.9783325,-0.921352,-0.331183,1.024808,-22.267299,-26.568692,-32.297445
43,2851743031,-44.84514,-13.611626,3.2874124,-0.28799438,-1.8572814,1.4629378,-70.00511,-113.66182,24.517467,-0.926152,-0.362138,1.04919,-23.434051,-28.463056,-31.888821
44,2851759698,-67.055336,-13.724701,24.550055,-0.41317177,-1.6947699,2.1760209,-62.591026,-97.85416,34.98834,-0.933038,-0.390384,1.085457,-24.477235,-30.093959,-31.305682
45,2851776365,-92.91335,-13.488945,49.658035,-0.57597446,-1.4103587,2.976251,-53.871162,-77.05786,45.799145,-0.942638,-0.41389,1.135061,-25.375088,-31.378257,-30.542363
46,2851793032,-109.77936,-13.226318,65.61084,-0.6546297,-1.2542117,3.5477011,-47.397194,-60.101643,55.113575,-0.953548,-0.434794,1.194189,-26.165041,-32.379951,-29.623803
47,2851809699,-116.81984,-12.877716,71.579735,-0.6529074,-1.2155035,3.8410442,-43.656456,-46.976795,62.57803,-0.96443,-0.455052,1.258206,-26.892649,-33.162898,-28.580836
48,2851826366,-119.72026,-12.38475,73.39282,-0.6019535,-1.2159381,4.0502357,-40.529854,-34.22316,69.3339,-0.974463,-0.475318,1.32571,-27.568147,-33.733284,-27.425271
49,2851843033,-115.018295,-11.8051605,67.50158,-0.47117138,-1.3144238,4.0812235,-39.047684,-24.01598,74.80024,-0.982316,-0.497225,1.39373,-28.218942,-34.13355,-26.1786
50,2851859700,-110.82518,-10.772987,62.301514,-0.36720467,-1.2952874,4.0727434,-37.510544,-9.544895,79.66496,-0.988436,-0.518813,1.461609,-28.844118,-34.292632,-24.850851
51,2851876367,-107.55885,-9.264381,58.230938,-0.2924919,-1.1474483,4.037616,-35.75862,9.622273,83.97167,-0.993311,-0.537937,1.528903,-29.440095,-34.132261,-23.451323
52,2851893034,-98.123184,-7.496971,47.983395,-0.16738701,-1.0258596,3.8217776,-35.55445,28.309702,86.83071,-0.996101,-0.555035,1.592599,-30.032669,-33.660433,-22.004144
53,2851909701,-84.14392,-5.379486,33.25048,-0.013612747,-0.8823135,3.4513052,-36.558617,48.042965,88.341774,-0.996328,-0.56974,1.650121,-30.641979,-32.859717,-20.531781
54,2851926368,-75.29647,-3.6083908,23.607069,0.04377365,-0.6750829,3.10929,-35.871864,64.3194,88.53052,-0.995598,-0.580991,1.701942,-31.239843,-31.787727,-19.056272
55,2851943035,-71.53103,-2.263298,18.972473,0.0017528534,-0.41536987,2.7867854,-33.489647,76.112434,87.20866,-0.995569,-0.587914,1.748388,-31.798004,-30.519186,-17.602794
56,2851959702,-69.260765,-0.94072723,15.856119,-0.095261574,-0.08739948,2.4087126,-30.597696,86.620094,84.36116,-0.997157,-0.589371,1.788533,-32.307966,-29.075518,-16.196775
57,2851976369,-70.87909,0.16412354,16.618519,-0.28052998,0.31799495,2.0148392,-26.485937,94.39219,79.89086,-1.001832,-0.584071,1.822114,-32.749398,-27.502315,-14.865261
