PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,139814263,7.731301308,-41.70751953,8.842172623,0,0,0,0,0,0, 
1,139830930,7.905438423,-42.06833267,8.63588047,7.319022179,1.130301118,7.031509399,-1.755610585,-9.94722271,-6.800457001, 
2,139847597,8.297776222,-43.03272629,8.325612068,7.667987823,1.092728972,7.227200031,-2.599434853,-11.3259449,-9.733282089, 
3,139864264,8.677166939,-44.06901932,8.112856865,6.898537159,1.007461548,7.068817139,-1.660165787,-13.44916725,-13.13277245, 
4,139880931,8.927317619,-44.69150162,7.861552715,6.548112869,1.595969915,7.354882717,-7.320268154,-17.58492851,-18.27669144, 
5,139897598,9.475895882,-44.89081192,7.20453167,7.549902916,1.91413033,7.403430939,-12.26037884,-19.9248085,-26.7030201, 
6,139914265,10.29440022,-45.07336044,6.273655891,7.876600266,1.352058411,7.249742985,-11.58012867,-18.99827576,-32.97811127, 
7,139930932,11.00485706,-45.32852936,5.331645966,7.697850227,1.152292967,7.008390427,-13.9311142,-19.40124512,-37.92664337, 
8,139947599,11.65364075,-45.61925888,4.343581676,7.917617321,1.027060866,6.920092583,-15.23304462,-20.68867493,-43.1228714, 
9,139964266,12.17485046,-46.00079727,3.345330238,8.552565575,1.40171206,7.037512779,-19.64640045,-24.68589401,-44.62917709, 
10,139980933,12.5131321,-46.43084717,2.383216619,8.930094719,1.399527311,7.196267605,-28.05257034,-25.01408958,-41.92084885, 
11,139997600,12.9546175,-47.01482391,1.340034842,6.197492123,0.072097138,2.833072186,-24.61606026,-33.62213898,-42.63882828, 
12,140014267,13.70739651,-48.43166351,-0.071465269,5.705192089,-0.40928179,-1.945193768,-15.87262249,-78.93206787,-41.68289948, 
13,140030934,14.89976597,-50.30189133,-1.905081749,7.96987009,2.916577816,2.191250086,-11.50598335,-95.41663361,-50.14632416, 
14,140047601,17.42374802,-52.25808716,-4.857606888,7.128335953,2.65122366,2.549865246,8.295746803,-110.0334625,-77.09657288, 
15,140064268,21.05242538,-54.12353516,-8.765517235,6.171092987,4.077107906,2.616411924,22.35808754,-120.3226471,-96.0329361, 
16,140080935,24.90489578,-55.9117775,-13.19371796,7.344593525,3.647767544,3.930761576,2.7940557,-130.5322418,-93.58773804, 
17,140097602,28.60407829,-57.20805359,-18.01194763,6.612629414,7.12567997,7.700639248,-30.26192093,-118.1496506,-100.251091, 
18,140114269,32.74317551,-58.13100815,-23.47024727,7.018890381,4.925716877,5.001597404,-39.95248795,-124.5366592,-108.5511017, 
19,140130936,37.60864639,-58.73327637,-29.4561367,8.288661957,0.199822828,1.649991393,-24.67517281,-129.7478638,-117.5259705, 
20,140147603,42.35195541,-59.41986084,-35.317173,10.55437946,3.478105307,0.625421345,-25.19078636,-138.277298,-102.258728, 
21,140164270,46.37913132,-60.02934647,-41.14736176,9.751664162,5.433137417,5.432750702,-68.75569153,-137.3486176,-92.52178192, 
22,140180937,50.64730453,-60.58072662,-47.36659241,10.51177597,0.656141818,2.666172504,-74.96739197,-151.8891296,-89.03087616, 
23,140197604,55.14602661,-60.94446564,-53.43929672,11.60696125,1.16583395,2.294233322,-53.12234116,-146.899826,-85.71966553, 
24,140214271,59.57983017,-61.06255341,-59.24252701,11.1657629,1.881298542,2.442850828,-42.54811096,-137.6981506,-84.497612, 
25,140230938,64.15036011,-60.96685791,-64.88409424,10.3340826,1.331108928,1.72782135,-25.16701698,-134.196701,-84.25205994, 
26,140247605,68.68808746,-60.62738419,-70.34488678,10.87343311,3.470178127,2.391929626,-16.60123062,-131.0063019,-86.66482544, 
27,140264272,72.9525528,-59.97565842,-75.54903412,11.017519,3.679090977,3.341669798,-17.91981316,-126.8605194,-92.50444794, 
28,140280939,77.16815948,-59.37517166,-80.62413788,10.49567413,1.887401938,2.094367743,-11.81749344,-134.4128113,-79.86682892, 
29,140297606,80.95210266,-58.94269562,-85.47458649,9.980032921,2.463782072,2.074898005,-24.37712479,-137.554184,-60.7256546, 
30,140314273,84.09896088,-58.62309647,-89.97401428,9.815664291,3.001842499,2.665379286,-43.2997818,-133.1026306,-45.0141983, 
31,140330940,86.95357513,-58.49100876,-94.21013641,10.08677673,2.032708883,2.428782225,-46.35049057,-129.568222,-26.51452827, 
32,140347607,89.88026428,-58.5619545,-98.37822723,10.30527306,1.234973431,1.704504967,-38.13051605,-129.5999756,-8.543347359, 
33,140364274,92.836586,-58.81293488,-102.351532,9.68625927,1.380882502,1.648059249,-26.63580704,-123.1127014,7.647311211, 
34,140380941,95.80027771,-59.19756317,-106.2122421,8.640686989,1.795762539,1.653188586,-21.0362606,-117.4822769,20.91718674, 
35,140397608,98.63075256,-59.73006058,-109.9397278,8.487128258,2.020393848,1.9420017,-23.03915024,-109.6500168,34.70399857, 
