PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,2851026350,-37.98799896,-41.01607513,6.971325874,0,0,0,0,0,0, 
1,2851043017,-37.87369156,-42.0351944,6.745427608,7.248660564,-3.496883392,4.915092468,-10.95822906,-9.431082726,-14.62324524, 
2,2851059684,-37.50782394,-44.03117752,6.417552471,7.864893436,-3.596774578,5.142352104,-11.74226284,-9.098259926,-16.22235298, 
3,2851076351,-37.02775192,-46.11843109,6.095717907,8.643445969,-3.495392799,5.146695614,-9.442469597,-10.15518284,-16.59727478, 
4,2851093018,-36.50022125,-48.10486221,5.526883125,9.011317253,-3.358653307,5.098266125,-7.474836826,-11.3695488,-18.48473167, 
5,2851109685,-35.93666077,-49.87526321,4.922798634,8.967265129,-3.672866821,5.043201923,-5.744390488,-12.81876183,-21.42859268, 
6,2851126352,-35.52047729,-51.31747437,4.446638107,8.536413193,-3.754336834,4.746174812,-3.549352407,-14.27832031,-22.90664482, 
7,2851143019,-35.26467514,-52.47644806,4.063548565,8.046570778,-3.588460684,4.753908634,-4.205323219,-14.22495174,-25.19778824, 
8,2851159686,-34.98274231,-53.41531372,3.616652727,7.710111141,-3.384624243,4.917948723,-4.43422699,-13.4847126,-29.3018055, 
9,2851176353,-34.50455093,-54.20112991,2.983747482,7.291750431,-3.352929115,5.146540165,-2.306217432,-12.27852154,-35.21341324, 
10,2851193020,-33.84473801,-54.85887909,2.166645288,7.09837389,-3.310593605,5.041191101,-1.26421237,-11.46201038,-40.59114456, 
11,2851209687,-33.11819839,-55.44097519,1.180315733,7.209057808,-3.276080608,4.876885414,-5.885293961,-10.45700455,-45.8953476, 
12,2851226354,-32.33776855,-55.98471832,0.032454487,7.504473209,-3.3203547,4.881128788,-10.59584808,-8.863413811,-50.91650009, 
13,2851243021,-31.42196083,-56.51813126,-1.292178035,7.776786327,-3.011442184,4.864879131,-11.15818787,-7.307323933,-56.50762939, 
14,2851259688,-30.33883286,-57.05992508,-2.818324804,7.888503551,-2.736679316,4.849864006,-11.60485649,-5.890748501,-62.00302887, 
15,2851276355,-29.12425804,-57.60871124,-4.515879154,8.172094345,-2.497650146,4.844003201,-12.99135494,-5.105461597,-66.01206207, 
16,2851293022,-27.72451591,-58.14544296,-6.388153076,8.437908173,-2.238255262,4.656172276,-11.47247314,-3.409609079,-69.19631195, 
17,2851309689,-26.12883949,-58.68571091,-8.386411667,7.932544708,-2.195997953,4.965514183,-6.856937885,-3.26266861,-71.24802399, 
18,2851326356,-24.48141289,-59.21305466,-10.41187668,8.069216728,-2.237279892,4.6040802,-5.847522736,-5.010587215,-70.64421844, 
19,2851343023,-22.9496212,-59.71401596,-12.34638309,8.921256065,-2.075210094,4.197538376,-8.437521935,-6.703706741,-66.67224121, 
