PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,2283354212,-100.7790756,-0.216473103,101.25457,0,0,0,0,0,0, 
1,2283370879,-100.6366882,-0.174752384,101.2166367,0.115151674,-9.687962532,-1.596551538,1.444511414,0.298932195,3.855908632, 
2,2283387546,-100.3978271,-0.186915293,101.2316284,0.138241366,-9.860592842,-1.500597358,0.625263751,0.46368596,3.77615118, 
3,2283404213,-100.102829,-0.211157486,101.184021,0.114267707,-10.08483791,-1.32220006,1.379621744,0.598088562,4.035031319, 
4,2283420880,-99.73230743,-0.210921854,101.1759491,0.059014775,-10.21778202,-1.17753613,3.302315712,0.325121194,4.35148859, 
5,2283437547,-99.32926941,-0.171374813,101.0809174,0.108628169,-10.08642197,-1.057677984,4.457846165,0.122652814,4.916978836, 
6,2283454214,-98.93802643,-0.123001553,100.9591141,0.190453082,-10.02872181,-0.934867263,4.611458778,-0.144391626,5.222705841, 
7,2283470881,-98.58235168,-0.074512266,100.8527908,0.382251561,-9.758526802,-0.886254907,3.587769985,-0.264476776,5.871193409, 
8,2283487548,-98.29129028,-0.043866899,100.7335129,0.542722881,-9.803242683,-0.854807019,1.557438135,0.136253178,6.580601692, 
9,2283504215,-98.07065582,-0.036638845,100.6149673,0.680368841,-9.769386292,-0.868759632,-0.980044544,0.727458417,6.971784592, 
10,2283520882,-97.89387512,-0.051381808,100.468689,0.77112633,-9.73626709,-0.944231808,-1.90340817,1.476015329,7.176661015, 
11,2283537549,-97.7495575,-0.082397722,100.3237305,0.837116539,-9.71423912,-1.070238113,-2.042267323,2.506465435,7.309628487, 
12,2283554216,-97.61952209,-0.126179323,100.1647339,0.868555784,-9.68776226,-1.13706398,-1.007578254,3.719471455,7.285106182, 
13,2283570883,-97.50192261,-0.182354406,100.0048218,0.862313807,-9.597340584,-1.166553378,-0.108585075,4.659585476,6.903860569, 
14,2283587550,-97.40302277,-0.243413344,99.82566833,0.824647605,-9.434630394,-1.174741268,0.116973236,5.418239594,6.643743992, 
15,2283604217,-97.3353653,-0.303447932,99.64967346,0.743746579,-9.342123032,-1.08457303,-0.66473937,5.760029316,6.441288471, 
16,2283620884,-97.30686188,-0.355511934,99.55778503,0.67331326,-9.239964485,-0.97130239,-2.320709705,5.794311047,6.410552502, 
