PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,2283354212,-100.7790756,-0.216473103,101.25457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2283370879,-100.6366882,-0.174752384,101.2166367,0.115151674,-9.687962532,-1.596551538,1.444511414,0.298932195,3.855908632,0.001919,-0.161466,-0.026609,0.024075,0.004982,0.064265
2,2283387546,-100.3978271,-0.186915293,101.2316284,0.138241366,-9.860592842,-1.500597358,0.625263751,0.46368596,3.77615118,0.004223,-0.325809,-0.051619,0.034496,0.01271,0.127201
3,2283404213,-100.102829,-0.211157486,101.184021,0.114267707,-10.08483791,-1.32220006,1.379621744,0.598088562,4.035031319,0.006127,-0.49389,-0.073656,0.05749,0.022678,0.194452
4,2283420880,-99.73230743,-0.210921854,101.1759491,0.059014775,-10.21778202,-1.17753613,3.302315712,0.325121194,4.35148859,0.007111,-0.664186,-0.093282,0.112529,0.028097,0.266977
5,2283437547,-99.32926941,-0.171374813,101.0809174,0.108628169,-10.08642197,-1.057677984,4.457846165,0.122652814,4.916978836,0.008921,-0.832293,-0.11091,0.186826,0.030141,0.348927
6,2283454214,-98.93802643,-0.123001553,100.9591141,0.190453082,-10.02872181,-0.934867263,4.611458778,-0.144391626,5.222705841,0.012095,-0.999438,-0.126491,0.263684,0.027734,0.435972
7,2283470881,-98.58235168,-0.074512266,100.8527908,0.382251561,-9.758526802,-0.886254907,3.587769985,-0.264476776,5.871193409,0.018466,-1.16208,-0.141262,0.32348,0.023326,0.533825
8,2283487548,-98.29129028,-0.043866899,100.7335129,0.542722881,-9.803242683,-0.854807019,1.557438135,0.136253178,6.580601692,0.027511,-1.325467,-0.155509,0.349437,0.025597,0.643502
9,2283504215,-98.07065582,-0.036638845,100.6149673,0.680368841,-9.769386292,-0.868759632,-0.980044544,0.727458417,6.971784592,0.03885,-1.48829,-0.169988,0.333103,0.037721,0.759698
10,2283520882,-97.89387512,-0.051381808,100.468689,0.77112633,-9.73626709,-0.944231808,-1.90340817,1.476015329,7.176661015,0.051702,-1.650561,-0.185725,0.30138,0.062321,0.879309
11,2283537549,-97.7495575,-0.082397722,100.3237305,0.837116539,-9.71423912,-1.070238113,-2.042267323,2.506465435,7.309628487,0.065654,-1.812465,-0.203562,0.267342,0.104095,1.001136
12,2283554216,-97.61952209,-0.126179323,100.1647339,0.868555784,-9.68776226,-1.13706398,-1.007578254,3.719471455,7.285106182,0.08013,-1.973928,-0.222513,0.250549,0.166086,1.122554
13,2283570883,-97.50192261,-0.182354406,100.0048218,0.862313807,-9.597340584,-1.166553378,-0.108585075,4.659585476,6.903860569,0.094502,-2.133884,-0.241956,0.248739,0.243746,1.237618
14,2283587550,-97.40302277,-0.243413344,99.82566833,0.824647605,-9.434630394,-1.174741268,0.116973236,5.418239594,6.643743992,0.108246,-2.291128,-0.261535,0.250689,0.33405,1.348347
15,2283604217,-97.3353653,-0.303447932,99.64967346,0.743746579,-9.342123032,-1.08457303,-0.66473937,5.760029316,6.441288471,0.120642,-2.44683,-0.279611,0.23961,0.43005,1.455702
16,2283620884,-97.30686188,-0.355511934,99.55778503,0.67331326,-9.239964485,-0.97130239,-2.320709705,5.794311047,6.410552502,0.131864,-2.600829,-0.295799,0.200932,0.526622,1.562545
17,2283637551,-97.31892395,-0.396340251,99.50170898,0.601801455,-9.201746941,-0.956181765,-4.372857094,5.506872654,6.445616245,0.141894,-2.754191,-0.311735,0.128051,0.618403,1.669972
18,2283654218,-97.37451172,-0.426188946,99.38816071,0.530394077,-9.302014351,-0.958416522,-6.687555313,5.258269787,6.425786495,0.150734,-2.909225,-0.327709,0.016592,0.706041,1.777068
19,2283670885,-97.45696259,-0.447163403,99.15803528,0.493017226,-9.370601654,-0.909070432,-8.084070206,5.232126236,6.302034378,0.158951,-3.065402,-0.34286,-0.118143,0.793243,1.882102
20,2283687552,-97.55741119,-0.463827848,99.07357025,0.507208109,-9.459226608,-0.858124018,-9.059387207,5.107199192,5.944863319,0.167404,-3.223056,-0.357162,-0.269133,0.878363,1.981183
21,2283704219,-97.65885925,-0.477512628,98.98758698,0.5670771,-9.476881027,-0.946241081,-9.101456642,5.010998249,5.625921249,0.176855,-3.381004,-0.372933,-0.420824,0.96188,2.074948
22,2283720886,-97.76296997,-0.493015975,98.86965179,0.588362515,-9.481111526,-0.982879579,-9.155243874,5.176495075,5.185267448,0.186661,-3.539023,-0.389314,-0.573411,1.048155,2.161369
23,2283737553,-97.88008881,-0.513287067,98.79046631,0.600491047,-9.512346268,-1.000625253,-9.820541382,5.444110394,4.647836685,0.196669,-3.697562,-0.405991,-0.737087,1.13889,2.238833
24,2283754220,-98.016716,-0.547386467,98.66969299,0.589660108,-9.497896194,-1.040093064,-10.88921928,5.639874458,3.593623877,0.206497,-3.85586,-0.423326,-0.918574,1.232888,2.298727
25,2283770887,-98.16007233,-0.591655195,98.57103729,0.634982944,-9.536679268,-1.07451117,-11.18476391,5.713830471,2.75937891,0.21708,-4.014805,-0.441235,-1.104987,1.328119,2.344717
26,2283787554,-98.30255127,-0.642565191,98.46057892,0.66338855,-9.570013046,-1.194846511,-11.0296669,5.732009411,2.186249971,0.228136,-4.174305,-0.461149,-1.288815,1.423652,2.381154
27,2283804221,-98.45738983,-0.699239194,98.36685181,0.641323745,-9.564214706,-1.243975878,-11.61686993,5.644888401,1.680270791,0.238825,-4.333709,-0.481882,-1.482429,1.517733,2.409159
28,2283820888,-98.63259125,-0.757105827,98.2631073,0.607597947,-9.606239319,-1.313631296,-12.69374561,5.903129101,1.496986389,0.248952,-4.493813,-0.503776,-1.693991,1.616118,2.434109
29,2283837555,-98.82717896,-0.813548982,98.14703369,0.593055904,-9.641670227,-1.453547478,-13.71847916,6.674271584,1.543428898,0.258836,-4.654508,-0.528002,-1.922632,1.727356,2.459833
30,2283854222,-99.03569031,-0.875705361,98.00797272,0.516977251,-9.859045982,-1.594872713,-14.39573193,8.277090073,1.294780612,0.267452,-4.818825,-0.554583,-2.162561,1.865308,2.481413
31,2283870889,-99.2793808,-0.956813872,97.83509064,0.445446759,-10.06816006,-1.720584631,-16.35054016,10.46825027,0.323354334,0.274876,-4.986628,-0.583259,-2.43507,2.039779,2.486802
32,2283887556,-99.53582764,-1.0564152,97.62304688,0.422439426,-10.38391399,-1.790882587,-16.9806881,12.96096611,-0.568762898,0.281917,-5.159693,-0.613107,-2.718081,2.255795,2.477323
33,2283904223,-99.75551605,-1.144735694,97.39077759,0.454740107,-10.75741482,-1.78139925,-14.66550064,14.0844183,0.140012026,0.289496,-5.338983,-0.642797,-2.962506,2.490535,2.479657
34,2283920890,-99.90354919,-1.190140247,97.16862488,0.3908104,-11.11243343,-1.903309703,-10.28787994,13.08398819,2.434156179,0.29601,-5.52419,-0.674519,-3.133971,2.708601,2.520226
35,2283937557,-100.0122375,-1.181096673,96.96237946,0.313840687,-11.19476891,-2.305534124,-7.82601738,11.60281754,5.316188335,0.301241,-5.710769,-0.712945,-3.264405,2.901981,2.608829
36,2283954224,-100.1695633,-1.124090791,96.77106476,0.087031476,-11.09483433,-2.609286785,-10.51108932,10.25473213,7.815723419,0.302692,-5.895683,-0.756433,-3.43959,3.072893,2.739091
37,2283970891,-100.412323,-1.038626313,96.59200287,-0.228301436,-11.2174139,-2.968946218,-15.31806183,9.249181747,9.141812325,0.298887,-6.08264,-0.805915,-3.694891,3.227046,2.891455
38,2283987558,-100.6952133,-0.954330802,96.40751648,-0.468259484,-11.61166763,-3.529548407,-17.36371994,9.608377457,8.848230362,0.291083,-6.276168,-0.864741,-3.984286,3.387186,3.038926
39,2284004225,-100.9502869,-0.896198332,96.19857788,-0.712207854,-11.80501747,-3.793910742,-15.25999355,11.37900352,7.26559782,0.279213,-6.472918,-0.927973,-4.238619,3.576836,3.160019
40,2284020892,-101.1651688,-0.894856095,95.95775604,-0.970311582,-11.64647579,-3.635917187,-12.43268871,13.96022511,3.949463844,0.263041,-6.667026,-0.988572,-4.44583,3.809506,3.225843
41,2284037559,-101.3194046,-0.952950895,95.68885803,-0.949955642,-10.95163059,-3.113259077,-8.493533134,16.38255501,0.41710332,0.247208,-6.849553,-1.04046,-4.587389,4.082549,3.232795
42,2284054226,-101.3816147,-1.068467498,95.39844513,-0.691412568,-10.06807137,-2.649634123,-2.842270374,18.39873123,-3.026746035,0.235684,-7.017354,-1.084621,-4.63476,4.389195,3.182349
43,2284070893,-101.3578796,-1.233513117,95.08513641,-0.300078005,-9.476802826,-2.419654369,2.320507526,20.38501549,-5.906027794,0.230683,-7.175301,-1.124949,-4.596085,4.728945,3.083915
44,2284087560,-101.3187027,-1.430077672,94.74598694,0.058035616,-9.025690079,-2.375669479,3.189857006,22.30168152,-7.58536911,0.23165,-7.325729,-1.164543,-4.542921,5.10064,2.957492
45,2284104227,-101.2674332,-1.638553381,94.37863922,0.333412558,-8.994852066,-2.671247959,3.842842579,24.10102463,-7.994356632,0.237207,-7.475643,-1.209064,-4.478874,5.502324,2.824253
46,2284120894,-101.1462479,-1.838278174,93.98742676,0.436792791,-9.129554749,-2.964667082,8.026432037,25.39025879,-7.201041222,0.244487,-7.627802,-1.258475,-4.3451,5.925495,2.704236
47,2284137561,-100.978447,-2.021569729,93.58152771,0.447269917,-9.375366211,-3.306403875,10.87679291,26.045681,-6.076990128,0.251941,-7.784058,-1.313582,-4.16382,6.35959,2.602953
48,2284154228,-100.7392044,-2.179089069,93.17098999,0.398487151,-9.697809219,-3.715244293,15.29054356,26.00679016,-4.55812788,0.258582,-7.945688,-1.375503,-3.908978,6.793037,2.526984
49,2284170895,-100.4613266,-2.320901155,92.76714325,0.167914212,-9.75908947,-4.134771347,17.82995796,25.42293167,-3.803735733,0.261381,-8.108339,-1.444416,-3.611812,7.216753,2.463588
50,2284187562,-100.1507339,-2.458331585,92.36859131,-0.02512064,-10.0031929,-4.464225769,20.0773983,25.06711578,-3.762449026,0.260962,-8.275059,-1.51882,-3.277189,7.634538,2.400881
51,2284204229,-99.83407593,-2.613549471,91.9832077,-0.291113198,-9.746816635,-4.398196697,20.78234863,24.48996735,-5.156450748,0.25611,-8.437506,-1.592123,-2.930817,8.042704,2.31494
52,2284220896,-99.59069061,-2.797089815,91.6236496,-0.394260854,-9.306844711,-4.024169922,16.73000908,23.2595253,-7.326412678,0.249539,-8.59262,-1.659192,-2.651984,8.430363,2.192833
53,2284237563,-99.41816711,-3.009289265,91.30123901,-0.28137967,-8.794668198,-3.543152332,12.78154945,21.36577034,-9.598081589,0.244849,-8.739198,-1.718245,-2.438958,8.786459,2.032865
54,2284254230,-99.28970337,-3.233987808,91.01835632,0.038753398,-8.445830345,-3.148583412,10.37215424,19.15379333,-10.8742342,0.245495,-8.879962,-1.770721,-2.266089,9.105689,1.851628
55,2284270897,-99.19307709,-3.448225737,90.76430511,0.374471873,-8.367444038,-2.821733236,8.609596252,17.35201836,-10.60484791,0.251736,-9.019419,-1.81775,-2.122596,9.394889,1.674881
56,2284287564,-99.11003113,-3.630882978,90.53459167,0.606017947,-8.368804932,-2.536897421,7.88646841,15.60482597,-8.978434563,0.261836,-9.158899,-1.860032,-1.991155,9.654969,1.52524
57,2284304231,-99.07790375,-3.76590085,90.32304382,0.736699998,-8.04432869,-2.445133686,4.870489597,14.07017136,-6.29914856,0.274114,-9.292971,-1.900784,-1.90998,9.889472,1.420254
58,2284320898,-99.14189148,-3.855788708,90.12345886,0.907330811,-8.430900574,-2.496550083,-0.872093797,12.93075848,-3.675290585,0.289236,-9.433486,-1.942393,-1.924515,10.104985,1.358999
59,2284337565,-99.2133255,-3.911009073,89.9323349,1.053846121,-8.680549622,-2.528870821,-1.302957058,12.09534073,-1.614100337,0.3068,-9.578162,-1.984541,-1.946231,10.306574,1.332097
60,2284354232,-99.28244019,-3.935599327,89.75158691,1.005560875,-9.014436722,-2.418879271,-1.130007029,11.17588139,0.200054467,0.323559,-9.728403,-2.024856,-1.965064,10.492839,1.335431
61,2284370899,-99.35556793,-3.940741301,89.5891571,0.985484719,-9.204964638,-2.416714668,-1.323370337,9.890982628,1.254043102,0.339984,-9.881819,-2.065135,-1.98712,10.657689,1.356332
62,2284387566,-99.42357635,-3.936524153,89.43893433,0.981513321,-9.509746552,-2.551636219,-0.998312831,9.062569618,1.755853295,0.356343,-10.040315,-2.107662,-2.003759,10.808732,1.385596
63,2284404233,-99.4600296,-3.927464247,89.28988647,0.919060707,-9.488433838,-2.539180994,0.881704569,8.936849594,2.087986231,0.371661,-10.198456,-2.149982,-1.989064,10.957679,1.420396
64,2284420900,-99.46271515,-3.91130352,89.14599609,0.892438829,-9.369387627,-2.405554771,2.914393187,8.551430702,2.497264385,0.386535,-10.354612,-2.190075,-1.940491,11.100203,1.462017
65,2284437567,-99.47173309,-3.896283627,89.01343536,0.994722366,-9.232133865,-2.36518836,2.551038265,7.883206367,2.350298882,0.403114,-10.508481,-2.229495,-1.897974,11.23159,1.501189
