PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,1426197161,81.31493,-6.664551,19.117466,-3.2844033,0.8129231,0.22178209,-20.511257,-54.417503,-20.377752,0.0,0.0,0.0,0.0,0.0,0.0
1,1426213828,81.27433,-6.3179626,22.913147,-3.2660518,0.3650192,0.6955935,-28.717207,-44.9917,-18.26407,-0.054434,0.006084,0.011593,-0.47862,-0.749862,-0.304401
2,1426230495,81.24502,-5.977997,27.053768,-3.2410355,-0.1072315,1.1971118,-37.502678,-34.97376,-16.024988,-0.108451,0.004297,0.031545,-1.103665,-1.332758,-0.571484
3,1426247162,81.22968,-5.653496,31.50803,-3.2104373,-0.5977428,1.7197278,-46.75271,-24.486694,-13.68646,-0.161958,-0.005665,0.060207,-1.882877,-1.74087,-0.799592
4,1426263829,81.18133,-5.1762695,37.039196,-3.1550312,-1.2348161,2.3998992,-58.81547,-10.945819,-10.689733,-0.214542,-0.026245,0.100205,-2.863135,-1.9233,-0.977754
5,1426280496,81.11169,-4.585823,43.498234,-3.0781827,-1.9905906,3.208284,-73.1993,5.0978746,-7.1550117,-0.265845,-0.059422,0.153676,-4.083123,-1.838335,-1.097004
6,1426297163,77.358574,-4.322563,46.813587,-2.894618,-2.5034122,3.670103,-81.01904,21.025,-2.2515416,-0.314089,-0.101146,0.214844,-5.43344,-1.487918,-1.13453
7,1426313830,69.538666,-4.4075394,46.69402,-2.5921335,-2.7559042,3.7577565,-81.733635,36.971653,4.193301,-0.357291,-0.147078,0.277473,-6.795667,-0.871724,-1.064642
8,1426330497,59.37104,-4.657982,44.97401,-2.2119236,-2.902216,3.6776252,-79.24367,53.87385,11.727769,-0.394156,-0.195448,0.338767,-8.116395,0.026174,-0.869179
9,1426347164,45.786407,-5.192528,40.526394,-1.7274837,-2.8454933,3.3005745,-71.12501,71.14484,20.631506,-0.422947,-0.242873,0.393777,-9.301812,1.211921,-0.525321
10,1426363831,30.866898,-5.710594,35.921795,-1.1815157,-2.8312812,2.93938,-63.174797,91.06642,30.598425,-0.442639,-0.290061,0.442767,-10.354725,2.729695,-0.015347
11,1426380498,14.681969,-6.198578,31.283558,-0.5743036,-2.8720908,2.6092546,-55.6773,113.80783,41.637627,-0.452211,-0.337929,0.486255,-11.28268,4.626492,0.678613
12,1426397165,-4.790924,-6.9104996,24.32817,0.14082909,-2.7611222,2.040594,-43.60573,137.79048,54.179844,-0.449864,-0.383948,0.520265,-12.009442,6.923,1.58161
13,1426413832,-27.185009,-7.78582,15.560757,0.95775795,-2.5487027,1.2961915,-28.120752,163.56198,68.20153,-0.433901,-0.426426,0.541868,-12.478121,9.649033,2.718302
14,1426430499,-43.588005,-7.7684174,3.0592918,1.3907232,-2.335237,0.743785,-17.667389,179.85803,76.729805,-0.410722,-0.465347,0.554264,-12.772577,12.646667,3.997132
15,1426447166,-53.43798,-6.7857437,-13.721363,1.3993263,-2.102283,0.38205206,-12.378733,185.39612,79.15483,-0.3874,-0.500385,0.560632,-12.978889,15.736602,5.316379
16,1426463833,-60.753384,-5.29554,-33.60451,1.2101278,-1.8335937,0.07569313,-8.978252,185.87556,78.77112,-0.367231,-0.530945,0.561894,-13.128527,18.834528,6.629231
17,1426480500,-63.108482,-3.0042267,-57.29628,0.6867533,-1.5474807,-0.083847284,-9.628805,178.01443,73.61131,-0.355785,-0.556736,0.560497,-13.289007,21.801435,7.856086
18,1426497167,-66.26372,-0.5889435,-84.37057,0.124370575,-1.1286151,-0.38450885,-8.048399,167.94289,67.84775,-0.353712,-0.575546,0.554089,-13.423147,24.600483,8.986882
19,1426513834,-70.530815,1.922905,-114.88098,-0.46266937,-0.57016045,-0.8418205,-3.9102497,155.96109,61.68464,-0.361423,-0.585049,0.540059,-13.488318,27.199835,10.014959
20,1426530501,-70.91087,5.131729,-149.76842,-1.3435555,0.058827996,-1.236182,-2.181369,136.02255,51.27748,-0.383816,-0.584069,0.519456,-13.524674,29.466878,10.869584
21,1426547168,-68.57271,8.907112,-189.07318,-2.4612198,0.78667605,-1.6304748,-1.5225573,109.24603,37.42785,-0.424836,-0.570958,0.492281,-13.55005,31.287645,11.493381
22,1426563835,-68.54186,11.305065,-216.99242,-3.09091,1.1538762,-1.8263967,-1.5309505,88.28156,26.94425,-0.476351,-0.551727,0.461841,-13.575566,32.759004,11.942452
23,1426580502,-70.61321,12.218407,-232.18909,-3.2003908,1.1102139,-1.7784643,-2.7806761,73.38564,19.914751,-0.529691,-0.533223,0.4322,-13.621911,33.982098,12.274365
24,1426597169,-73.12682,12.486225,-242.23753,-3.0984597,0.8943409,-1.623126,-4.569476,59.12841,13.569361,-0.581332,-0.518317,0.405148,-13.698069,34.967572,12.500521
25,1426613836,-77.25945,11.582024,-242.7203,-2.5924292,0.3744856,-1.295708,-6.9778094,48.700024,9.621445,-0.624539,-0.512076,0.383553,-13.814366,35.779239,12.660878
26,1426630503,-78.719284,10.799438,-243.14478,-2.1776667,-0.19843638,-0.8542621,-11.545664,32.95575,3.0157557,-0.660833,-0.515383,0.369315,-14.006794,36.328501,12.711141
27,1426647170,-77.26027,10.201981,-244.03499,-1.8804731,-0.8090633,-0.30409145,-18.306702,11.261201,-6.5644474,-0.692174,-0.528867,0.364247,-14.311906,36.516188,12.601734
28,1426663837,-75.95869,8.6824875,-236.72423,-1.286952,-1.7007868,0.4450152,-26.64155,-9.186577,-15.175301,-0.713623,-0.557213,0.371664,-14.755932,36.363078,12.348812
29,1426680504,-73.84012,6.502163,-223.08524,-0.49970627,-2.8255186,1.3859965,-36.94168,-30.429094,-23.931879,-0.721951,-0.604305,0.394764,-15.371627,35.855926,11.949947
30,1426697171,-72.33415,4.8902283,-212.55734,-0.03953457,-3.4571834,1.9894032,-42.970394,-46.52697,-30.927134,-0.72261,-0.661925,0.427921,-16.0878,35.080477,11.434495
31,1426713838,-71.88449,3.8143234,-204.77133,0.09642029,-3.5612402,2.221793,-44.136677,-56.041912,-35.50812,-0.721003,-0.721279,0.464951,-16.823411,34.146445,10.842693
32,1426730505,-71.097916,2.8540878,-196.33134,0.08780575,-3.4535341,2.334255,-43.721245,-63.18567,-39.34299,-0.71954,-0.778838,0.503855,-17.552098,33.093351,10.186976
33,1426747172,-70.44059,2.3049316,-189.41336,-0.19618702,-2.9408274,2.184601,-39.991848,-65.99795,-41.746964,-0.72281,-0.827852,0.540265,-18.218629,31.993385,9.491193
34,1426763839,-69.8065,1.1473999,-176.0751,-0.3434744,-2.511694,2.1083813,-36.458694,-66.132416,-42.833553,-0.728535,-0.869714,0.575405,-18.826274,30.891178,8.7773
35,1426780506,-69.07989,-0.67446136,-155.76974,-0.33568287,-2.193294,2.127991,-33.38896,-63.757496,-42.662167,-0.73413,-0.906269,0.610872,-19.382757,29.828553,8.066264
36,1426797173,-68.7291,-2.4124756,-134.14467,-0.48879242,-1.5748425,1.9534836,-27.517166,-56.18786,-40.51121,-0.742277,-0.932516,0.64343,-19.841376,28.892089,7.391077
37,1426813840,-68.72801,-4.2941513,-109.33969,-0.71518135,-0.7578177,1.6554471,-19.56532,-43.617245,-36.340668,-0.754197,-0.945146,0.671021,-20.167465,28.165135,6.785399
38,1426830507,-67.91431,-5.796524,-84.1736,-0.8453064,-0.27688217,1.5312,-14.091896,-36.343067,-33.921402,-0.768285,-0.949761,0.696541,-20.40233,27.559417,6.220042
39,1426847174,-66.279594,-6.788048,-59.435867,-0.8996067,-0.13087332,1.5712366,-11.073443,-34.789635,-33.41888,-0.783278,-0.951942,0.722728,-20.586887,26.97959,5.663061
40,1426863841,-64.38149,-7.6779556,-32.378895,-0.89834785,-0.13298917,1.6805454,-8.793968,-34.019222,-32.934757,-0.79825,-0.954158,0.750737,-20.733453,26.412603,5.114148
41,1426880508,-61.945087,-8.296989,-3.8758945,-0.803648,-0.41810519,1.9306407,-8.376403,-36.66534,-33.424767,-0.811644,-0.961126,0.782914,-20.87306,25.801514,4.557069
42,1426897175,-59.753204,-8.7640915,26.47512,-0.7961712,-0.56757885,2.0734024,-6.3079805,-35.863647,-32.43408,-0.824914,-0.970586,0.817471,-20.978193,25.203787,4.016501
43,1426913842,-57.885788,-9.103836,58.952526,-0.8795366,-0.56274706,2.096968,-2.3847513,-31.042877,-29.729767,-0.839573,-0.979965,0.85242,-21.017939,24.686406,3.521005
44,1426930509,-55.740253,-9.100517,92.6111,-0.9327717,-0.7266168,2.1837277,0.71642303,-27.800026,-27.313314,-0.855119,-0.992075,0.888815,-21.005999,24.223072,3.065783
45,1426947176,-53.507298,-8.771553,127.58498,-0.99446774,-0.9704678,2.2793238,3.7708297,-24.579462,-24.61269,-0.871693,-1.008249,0.926804,-20.943152,23.813414,2.655572
46,1426963843,-50.998764,-8.80571,152.18274,-1.0443478,-1.0732039,2.3223927,6.404371,-22.172483,-22.46036,-0.889099,-1.026136,0.965511,-20.836412,23.443873,2.281233
47,1426980510,-48.138557,-9.224396,165.02492,-1.0685425,-1.0512882,2.3262737,8.278606,-21.318302,-21.16693,-0.906908,-1.043657,1.004282,-20.698435,23.088568,1.928451
48,1426997177,-45.16237,-9.699821,171.64838,-1.1042147,-0.948772,2.2810636,10.114597,-20.552532,-19.92862,-0.925312,-1.05947,1.0423,-20.529858,22.746026,1.596307
49,1427013844,-42.007008,-10.404648,168.56024,-1.143363,-0.71342826,2.173623,11.72418,-20.296623,-19.04723,-0.944368,-1.07136,1.078527,-20.334455,22.407749,1.278853
50,1427030511,-38.661034,-10.874626,162.2802,-1.1658192,-0.55777234,2.0846932,12.659819,-21.419914,-18.49312,-0.963798,-1.080656,1.113272,-20.123458,22.05075,0.970634
51,1427047178,-35.149906,-11.069412,152.97812,-1.1747427,-0.48701608,2.0129244,12.954987,-23.875153,-18.22401,-0.983377,-1.088773,1.146821,-19.907542,21.652831,0.6669
52,1427063845,-31.425785,-11.360794,134.14401,-1.1730566,-0.35154474,1.9067003,12.642332,-27.66905,-18.543037,-1.002928,-1.094632,1.178599,-19.696836,21.19168,0.357849
53,1427080512,-27.492155,-11.641609,106.8743,-1.1568356,-0.19618905,1.7820008,11.61001,-33.03879,-19.462849,-1.022209,-1.097902,1.208299,-19.503336,20.641033,0.033468
54,1427097179,-23.565243,-11.885979,90.34604,-1.1551895,-0.09051466,1.6898429,11.183033,-36.000175,-19.454588,-1.041462,-1.099411,1.236463,-19.316952,20.04103,-0.290775
