PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,2283364588,31.857864,-63.95813,84.32968,9.641086,2.8897786,-1.9889216,7.7163606,1.0745128,2.212963,0.0,0.0,0.0,0.0,0.0,0.0
1,2283381255,32.164185,-64.158554,84.43039,9.7241535,3.2688074,-1.9623659,8.4401455,1.1086838,2.1792274,0.162069,0.05448,-0.032706,0.140669,0.018478,0.03632
2,2283397922,32.485855,-64.36947,84.536705,9.812517,3.6806273,-1.9346404,9.207886,1.1419058,2.1469069,0.325611,0.115824,-0.06495,0.294134,0.03751,0.072102
3,2283414589,32.81791,-64.58777,84.64711,9.904819,4.1196294,-1.9062239,10.007571,1.1732665,2.1166277,0.490691,0.184484,-0.09672,0.460927,0.057064,0.107379
4,2283431256,33.261192,-64.877304,84.792694,10.028504,4.7007527,-1.8674197,11.079345,1.2210337,2.0767126,0.657833,0.26283,-0.127844,0.645583,0.077415,0.141991
5,2283447923,33.7937,-65.224205,84.96673,10.177738,5.4006877,-1.8203598,12.371891,1.2809038,2.0301013,0.827462,0.352841,-0.158183,0.851781,0.098763,0.175826
6,2283464590,34.18663,-65.49788,85.10833,10.281126,5.84617,-1.7773995,13.140433,1.2143197,1.9908113,0.998814,0.450277,-0.187806,1.070788,0.119002,0.209006
7,2283481257,34.43196,-65.69476,85.21609,10.335636,6.017492,-1.7383263,13.345907,1.0096514,1.9587129,1.171075,0.550569,-0.216778,1.29322,0.13583,0.241651
8,2283497924,34.62481,-65.86844,85.314865,10.371581,6.0776296,-1.6985241,13.309384,0.72915024,1.9290844,1.343935,0.651863,-0.245087,1.515043,0.147983,0.273802
9,2283514591,34.70511,-65.98509,85.38896,10.370041,5.9262586,-1.6609633,12.830189,0.33349508,1.9054362,1.516769,0.750634,-0.27277,1.728879,0.153541,0.305559
10,2283531258,34.834015,-66.138596,85.48261,10.380151,5.8122525,-1.6156797,12.406744,-0.09273635,1.8764772,1.689772,0.847505,-0.299698,1.935658,0.151995,0.336834
11,2283547925,35.02018,-66.334206,85.59833,10.404549,5.748857,-1.5620365,12.064243,-0.5463233,1.8417159,1.863181,0.943319,-0.325732,2.136729,0.14289,0.367529
12,2283564592,35.13173,-66.49634,85.70082,10.402385,5.5245614,-1.5073893,11.378701,-1.1050621,1.8097447,2.036554,1.035395,-0.350855,2.326374,0.124472,0.397691
13,2283581259,35.20247,-66.64502,85.79957,10.383882,5.1904006,-1.4494715,10.451535,-1.7531881,1.7781593,2.209619,1.121902,-0.375013,2.500566,0.095252,0.427327
14,2283597926,35.291634,-66.772446,85.87249,10.381953,5.009588,-1.4194355,9.65052,-2.2630768,1.5330263,2.382652,1.205395,-0.39867,2.661408,0.057534,0.452877
15,2283614593,35.387978,-66.86828,85.9129,10.394471,4.97955,-1.421231,8.953486,-2.6239982,1.0533441,2.555893,1.288387,-0.422357,2.810633,0.013801,0.470433
16,2283631260,35.48551,-66.949326,85.937485,10.412466,5.0082335,-1.4386268,8.249348,-2.9346936,0.43747827,2.729434,1.371858,-0.446334,2.948122,-0.035111,0.477724
17,2283647927,35.595398,-67.010155,85.93841,10.443508,5.160934,-1.4808455,7.621938,-3.1345782,-0.3765934,2.903492,1.457874,-0.471015,3.075154,-0.087354,0.471447
18,2283664594,35.648132,-67.03531,85.91913,10.4575815,5.227942,-1.5317662,6.741013,-3.3781648,-1.2642084,3.077785,1.545006,-0.496544,3.187504,-0.143657,0.450377
19,2283681261,35.640747,-67.024315,85.87992,10.453296,5.1989484,-1.5906146,5.5881853,-3.6740308,-2.2212596,3.252007,1.631655,-0.523054,3.28064,-0.204891,0.413356
20,2283697928,35.615494,-66.978645,85.81132,10.451662,5.2330203,-1.6739006,4.393656,-3.8927422,-3.3668418,3.426201,1.718872,-0.550952,3.353868,-0.26977,0.357242
21,2283714595,35.556007,-66.89359,85.713104,10.445971,5.284782,-1.7787806,3.081779,-4.066458,-4.6787286,3.600301,1.806952,-0.580598,3.405231,-0.337544,0.279263
22,2283731262,35.506966,-66.83322,85.64317,10.437356,5.315787,-1.8391693,1.9099439,-4.303919,-5.732071,3.774257,1.895548,-0.611251,3.437063,-0.409276,0.183728
23,2283747929,35.47535,-66.80182,85.60469,10.427944,5.34038,-1.851242,0.92528117,-4.5987163,-6.5037084,3.948056,1.984554,-0.642105,3.452484,-0.485921,0.075333
24,2283764596,35.427017,-66.76422,85.56911,10.412247,5.345204,-1.8448181,-0.049875498,-4.9201217,-7.182824,4.121593,2.073641,-0.672852,3.451653,-0.567923,-0.044381
25,2283781263,35.374237,-66.73702,85.551506,10.390921,5.324186,-1.8021023,-0.9381551,-5.2933226,-7.655392,4.294775,2.162377,-0.702887,3.436017,-0.656145,-0.171971
26,2283797930,35.30002,-66.68162,85.51471,10.368342,5.340139,-1.7662439,-1.834864,-5.620685,-8.203108,4.467581,2.251379,-0.732324,3.405436,-0.749823,-0.308689
27,2283814597,35.200394,-66.59383,85.455605,10.343892,5.392979,-1.7397301,-2.7533941,-5.897602,-8.841984,4.639979,2.341262,-0.76132,3.359546,-0.848116,-0.456055
28,2283831264,35.093727,-66.50648,85.40543,10.315903,5.4472203,-1.6855762,-3.5771236,-6.192918,-9.332573,4.811911,2.432049,-0.789413,3.299927,-0.951331,-0.611598
29,2283847931,34.975456,-66.41049,85.3559,10.285107,5.516518,-1.6126888,-4.3248835,-6.484838,-9.733198,4.983329,2.523991,-0.816291,3.227846,-1.059412,-0.773818
30,2283864598,34.889015,-66.24849,85.26899,10.221889,5.6221757,-1.5814621,-4.751438,-6.799571,-10.617617,5.153694,2.617694,-0.842649,3.148655,-1.172738,-0.950778
31,2283881265,34.84124,-66.0184,85.14467,10.123121,5.7642064,-1.5929244,-4.8101597,-7.146499,-12.011663,5.322413,2.713764,-0.869198,3.068486,-1.291846,-1.150972
32,2283897932,34.808395,-65.74054,84.995056,10.003135,5.9432197,-1.6242735,-4.6232715,-7.4973335,-13.683035,5.489132,2.812818,-0.896269,2.991431,-1.416802,-1.379023
33,2283914599,34.80394,-65.39928,84.810356,9.85334,6.165895,-1.6911135,-4.10878,-7.8608704,-15.786306,5.653354,2.915583,-0.924454,2.922951,-1.547817,-1.642128
34,2283931266,34.806282,-65.03468,84.619896,9.689912,6.411138,-1.7486544,-3.3737426,-8.238632,-17.92721,5.814853,3.022435,-0.953598,2.866722,-1.685128,-1.940915
35,2283947933,34.814514,-64.64758,84.42449,9.513497,6.680755,-1.7948313,-2.4145827,-8.628282,-20.089296,5.973411,3.133781,-0.983512,2.826479,-1.828933,-2.275737
36,2283964600,34.852005,-64.20392,84.20098,9.308169,6.992315,-1.8653603,-1.096227,-9.036916,-22.6053,6.128547,3.25032,-1.014601,2.808209,-1.979548,-2.652492
37,2283981267,34.91519,-63.711178,83.955185,9.076804,7.343038,-1.9508835,0.57098496,-9.464764,-25.39652,6.279827,3.372704,-1.047116,2.817725,-2.137294,-3.075767
38,2283997934,34.905617,-63.319397,83.74737,8.869896,7.5193477,-2.0093071,1.0803279,-9.779914,-26.399317,6.427659,3.498026,-1.080604,2.83573,-2.300293,-3.515756
39,2284014601,34.81762,-63.03877,83.580605,8.689841,7.5026917,-2.0408933,0.30889964,-9.970804,-25.44905,6.57249,3.623071,-1.114619,2.840878,-2.466473,-3.939907
40,2284031268,34.696312,-62.80308,83.43031,8.514201,7.3925376,-2.059276,-1.0312104,-10.099912,-23.46417,6.714393,3.74628,-1.14894,2.823691,-2.634805,-4.330977
41,2284047935,34.51528,-62.6538,83.3129,8.356339,7.128452,-2.053761,-3.360268,-10.130049,-19.862352,6.853665,3.865088,-1.183169,2.767687,-2.803639,-4.662016
42,2284064602,34.338814,-62.494358,83.187126,8.182217,6.840132,-2.0581627,-5.7598495,-10.138403,-15.920834,6.990035,3.97909,-1.217472,2.67169,-2.972612,-4.927363
43,2284081269,34.170845,-62.32035,83.05135,7.98976,6.5335298,-2.073702,-8.180855,-10.128718,-11.68923,7.123198,4.087982,-1.252034,2.535342,-3.141424,-5.122183
44,2284097936,33.95655,-62.216785,82.94068,7.8074164,6.0896287,-2.0743432,-11.454706,-10.029133,-6.0048203,7.253322,4.189476,-1.286606,2.34443,-3.308576,-5.222263
45,2284114603,33.70939,-62.164703,82.84693,7.6279917,5.5332007,-2.067104,-15.400476,-9.854342,0.8919952,7.380455,4.281696,-1.321058,2.087755,-3.472815,-5.207396
46,2284131270,33.530365,-62.11562,82.70929,7.5001063,5.1598115,-2.0517714,-17.147293,-9.927945,5.594747,7.505457,4.367693,-1.355254,1.801967,-3.638281,-5.11415
47,2284147937,33.422348,-62.077393,82.52661,7.432554,4.9808726,-2.0250726,-16.527615,-10.271629,7.939829,7.629333,4.450708,-1.389005,1.526507,-3.809475,-4.98182
48,2284164604,33.346497,-62.062172,82.32266,7.3980103,4.870888,-1.9916805,-14.784571,-10.741513,9.399324,7.752633,4.531889,-1.4222,1.280097,-3.9885,-4.825165
49,2284181271,33.329384,-62.061203,82.0818,7.411998,4.9075627,-1.950473,-11.136284,-11.426676,9.064072,7.876166,4.613682,-1.454708,1.094492,-4.178945,-4.674097
50,2284197938,33.298355,-62.127335,81.84917,7.454303,4.885635,-1.8943896,-7.4691997,-12.120116,9.242601,8.000404,4.695109,-1.486281,0.970005,-4.380947,-4.520054
51,2284214605,33.250305,-62.26479,81.627075,7.524431,4.79359,-1.8232248,-3.8728404,-12.811932,10.059755,8.125811,4.775002,-1.516668,0.905458,-4.594479,-4.352391
52,2284231272,33.244637,-62.442062,81.37972,7.647333,4.8004766,-1.7390435,1.2827312,-13.684297,9.576059,8.253267,4.85501,-1.545652,0.926837,-4.822551,-4.19279
53,2284247939,33.266502,-62.672752,81.116714,7.8203344,4.8630776,-1.6399071,7.620601,-14.696301,8.269345,8.383606,4.936061,-1.572984,1.053847,-5.067489,-4.054968
54,2284264606,33.35089,-62.830666,80.8684,7.941996,4.874141,-1.5662192,12.031418,-15.335664,7.6427703,8.515973,5.017297,-1.599088,1.254371,-5.323083,-3.927588
55,2284281273,33.509483,-62.901924,80.63348,8.007334,4.844908,-1.5216029,14.433625,-15.577015,7.584843,8.649429,5.098045,-1.624448,1.494931,-5.5827,-3.801174
56,2284297940,33.71679,-62.957375,80.40406,8.06412,4.7978206,-1.4852152,16.062927,-15.636875,7.688801,8.783831,5.178009,-1.649202,1.762646,-5.843315,-3.673027
57,2284314607,33.98597,-62.96159,80.187546,8.085832,4.709498,-1.468231,16.109758,-15.377362,8.293158,8.918595,5.256501,-1.673673,2.031142,-6.099604,-3.534808
58,2284331274,34.31379,-62.982346,79.957085,8.139803,4.68677,-1.4473573,16.824776,-15.144954,8.002752,9.054258,5.334614,-1.697796,2.311555,-6.35202,-3.401429
59,2284347941,34.700798,-63.025658,79.71186,8.231019,4.734117,-1.4208852,18.321072,-14.956289,6.7477255,9.191442,5.413516,-1.721477,2.616906,-6.601291,-3.288967
60,2284364608,35.162148,-63.02682,79.47151,8.30354,4.780209,-1.4101931,18.78193,-14.517881,5.488185,9.329834,5.493186,-1.74498,2.929938,-6.843256,-3.197497
61,2284381275,35.69937,-63.0,79.230385,8.372135,4.84917,-1.4104818,18.679453,-13.899935,3.907011,9.46937,5.574006,-1.768488,3.241262,-7.074922,-3.13238
62,2284397942,36.18329,-63.00754,79.0059,8.456691,4.883968,-1.4116026,19.6109,-13.291542,3.082727,9.610315,5.655405,-1.792015,3.56811,-7.296448,-3.081001
63,2284414609,36.60578,-63.04606,78.8021,8.5522,4.8726754,-1.4156971,21.50513,-12.670578,3.2118046,9.752852,5.736616,-1.81561,3.926529,-7.507624,-3.027471
64,2284431276,37.03122,-63.094597,78.607025,8.6592865,4.8602805,-1.424719,23.919897,-11.990613,3.5503318,9.897173,5.817621,-1.839355,4.325194,-7.707468,-2.968299
65,2284447943,37.425415,-63.167233,78.42638,8.78142,4.8297048,-1.437021,27.23923,-11.290565,4.4219837,10.04353,5.898116,-1.863305,4.779181,-7.895644,-2.894599
66,2284464610,37.87008,-63.210754,78.25549,8.89316,4.7970376,-1.464323,30.057543,-10.378793,5.4299946,10.191749,5.978067,-1.88771,5.28014,-8.068624,-2.804099
67,2284481277,38.37181,-63.22168,78.09399,8.993814,4.766278,-1.5075386,32.32175,-9.243715,6.518324,10.341646,6.057505,-1.912836,5.818836,-8.222686,-2.69546
68,2284497944,38.86094,-63.23733,77.9496,9.098382,4.7145257,-1.5599862,35.05129,-8.008625,8.17372,10.493286,6.13608,-1.938836,6.403024,-8.356163,-2.559231
69,2284514611,39.355408,-63.245277,77.82188,9.20103,4.645435,-1.6247139,37.94388,-6.6275954,10.317825,10.646636,6.213504,-1.965915,7.035422,-8.466623,-2.387267
70,2284531278,39.926346,-63.29545,77.70662,9.288458,4.7010427,-1.7008089,39.935062,-5.410324,11.52504,10.801444,6.291855,-1.994262,7.701006,-8.556795,-2.195183
71,2284547945,40.572067,-63.39621,77.6053,9.360148,4.891811,-1.7880819,41.02663,-4.3965774,11.738005,10.957446,6.373385,-2.024063,8.384783,-8.630071,-1.99955
72,2284564612,41.271225,-63.514633,77.52034,9.417644,5.153048,-1.8896669,41.504673,-3.4043856,11.591578,11.114407,6.459269,-2.055557,9.076528,-8.686811,-1.806357
73,2284581279,42.041473,-63.66555,77.451614,9.456803,5.5241055,-2.0056627,41.08694,-2.5225286,10.714571,11.27202,6.551337,-2.088985,9.76131,-8.728853,-1.627781
74,2284597946,42.82469,-63.828396,77.404465,9.488504,5.918053,-2.1357453,40.646744,-1.5978796,10.06135,11.430162,6.649971,-2.124581,10.438756,-8.755484,-1.460092
75,2284614613,43.61885,-64.000656,77.380104,9.511911,6.330708,-2.2808094,40.193382,-0.6160555,9.694038,11.588694,6.755483,-2.162594,11.108646,-8.765752,-1.298525
76,2284631280,44.46797,-64.20578,77.376526,9.517346,6.8404384,-2.4415228,39.037357,0.26826966,8.821775,11.747316,6.86949,-2.203286,11.759269,-8.761281,-1.151495
77,2284647947,45.359894,-64.43966,77.395706,9.506198,7.430325,-2.6183782,37.34517,1.0862826,7.649436,11.905753,6.993329,-2.246926,12.381688,-8.743176,-1.024004
78,2284664614,46.005722,-64.57486,77.44336,9.47881,7.7708735,-2.7951362,34.604298,2.1610289,6.4666433,12.063733,7.122844,-2.293512,12.958426,-8.707159,-0.916227
79,2284681281,46.381058,-64.60237,77.52069,9.433255,7.840325,-2.9706352,30.66382,3.5007865,5.2008924,12.220954,7.253516,-2.343023,13.46949,-8.648813,-0.829545
80,2284697948,46.612915,-64.57991,77.62724,9.369444,7.783627,-3.1532874,25.858078,4.9710917,3.850968,12.377111,7.383243,-2.395578,13.900458,-8.565961,-0.765362
81,2284714615,46.61882,-64.47231,77.76535,9.286429,7.5100102,-3.3387601,19.999174,6.6549487,2.4661226,12.531885,7.50841,-2.451224,14.233778,-8.455045,-0.72426
82,2284731282,46.576073,-64.35912,77.93264,9.179919,7.231335,-3.5374534,13.165848,8.324321,0.6745651,12.684884,7.628932,-2.510182,14.453209,-8.316306,-0.713017
83,2284747949,46.490402,-64.24427,78.13014,9.048817,6.957332,-3.7502747,5.3459606,9.965705,-1.5375605,12.835698,7.744888,-2.572687,14.542308,-8.150211,-0.738643
84,2284764616,46.198143,-64.05691,78.36178,8.893676,6.5017734,-3.9683867,-3.6927671,11.762996,-3.9540396,12.983926,7.853251,-2.638827,14.480762,-7.954161,-0.804544
85,2284781283,45.73172,-63.81269,78.627975,8.712678,5.906343,-4.194118,-13.967707,13.667217,-6.6626277,13.129137,7.95169,-2.708729,14.247967,-7.726374,-0.915588
86,2284797950,45.344368,-63.618534,78.89439,8.597994,5.513493,-4.393532,-21.631025,15.2829685,-8.650961,13.272437,8.043582,-2.781955,13.88745,-7.471658,-1.059771
87,2284814617,45.03495,-63.474667,79.15886,8.558178,5.3304124,-4.562024,-26.362335,16.59262,-9.804819,13.415073,8.132422,-2.857989,13.448078,-7.195114,-1.223185
