PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,2283400293,-122.2111664,-80.09454346,35.66281891,0,0,0,0,0,0, 
1,2283416960,-119.0765762,-80.01209259,32.73160172,9.735214233,-1.629215956,-0.751469135,8.973308563,7.792690754,11.17613125, 
2,2283433627,-116.4190292,-79.84187317,30.28637314,9.724508286,-1.516900778,-0.778629899,8.026654243,7.265060425,10.61679173, 
3,2283450294,-114.7378616,-79.71326447,28.801754,9.718069077,-1.514120221,-0.802334011,7.299322605,6.357990742,10.3187027, 
4,2283466961,-113.6295471,-79.61236572,27.85733604,9.668540955,-1.598710656,-0.815148473,5.990756035,6.221833706,9.85179615, 
5,2283483628,-112.7726364,-79.51302338,27.12995529,9.771286011,-1.580407858,-0.694998145,5.184204102,6.398771763,8.912658691, 
6,2283500295,-112.1015091,-79.43412781,26.52989578,9.864135742,-1.463041902,-0.492317468,1.651244998,5.165641308,8.104572296, 
7,2283516962,-111.5723495,-79.38355255,26.01119804,9.740592003,-1.580607891,-0.495907664,-1.895173907,2.87872076,7.951164246, 
8,2283533629,-111.1310043,-79.32871246,25.55064774,9.67921257,-1.556385756,-0.623133957,-3.525819778,1.489052296,7.700850487, 
9,2283550296,-110.8858719,-79.25684357,25.24892998,9.690854073,-1.461310625,-0.540666699,-5.28769207,0.044374015,7.934061527, 
10,2283566963,-110.8800125,-79.17470551,25.14174461,9.636942863,-1.516929388,-0.389455676,-7.758795261,-2.236847639,8.159236908, 
11,2283583630,-111.0024109,-79.08319855,25.13821793,9.624158859,-1.66614902,-0.488273472,-9.376961708,-4.103291035,8.215906143, 
12,2283600297,-111.2265396,-78.97473145,25.21956253,9.587175369,-1.759689212,-0.660830438,-10.35826206,-5.367022514,8.218197823, 
13,2283616964,-111.5191498,-78.84502411,25.37316322,9.646018982,-1.708393812,-0.772356987,-10.02586746,-6.092803955,8.39186573, 
14,2283633631,-111.8870544,-78.6947937,25.60483742,9.653624535,-1.74410212,-0.687060535,-9.778231621,-6.828362942,8.907167435, 
15,2283650298,-112.3252182,-78.52386475,25.90286446,9.626801491,-1.679073453,-0.768353224,-9.899879456,-7.926624298,9.45663166, 
16,2283666965,-112.82164,-78.33609009,26.24784851,9.621175766,-1.711478353,-0.85337615,-10.2678833,-8.736395836,10.05166721, 
17,2283683632,-113.3939362,-78.12743378,26.66417885,9.66382885,-1.697803974,-0.793562472,-10.63211823,-9.864825249,10.71988773, 
18,2283700299,-114.0451813,-77.89992523,27.1517086,9.640759468,-1.773631692,-0.704411447,-11.07185268,-11.26362801,11.27909279, 
19,2283716966,-114.7802353,-77.6479187,27.70730209,9.581965446,-1.755598783,-0.660728633,-12.03966522,-13.01807213,12.00035, 
