PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,488271656,-68.15639496,74.90955353,-127.3750687,0,0,0,0,0,0, 
1,488288323,-67.73899078,74.88005829,-126.9721375,-9.358736992,-2.344453096,1.00513339,0.300366521,-2.111971855,1.416593552, 
2,488304990,-67.34276581,74.85328674,-126.5546265,-9.366325378,-2.355592489,1.027114272,0.091226026,-2.076562405,1.272611737, 
3,488321657,-66.98756409,74.82553864,-126.1784973,-9.358433723,-2.389789581,1.025468588,0.030395873,-2.169114113,1.234205604, 
4,488338324,-66.71984863,74.79202271,-125.890686,-9.353351593,-2.419284821,1.014021516,0.07895755,-2.087204695,1.280795217, 
5,488354991,-66.52139282,74.75844574,-125.651001,-9.394054413,-2.428047895,1.016523242,0.003963565,-2.193535566,1.540021181, 
6,488371658,-66.36468506,74.72939301,-125.4708099,-9.389842033,-2.382605791,1.009596705,0.031228285,-2.163248777,1.600582361, 
7,488388325,-66.22653198,74.71167755,-125.3117599,-9.367481232,-2.380130053,1.008126616,0.015604538,-2.127992868,1.561279893, 
8,488404992,-66.08950043,74.69953156,-125.1485367,-9.369882584,-2.386149406,0.996502817,0.014375127,-2.289455175,1.550688863, 
9,488421659,-65.95085907,74.68993378,-124.9866333,-9.394804001,-2.379854918,1.026311636,0.05471513,-2.514962435,1.523590684, 
10,488438326,-65.80438232,74.68225861,-124.8203049,-9.428011894,-2.369189739,1.031693935,0.182151094,-2.590750217,1.470674753, 
11,488454993,-65.65618134,74.67501831,-124.6602325,-9.411067963,-2.356234312,1.000506401,0.275599062,-2.613238335,1.294062495, 
12,488471660,-65.50964355,74.66913605,-124.5033112,-9.384811401,-2.381314039,1.004894376,0.279043972,-2.69197154,1.205583215, 
13,488488327,-65.35591888,74.66575623,-124.3383102,-9.358493805,-2.406199932,1.017117381,0.401600748,-2.786559582,1.357479572, 
14,488504994,-65.19881439,74.66291809,-124.1652603,-9.348877907,-2.409520864,1.004120946,0.264355093,-2.879443884,1.497606635, 
15,488521661,-65.06053162,74.65930939,-124.0089035,-9.333090782,-2.388303041,1.035263896,-0.098685741,-2.756835699,1.428337097, 
16,488538328,-64.93477631,74.65483093,-123.8639679,-9.338697433,-2.382797241,1.043326139,-0.196308568,-2.58442378,1.305908442, 
17,488554995,-64.82041168,74.65164948,-123.731514,-9.341479301,-2.375664234,1.055392981,-0.122518361,-2.331473112,1.274123192, 
18,488571662,-64.69974518,74.65036774,-123.5941696,-9.344842911,-2.362119675,1.025813818,-0.157787025,-2.345201492,1.398165226, 
19,488588329,-64.58116913,74.64996338,-123.4584274,-9.341418266,-2.371127605,1.042204499,-0.062584639,-2.284166098,1.37859714, 
20,488604996,-64.4551239,74.65109253,-123.3192444,-9.3702631,-2.394533396,1.053344488,0.108540215,-2.303785563,1.474017262, 
21,488621663,-64.32019043,74.65325928,-123.1781158,-9.38272953,-2.407371283,1.058534503,0.273883015,-2.352923632,1.578478694, 
22,488638330,-64.16658783,74.65346527,-123.0174026,-9.404033661,-2.41566658,1.024612665,0.253700197,-2.674926758,1.61897254, 
23,488654997,-64.01322937,74.652565,-122.8507614,-9.388279915,-2.406823397,1.057460666,0.217804015,-2.734603882,1.580015302, 
24,488671664,-63.86240768,74.65275574,-122.6866989,-9.380799294,-2.411598682,1.045701146,0.193228632,-2.667242765,1.630177975, 
25,488688331,-63.7169075,74.65168762,-122.532814,-9.364138603,-2.401802778,1.07487464,0.142528296,-2.639132738,1.540508151, 
26,488704998,-63.56853867,74.65090942,-122.370842,-9.358183861,-2.407682896,1.078358412,0.212553442,-2.639555454,1.575879097, 
