PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,530134212,-162.4031372,-57.3643074,-173.4975281,0,0,0,0,0,0, 
1,530150879,-162.3145447,-57.38488007,-173.5703735,8.205289841,-1.597129583,-4.979720116,2.418664694,1.10641098,0.313006401, 
2,530167546,-162.230072,-57.4160881,-173.6417389,8.19487381,-1.596984625,-5.017226696,2.390798092,0.983405948,0.265622884, 
3,530184213,-162.1733704,-57.42523956,-173.6479645,8.209806442,-1.605342388,-4.99379015,2.2030828,0.978603661,0.300737917, 
4,530200880,-162.1131897,-57.43928146,-173.6596832,8.208438873,-1.59751904,-4.993965149,2.475281477,1.078428984,0.260602802, 
5,530217547,-162.0651398,-57.45332718,-173.6730499,8.209897041,-1.59064877,-5.027142525,2.286785126,1.016933084,0.225308523, 
6,530234214,-162.0305023,-57.46097565,-173.6981659,8.209300995,-1.607974291,-4.989807606,2.343427658,0.91089654,0.11832428, 
7,530250881,-161.9897156,-57.4716835,-173.7402954,8.20249939,-1.599248886,-4.996378899,2.420457602,0.98389262,0.1468696, 
8,530267548,-161.9529419,-57.48123932,-173.7656555,8.193784714,-1.570994139,-5.012619495,2.222855806,0.9259184,0.185301483, 
9,530284215,-161.921814,-57.48848724,-173.7747192,8.189561844,-1.574028969,-5.004724026,2.402374983,0.831432998,0.143335059, 
10,530300882,-161.8966064,-57.49458694,-173.7655792,8.204395294,-1.574986696,-5.015584469,2.231038809,0.77581507,0.155577928, 
11,530317549,-161.8680725,-57.50269318,-173.7460327,8.198173523,-1.58044517,-5.003404617,2.539377213,0.895106196,0.104787953, 
12,530334216,-161.838562,-57.50931931,-173.7556152,8.21773243,-1.597542644,-5.012726307,2.47275877,0.815271378,0.197685197, 
13,530350883,-161.8049164,-57.51849747,-173.770401,8.250964165,-1.591552138,-5.00483799,2.424338102,0.990283072,0.271244913, 
14,530367550,-161.7662201,-57.52968597,-173.8171387,8.225719452,-1.585621595,-4.996063709,2.441332579,1.078659654,0.394531667, 
15,530384217,-161.7270203,-57.54478836,-173.8272705,8.232904434,-1.579419017,-5.024320602,2.372677088,1.27770865,0.369405538, 
16,530400884,-161.6851044,-57.55891418,-173.8750153,8.189691544,-1.601269603,-5.020190239,2.698189497,1.20250988,0.304362118, 
17,530417551,-161.6471558,-57.57236862,-173.9028473,8.199542046,-1.59745121,-4.994888783,2.527122021,1.19225204,0.22363089, 
18,530434218,-161.6097565,-57.58538818,-173.9418945,8.192772865,-1.588393927,-4.972030163,2.31047678,1.189754605,0.310688436, 
19,530450885,-161.5638733,-57.5977478,-173.9874268,8.167136192,-1.571494102,-5.007920265,2.83505106,1.11793685,0.297305852, 
20,530467552,-161.5350342,-57.60623169,-173.9918213,8.202240944,-1.576409817,-4.985821724,2.076120853,0.881941378,0.224514544, 
