PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,488271656,-68.15639496,74.90955353,-127.3750687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,488288323,-67.73899078,74.88005829,-126.9721375,-9.358736992,-2.344453096,1.00513339,0.300366521,-2.111971855,1.416593552,-0.155979,-0.039074,0.016752,0.005006,-0.0352,0.02361
2,488304990,-67.34276581,74.85328674,-126.5546265,-9.366325378,-2.355592489,1.027114272,0.091226026,-2.076562405,1.272611737,-0.312084,-0.078334,0.033871,0.006526,-0.069809,0.04482
3,488321657,-66.98756409,74.82553864,-126.1784973,-9.358433723,-2.389789581,1.025468588,0.030395873,-2.169114113,1.234205604,-0.468058,-0.118164,0.050962,0.007033,-0.105961,0.06539
4,488338324,-66.71984863,74.79202271,-125.890686,-9.353351593,-2.419284821,1.014021516,0.07895755,-2.087204695,1.280795217,-0.623947,-0.158485,0.067862,0.008349,-0.140748,0.086737
5,488354991,-66.52139282,74.75844574,-125.651001,-9.394054413,-2.428047895,1.016523242,0.003963565,-2.193535566,1.540021181,-0.780515,-0.198952,0.084804,0.008415,-0.177307,0.112404
6,488371658,-66.36468506,74.72939301,-125.4708099,-9.389842033,-2.382605791,1.009596705,0.031228285,-2.163248777,1.600582361,-0.937012,-0.238662,0.101631,0.008935,-0.213361,0.13908
7,488388325,-66.22653198,74.71167755,-125.3117599,-9.367481232,-2.380130053,1.008126616,0.015604538,-2.127992868,1.561279893,-1.093137,-0.278331,0.118433,0.009195,-0.248828,0.165101
8,488404992,-66.08950043,74.69953156,-125.1485367,-9.369882584,-2.386149406,0.996502817,0.014375127,-2.289455175,1.550688863,-1.249302,-0.3181,0.135041,0.009435,-0.286986,0.190946
9,488421659,-65.95085907,74.68993378,-124.9866333,-9.394804001,-2.379854918,1.026311636,0.05471513,-2.514962435,1.523590684,-1.405882,-0.357764,0.152146,0.010347,-0.328902,0.216339
10,488438326,-65.80438232,74.68225861,-124.8203049,-9.428011894,-2.369189739,1.031693935,0.182151094,-2.590750217,1.470674753,-1.563016,-0.39725,0.169341,0.013383,-0.372081,0.24085
11,488454993,-65.65618134,74.67501831,-124.6602325,-9.411067963,-2.356234312,1.000506401,0.275599062,-2.613238335,1.294062495,-1.719867,-0.436521,0.186016,0.017976,-0.415635,0.262418
12,488471660,-65.50964355,74.66913605,-124.5033112,-9.384811401,-2.381314039,1.004894376,0.279043972,-2.69197154,1.205583215,-1.876281,-0.47621,0.202764,0.022627,-0.460501,0.282511
13,488488327,-65.35591888,74.66575623,-124.3383102,-9.358493805,-2.406199932,1.017117381,0.401600748,-2.786559582,1.357479572,-2.032256,-0.516313,0.219716,0.02932,-0.506944,0.305136
14,488504994,-65.19881439,74.66291809,-124.1652603,-9.348877907,-2.409520864,1.004120946,0.264355093,-2.879443884,1.497606635,-2.188071,-0.556472,0.236451,0.033726,-0.554935,0.330096
15,488521661,-65.06053162,74.65930939,-124.0089035,-9.333090782,-2.388303041,1.035263896,-0.098685741,-2.756835699,1.428337097,-2.343623,-0.596277,0.253705,0.032081,-0.600882,0.353902
16,488538328,-64.93477631,74.65483093,-123.8639679,-9.338697433,-2.382797241,1.043326139,-0.196308568,-2.58442378,1.305908442,-2.499268,-0.63599,0.271094,0.028809,-0.643956,0.375667
17,488554995,-64.82041168,74.65164948,-123.731514,-9.341479301,-2.375664234,1.055392981,-0.122518361,-2.331473112,1.274123192,-2.654959,-0.675584,0.288684,0.026767,-0.682814,0.396902
18,488571662,-64.69974518,74.65036774,-123.5941696,-9.344842911,-2.362119675,1.025813818,-0.157787025,-2.345201492,1.398165226,-2.810706,-0.714953,0.305781,0.024137,-0.721901,0.420205
19,488588329,-64.58116913,74.64996338,-123.4584274,-9.341418266,-2.371127605,1.042204499,-0.062584639,-2.284166098,1.37859714,-2.966396,-0.754472,0.323151,0.023094,-0.75997,0.443182
20,488604996,-64.4551239,74.65109253,-123.3192444,-9.3702631,-2.394533396,1.053344488,0.108540215,-2.303785563,1.474017262,-3.122567,-0.794381,0.340707,0.024903,-0.798366,0.467749
21,488621663,-64.32019043,74.65325928,-123.1781158,-9.38272953,-2.407371283,1.058534503,0.273883015,-2.352923632,1.578478694,-3.278946,-0.834504,0.358349,0.029468,-0.837581,0.494057
22,488638330,-64.16658783,74.65346527,-123.0174026,-9.404033661,-2.41566658,1.024612665,0.253700197,-2.674926758,1.61897254,-3.43568,-0.874765,0.375426,0.033696,-0.882163,0.52104
23,488654997,-64.01322937,74.652565,-122.8507614,-9.388279915,-2.406823397,1.057460666,0.217804015,-2.734603882,1.580015302,-3.592151,-0.914879,0.39305,0.037326,-0.92774,0.547374
24,488671664,-63.86240768,74.65275574,-122.6866989,-9.380799294,-2.411598682,1.045701146,0.193228632,-2.667242765,1.630177975,-3.748498,-0.955072,0.410478,0.040546,-0.972194,0.574544
25,488688331,-63.7169075,74.65168762,-122.532814,-9.364138603,-2.401802778,1.07487464,0.142528296,-2.639132738,1.540508151,-3.904567,-0.995102,0.428393,0.042921,-1.01618,0.600219
26,488704998,-63.56853867,74.65090942,-122.370842,-9.358183861,-2.407682896,1.078358412,0.212553442,-2.639555454,1.575879097,-4.060537,-1.03523,0.446366,0.046464,-1.060173,0.626484
27,488721665,-63.41874313,74.65113831,-122.2073441,-9.360198021,-2.427978754,1.062798738,0.23395279,-2.611790895,1.647773862,-4.21654,-1.075696,0.464079,0.050363,-1.103703,0.653947
28,488738332,-63.26871109,74.65345001,-122.0482712,-9.342432976,-2.426264286,1.064993024,0.288174897,-2.546491861,1.772584558,-4.372247,-1.116134,0.481829,0.055166,-1.146145,0.68349
29,488754999,-63.12514877,74.65692902,-121.8908844,-9.323005676,-2.428736448,1.108287096,0.200080022,-2.438495874,1.81937933,-4.52763,-1.156613,0.5003,0.058501,-1.186787,0.713813
30,488771666,-62.98806763,74.66111755,-121.7411575,-9.321593285,-2.438715219,1.08699286,0.045404915,-2.333304167,1.847271204,-4.68299,-1.197258,0.518417,0.059258,-1.225675,0.744601
31,488788333,-62.86727524,74.66845703,-121.6070251,-9.328180313,-2.420314074,1.107147455,-0.019363202,-2.013107061,1.924813509,-4.83846,-1.237597,0.536869,0.058935,-1.259227,0.776681
32,488805000,-62.75846863,74.67713928,-121.4752426,-9.343431473,-2.427925348,1.124311924,-0.158004731,-1.82024312,1.928796172,-4.994184,-1.278062,0.555608,0.056302,-1.289564,0.808828
33,488821667,-62.65814972,74.68972015,-121.3607407,-9.366110802,-2.414762497,1.094640732,-0.08687827,-1.547736883,2.072816372,-5.150286,-1.318308,0.573852,0.054854,-1.31536,0.843375
