PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,529721867,-125.340065,-56.40651703,-170.4114227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,529738534,-125.3369217,-56.40852737,-170.3837128,8.359750748,-4.53895998,-3.212298155,1.526868939,0.788275599,1.973695278,0.139329,-0.075649,-0.053538,0.025448,0.013138,0.032895
2,529755201,-125.2821884,-56.3909111,-170.4253082,8.320371628,-4.530376911,-3.192883968,1.568643332,0.769360602,1.960620165,0.278002,-0.151155,-0.106753,0.051592,0.025961,0.065572
3,529771868,-125.2080002,-56.36621857,-170.4703064,8.282736778,-4.547646999,-3.209031582,1.412969351,0.789236128,1.931011677,0.416048,-0.226949,-0.160237,0.075141,0.039115,0.097756
4,529788535,-125.1386032,-56.32588577,-170.5439453,8.271990776,-4.539384365,-3.225839138,1.243310928,0.78625232,1.916118264,0.553915,-0.302605,-0.214001,0.095863,0.052219,0.129691
5,529805202,-125.0828094,-56.27825928,-170.5798187,8.308642387,-4.528842449,-3.228957415,1.210155368,0.678409994,2.096572399,0.692392,-0.378086,-0.267817,0.116032,0.063526,0.164634
6,529821869,-125.0366974,-56.23852158,-170.5776825,8.346662521,-4.528657436,-3.245433569,1.274904132,0.672493458,2.081076384,0.831503,-0.453564,-0.321908,0.13728,0.074734,0.199319
7,529838536,-124.9997711,-56.20763016,-170.5617218,8.365598679,-4.539496422,-3.226452351,1.526388764,0.556794465,1.929942369,0.97093,-0.529222,-0.375682,0.16272,0.084014,0.231485
8,529855203,-124.9593353,-56.18332672,-170.5706787,8.358148575,-4.541777134,-3.217617512,1.632150054,0.574499249,1.932484388,1.110232,-0.604918,-0.429309,0.189923,0.093589,0.263693
9,529871870,-124.9174423,-56.16501617,-170.5875702,8.341844559,-4.525350571,-3.207065105,1.484300852,0.692817211,1.850895524,1.249263,-0.680341,-0.48276,0.214661,0.105136,0.294541
