PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,524357486,59.42868423,-14.92190742,110.9176788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,524374153,59.24161911,-15.08056068,110.9558945,2.614343882,7.919697285,5.019723892,3.187455654,-3.774620056,-0.067745589,0.043572,0.131995,0.083662,0.053124,-0.06291,-0.001129
2,524390820,59.0303421,-15.23428154,111.027359,2.597498655,7.918039322,4.99844408,6.002189636,-3.108460188,0.179807574,0.086864,0.263962,0.166969,0.15316,-0.114718,0.001868
3,524407487,58.89637375,-15.34078598,111.1310043,2.593803167,8.074113846,5.010599613,7.009845734,-2.562026262,0.140338421,0.130094,0.398531,0.250479,0.269991,-0.157418,0.004207
4,524424154,58.86345291,-15.40251541,111.2073669,2.566791058,8.12663269,4.983095169,7.605916977,-2.774739265,0.157806262,0.172874,0.533975,0.333531,0.396756,-0.203664,0.006837
5,524440821,58.88891602,-15.43401623,111.2677765,2.590693235,8.258159637,4.879825115,7.090460777,-3.13181901,0.11046119,0.216052,0.671611,0.414861,0.51493,-0.255861,0.008678
6,524457488,58.95970154,-15.45395756,111.2964249,2.597318172,8.196558952,4.85270977,5.775299072,-3.142114878,0.18010211,0.259341,0.80822,0.495739,0.611185,-0.30823,0.01168
7,524474155,59.04889297,-15.46846581,111.3138428,2.65954113,8.183233261,4.83417654,5.2434268,-2.922832012,0.03786198,0.303667,0.944607,0.576309,0.698575,-0.356944,0.012311
8,524490822,59.1235733,-15.48195457,111.3259659,2.662659645,8.16494751,4.963045597,3.7859478,-2.049797535,-0.056463201,0.348045,1.080689,0.659026,0.761674,-0.391107,0.01137
9,524507489,59.1844368,-15.49794006,111.3437881,2.621040106,8.099251747,4.98367548,3.5772686,-1.595620155,0.194598928,0.391729,1.215677,0.742087,0.821295,-0.417701,0.014613
10,524524156,59.24849701,-15.51107502,111.3582382,2.593700171,8.107578278,4.919505119,4.424075603,-1.304672599,0.238281399,0.434957,1.350803,0.824079,0.89503,-0.439446,0.018584
11,524540823,59.31651306,-15.5209446,111.3846359,2.577991247,8.138663292,4.856246471,4.787967205,-1.170052171,0.241534173,0.477924,1.486447,0.905016,0.974829,-0.458947,0.02261
12,524557490,59.38898849,-15.52953148,111.3926086,2.54322052,8.125332832,4.804312706,4.840486526,-1.273347974,0.238896027,0.520311,1.621869,0.985088,1.055504,-0.480169,0.026592
13,524574157,59.48121643,-15.54575348,111.3827515,2.534397364,8.177688599,4.856763363,5.654688835,-2.052537918,0.484163344,0.562551,1.758164,1.066034,1.149749,-0.514378,0.034661
14,524590824,59.59391403,-15.57863331,111.33815,2.540888071,8.168192863,4.836129665,6.417064667,-3.888700008,0.757117927,0.604899,1.894301,1.146636,1.2567,-0.57919,0.04728
15,524607491,59.68901825,-15.60468102,111.2900848,2.636623621,8.169535637,4.699951172,5.227097511,-4.013984203,0.31049639,0.648843,2.03046,1.224969,1.343818,-0.64609,0.052455
16,524624158,59.75072098,-15.62498379,111.2552872,2.655021191,8.123118401,4.80654192,3.082456827,-3.435534239,0.064908996,0.693093,2.165845,1.305078,1.395192,-0.703349,0.053537
