PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,520441502,-12.763802,21.933739,88.1442,-4.188319,-3.773423,2.757721,-3.73797,-0.9880262,0.76344377,0.0,0.0,0.0,0.0,0.0,0.0
1,520458169,-12.789406,21.953167,88.1622,-4.0687203,-4.044427,2.663529,-3.811944,-0.9722938,0.8083412,-0.067812,-0.067407,0.044392,-0.063532,-0.016205,0.013472
2,520474836,-12.816193,21.973711,88.181175,-3.9385474,-4.33883,2.5611956,-3.8954768,-0.9549254,0.8557176,-0.133454,-0.139721,0.087079,-0.128457,-0.03212,0.027734
3,520491503,-12.843727,21.99508,88.200806,-3.7996712,-4.6523495,2.4522195,-3.987899,-0.9361908,0.90464646,-0.196782,-0.21726,0.127949,-0.194922,-0.047723,0.042811
4,520508170,-12.880684,22.023273,88.22679,-3.6140769,-5.0719147,2.3061962,-4.1047163,-0.9104733,0.9730908,-0.257017,-0.301792,0.166386,-0.263334,-0.062898,0.059029
5,520524837,-12.925125,22.057007,88.257904,-3.3894613,-5.5798445,2.1293106,-4.2432604,-0.8788863,1.0571828,-0.313508,-0.394789,0.201875,-0.334055,-0.077546,0.076649
6,520541504,-12.96283,22.082806,88.27824,-3.2406323,-5.916191,2.0106325,-4.3571215,-0.849874,1.1040406,-0.367519,-0.493392,0.235386,-0.406674,-0.091711,0.09505
7,520558171,-12.993637,22.100222,88.28701,-3.1732128,-6.0683146,1.9543922,-4.444322,-0.82337654,1.1110148,-0.420406,-0.594531,0.267959,-0.480746,-0.105434,0.113567
8,520574838,-13.023193,22.11486,88.29101,-3.1373262,-6.148967,1.9220204,-4.5255666,-0.79597783,1.1007626,-0.472695,-0.697014,0.299993,-0.556172,-0.1187,0.131913
9,520591505,-13.047859,22.123207,88.285965,-3.16363,-6.088752,1.9372482,-4.588707,-0.769714,1.0590813,-0.525422,-0.798493,0.33228,-0.63265,-0.131529,0.149564
10,520608172,-13.078438,22.13477,88.28272,-3.1747625,-6.063059,1.9397933,-4.665351,-0.7380123,1.0216045,-0.578335,-0.899544,0.36461,-0.710406,-0.143829,0.166591
11,520624839,-13.11554,22.15007,88.2818,-3.1665027,-6.0814323,1.9263527,-4.7575445,-0.7003958,0.990138,-0.63111,-1.000901,0.396716,-0.789698,-0.155502,0.183093
12,520641506,-13.150818,22.16136,88.2741,-3.2040102,-5.996251,1.947535,-4.839202,-0.66176677,0.93452007,-0.68451,-1.100839,0.429175,-0.870351,-0.166531,0.198668
13,520658173,-13.186592,22.17064,88.26185,-3.2712774,-5.843809,1.990834,-4.91712,-0.6206063,0.8620269,-0.739031,-1.198236,0.462356,-0.952303,-0.176874,0.213035
