PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,529721867,-31.439247,12.660442,-113.30586,-4.1538672,-0.76153827,-1.1157669,-2.795793,-2.2268217,-1.4335599,0.0,0.0,0.0,0.0,0.0,0.0
1,529738534,-31.408737,12.679649,-113.32231,-3.8853846,-0.90664124,-1.2209779,-2.7586453,-2.213106,-1.3715714,-0.064756,-0.015111,-0.02035,-0.045977,-0.036885,-0.02286
2,529755201,-31.376747,12.699951,-113.339386,-3.5935526,-1.064153,-1.3351051,-2.7170181,-2.1979342,-1.3040332,-0.124649,-0.032847,-0.042602,-0.091261,-0.073517,-0.044594
3,529771868,-31.343765,12.721073,-113.3568,-3.2825575,-1.2317846,-1.4564918,-2.6713972,-2.1815321,-1.2319074,-0.179358,-0.053377,-0.066877,-0.135784,-0.109876,-0.065126
4,529788535,-31.299957,12.748829,-113.38016,-2.8672915,-1.456011,-1.6187929,-2.6117103,-2.1592484,-1.1356865,-0.227146,-0.077644,-0.093857,-0.179313,-0.145863,-0.084054
5,529805202,-31.247475,12.78196,-113.40822,-2.365035,-1.7273638,-1.8151413,-2.5398214,-2.1319973,-1.0193087,-0.266563,-0.106433,-0.124109,-0.221643,-0.181396,-0.101042
6,529821869,-31.201424,12.809296,-113.43021,-2.033475,-1.9061806,-1.944492,-2.4906068,-2.115227,-0.9412583,-0.300454,-0.138203,-0.156517,-0.263153,-0.21665,-0.11673
7,529838536,-31.16182,12.830589,-113.44586,-1.8852873,-1.9856288,-2.0018992,-2.4659138,-2.1097531,-0.90436935,-0.331875,-0.171297,-0.189882,-0.304252,-0.251813,-0.131803
8,529855203,-31.122795,12.850414,-113.45955,-1.8085642,-2.0262873,-2.0311785,-2.4502432,-2.108787,-0.8832357,-0.362018,-0.205068,-0.223735,-0.345089,-0.286959,-0.146524
9,529871870,-31.088127,12.8658905,-113.46846,-1.8721552,-1.9908507,-2.0053372,-2.4529305,-2.1164734,-0.8934579,-0.393221,-0.238249,-0.257157,-0.385971,-0.322234,-0.161415
10,529888537,-31.046188,12.885166,-113.48041,-1.9025135,-1.9734709,-1.9924966,-2.4508357,-2.1225305,-0.89557886,-0.42493,-0.27114,-0.290365,-0.426818,-0.35761,-0.176341
11,529905204,-30.996292,12.9087105,-113.49588,-1.8902073,-1.979254,-1.9963471,-2.4426348,-2.126395,-0.8874328,-0.456433,-0.304128,-0.323637,-0.467529,-0.39305,-0.191132
12,529921871,-30.94735,12.930046,-113.50856,-1.9815063,-1.928889,-1.9594995,-2.447956,-2.136799,-0.90221214,-0.489458,-0.336276,-0.356295,-0.508328,-0.428663,-0.206169
13,529938538,-30.896751,12.950939,-113.52013,-2.1405363,-1.8418405,-1.8960336,-2.461998,-2.1516247,-0.931738,-0.525134,-0.366973,-0.387896,-0.549361,-0.464523,-0.221698
14,529955205,-30.847603,12.970795,-113.533264,-2.2161064,-1.8001125,-1.865718,-2.466978,-2.1534095,-0.9448787,-0.562069,-0.396975,-0.418991,-0.590477,-0.500413,-0.237446
15,529971872,-30.801216,12.988758,-113.54744,-2.2128248,-1.8012187,-1.8667933,-2.463777,-2.1415737,-0.9429841,-0.598949,-0.426995,-0.450104,-0.63154,-0.536106,-0.253162
16,529988539,-30.754349,13.006287,-113.562515,-2.1792288,-1.8188384,-1.8800086,-2.4577405,-2.1229854,-0.9355365,-0.635269,-0.457309,-0.481437,-0.672502,-0.571489,-0.268754
17,530005206,-30.708122,13.022953,-113.57898,-2.078846,-1.872762,-1.9198056,-2.4447083,-2.0930204,-0.9151666,-0.669916,-0.488522,-0.513434,-0.713247,-0.606373,-0.284007
18,530021873,-30.662987,13.037422,-113.59372,-2.0386,-1.8941524,-1.936123,-2.440247,-2.0640948,-0.90882444,-0.703893,-0.520091,-0.545703,-0.753918,-0.640775,-0.299154
19,530038540,-30.61879,13.04969,-113.60657,-2.0645962,-1.8797085,-1.9265596,-2.4451284,-2.0367506,-0.9178053,-0.738303,-0.551419,-0.577812,-0.79467,-0.674721,-0.314451
20,530055207,-30.576454,13.059944,-113.61954,-2.0636005,-1.8800056,-1.9279479,-2.4482472,-2.0007694,-0.9226928,-0.772696,-0.582752,-0.609944,-0.835474,-0.708067,-0.329829
21,530071874,-30.536148,13.067802,-113.631836,-2.0634508,-1.8799503,-1.9293202,-2.4530792,-1.9586813,-0.92945445,-0.807087,-0.614085,-0.642099,-0.876359,-0.740712,-0.34532
22,530088541,-30.492195,13.078709,-113.64627,-2.0670652,-1.8780901,-1.9282025,-2.4581232,-1.9363414,-0.9304296,-0.841538,-0.645387,-0.674236,-0.917328,-0.772984,-0.360827
23,530105208,-30.444366,13.09304,-113.66319,-2.0647259,-1.8797138,-1.9283155,-2.4621243,-1.9350102,-0.9228432,-0.87595,-0.676716,-0.706375,-0.958363,-0.805234,-0.376208
24,530121875,-30.395615,13.107861,-113.68082,-2.0748596,-1.874778,-1.9230314,-2.4683325,-1.9441545,-0.91459394,-0.910531,-0.707962,-0.738426,-0.999502,-0.837637,-0.391451
25,530138542,-30.34449,13.124603,-113.699875,-2.0959215,-1.8641632,-1.9125918,-2.4761047,-1.9707842,-0.9030354,-0.945463,-0.739031,-0.770303,-1.04077,-0.870483,-0.406502
26,530155209,-30.294739,13.140045,-113.719315,-2.1029663,-1.8613384,-1.9076279,-2.4836342,-1.9972194,-0.8878007,-0.980512,-0.770053,-0.802097,-1.082164,-0.90377,-0.421299
27,530171876,-30.246689,13.153862,-113.73889,-2.0972729,-1.8656161,-1.9076823,-2.4912229,-2.0227392,-0.8694322,-1.015467,-0.801147,-0.833892,-1.123684,-0.937482,-0.43579
28,530188543,-30.197395,13.1688385,-113.75986,-2.089507,-1.8712838,-1.9078244,-2.4992042,-2.0623555,-0.84567547,-1.050292,-0.832335,-0.865689,-1.165337,-0.971855,-0.449885
29,530205210,-30.147774,13.1842575,-113.78194,-2.0744247,-1.8811824,-1.9102825,-2.507248,-2.1125617,-0.8163824,-1.084866,-0.863688,-0.897527,-1.207124,-1.007064,-0.463491
30,530221877,-30.099968,13.199562,-113.801636,-2.068428,-1.8856175,-1.9107982,-2.5143332,-2.1479936,-0.8006656,-1.11934,-0.895115,-0.929374,-1.24903,-1.042864,-0.476835
31,530238544,-30.053894,13.215073,-113.81879,-2.073268,-1.8835766,-1.9087995,-2.5202732,-2.1682215,-0.79980016,-1.153894,-0.926508,-0.961187,-1.291035,-1.079001,-0.490165
32,530255211,-30.009201,13.230507,-113.8349,-2.0770283,-1.8819001,-1.9080368,-2.525273,-2.1830757,-0.80446935,-1.188511,-0.957873,-0.992988,-1.333123,-1.115386,-0.503573
33,530271878,-29.966461,13.245831,-113.84895,-2.083848,-1.878124,-1.9074782,-2.5289454,-2.1860409,-0.8198011,-1.223242,-0.989175,-1.024779,-1.375272,-1.15182,-0.517236
34,530288545,-29.92382,13.262005,-113.8634,-2.087264,-1.8762405,-1.9081947,-2.5320535,-2.196022,-0.83414936,-1.25803,-1.020446,-1.056582,-1.417473,-1.18842,-0.531138
35,530305212,-29.881302,13.279053,-113.878265,-2.0857086,-1.8771279,-1.9107343,-2.534504,-2.2139897,-0.846684,-1.292792,-1.051731,-1.088428,-1.459715,-1.22532,-0.545249
36,530321879,-29.840363,13.296494,-113.8916,-2.0855713,-1.8768814,-1.9138376,-2.5354927,-2.224979,-0.8676226,-1.327552,-1.083012,-1.120325,-1.501973,-1.262403,-0.559709
37,530338546,-29.800697,13.314556,-113.90384,-2.0849895,-1.8766096,-1.9179403,-2.5350804,-2.2330103,-0.89451003,-1.362302,-1.114289,-1.152291,-1.544224,-1.29962,-0.574618
38,530355213,-29.759811,13.3318405,-113.91728,-2.0848494,-1.876313,-1.9204556,-2.5371912,-2.2400494,-0.90863967,-1.397049,-1.145561,-1.184299,-1.586511,-1.336954,-0.589762
39,530371880,-29.717682,13.348206,-113.93182,-2.0859032,-1.8755677,-1.9210361,-2.5420325,-2.2444348,-0.9095168,-1.431814,-1.17682,-1.216316,-1.628878,-1.374361,-0.604921
40,530388547,-29.675278,13.364498,-113.94673,-2.0862179,-1.875251,-1.9213158,-2.5477095,-2.2479126,-0.90436363,-1.466584,-1.208074,-1.248338,-1.67134,-1.411826,-0.619994
41,530405214,-29.632004,13.380344,-113.96254,-2.0861883,-1.875262,-1.9205579,-2.555251,-2.2504513,-0.8882766,-1.501354,-1.239328,-1.280347,-1.713928,-1.449334,-0.634799
42,530421881,-29.589745,13.39645,-113.9774,-2.0861778,-1.8749983,-1.9202577,-2.5620282,-2.2469654,-0.87469625,-1.536124,-1.270578,-1.312351,-1.756628,-1.486783,-0.649377
43,530438548,-29.548622,13.412899,-113.99121,-2.0859432,-1.8745668,-1.9205922,-2.5678349,-2.2373269,-0.86421466,-1.57089,-1.301821,-1.344361,-1.799425,-1.524072,-0.663781
44,530455215,-29.507164,13.429024,-114.00531,-2.0856285,-1.8741796,-1.9201878,-2.5748444,-2.2238126,-0.84588003,-1.60565,-1.333057,-1.376364,-1.842339,-1.561136,-0.677879
45,530471882,-29.465782,13.444996,-114.01932,-2.0852318,-1.8737457,-1.9193896,-2.582472,-2.2051547,-0.8224504,-1.640404,-1.364286,-1.408354,-1.88538,-1.597889,-0.691587
46,530488549,-29.424248,13.461475,-114.03369,-2.0846338,-1.8736389,-1.9187347,-2.5863318,-2.197734,-0.80711627,-1.675148,-1.395513,-1.440333,-1.928486,-1.634518,-0.705039
47,530505216,-29.382378,13.478458,-114.04863,-2.0838537,-1.8739097,-1.9180971,-2.5862393,-2.2031474,-0.79976106,-1.709879,-1.426745,-1.472301,-1.97159,-1.671237,-0.718368
48,530521883,-29.340553,13.495731,-114.0636,-2.0829115,-1.8743298,-1.9174608,-2.5838447,-2.212588,-0.79593706,-1.744594,-1.457984,-1.504259,-2.014654,-1.708113,-0.731634
49,530538550,-29.298645,13.513458,-114.0788,-2.081788,-1.8750055,-1.9169184,-2.5779548,-2.230601,-0.79894996,-1.77929,-1.489234,-1.536208,-2.05762,-1.74529,-0.74495
50,530555217,-29.256454,13.531086,-114.0943,-2.080453,-1.8758404,-1.9158455,-2.571611,-2.2481089,-0.798187,-1.813964,-1.520498,-1.568139,-2.10048,-1.782758,-0.758253
51,530571884,-29.21402,13.548603,-114.11005,-2.0788956,-1.8768237,-1.9142193,-2.564901,-2.2643697,-0.79318786,-1.848612,-1.551778,-1.600043,-2.143228,-1.820497,-0.771473
52,530588551,-29.171295,13.566429,-114.12616,-2.0771122,-1.8780978,-1.9124125,-2.5552394,-2.2878704,-0.7920346,-1.883231,-1.58308,-1.631917,-2.185815,-1.858628,-0.784674
53,530605218,-29.128227,13.5844345,-114.142685,-2.0750914,-1.8796499,-1.9102808,-2.5432086,-2.3167217,-0.7924695,-1.917816,-1.614407,-1.663755,-2.228202,-1.89724,-0.797882
54,530621885,-29.087517,13.60191,-114.156784,-2.0738811,-1.8806322,-1.909391,-2.537396,-2.3348248,-0.79944134,-1.952381,-1.645751,-1.695578,-2.270492,-1.936154,-0.811206
55,530638552,-29.04943,13.61882,-114.16815,-2.0735807,-1.8809893,-1.9099263,-2.5382957,-2.3417938,-0.81441975,-1.986941,-1.677101,-1.72741,-2.312797,-1.975184,-0.82478
56,530655219,-29.012604,13.635437,-114.17828,-2.073679,-1.88112,-1.9110352,-2.542212,-2.3440528,-0.83356524,-2.021502,-1.708453,-1.759261,-2.355167,-2.014252,-0.838673
57,530671886,-28.977821,13.651558,-114.18628,-2.0744762,-1.8807938,-1.9131674,-2.551484,-2.3374372,-0.8586061,-2.056077,-1.7398,-1.791147,-2.397692,-2.053209,-0.852983
