PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,524357486,59.42868423,-14.92190742,110.9176788,0,0,0,0,0,0, 
1,524374153,59.24161911,-15.08056068,110.9558945,2.614343882,7.919697285,5.019723892,3.187455654,-3.774620056,-0.067745589, 
2,524390820,59.0303421,-15.23428154,111.027359,2.597498655,7.918039322,4.99844408,6.002189636,-3.108460188,0.179807574, 
3,524407487,58.89637375,-15.34078598,111.1310043,2.593803167,8.074113846,5.010599613,7.009845734,-2.562026262,0.140338421, 
4,524424154,58.86345291,-15.40251541,111.2073669,2.566791058,8.12663269,4.983095169,7.605916977,-2.774739265,0.157806262, 
5,524440821,58.88891602,-15.43401623,111.2677765,2.590693235,8.258159637,4.879825115,7.090460777,-3.13181901,0.11046119, 
6,524457488,58.95970154,-15.45395756,111.2964249,2.597318172,8.196558952,4.85270977,5.775299072,-3.142114878,0.18010211, 
7,524474155,59.04889297,-15.46846581,111.3138428,2.65954113,8.183233261,4.83417654,5.2434268,-2.922832012,0.03786198, 
8,524490822,59.1235733,-15.48195457,111.3259659,2.662659645,8.16494751,4.963045597,3.7859478,-2.049797535,-0.056463201, 
9,524507489,59.1844368,-15.49794006,111.3437881,2.621040106,8.099251747,4.98367548,3.5772686,-1.595620155,0.194598928, 
10,524524156,59.24849701,-15.51107502,111.3582382,2.593700171,8.107578278,4.919505119,4.424075603,-1.304672599,0.238281399, 
11,524540823,59.31651306,-15.5209446,111.3846359,2.577991247,8.138663292,4.856246471,4.787967205,-1.170052171,0.241534173, 
12,524557490,59.38898849,-15.52953148,111.3926086,2.54322052,8.125332832,4.804312706,4.840486526,-1.273347974,0.238896027, 
13,524574157,59.48121643,-15.54575348,111.3827515,2.534397364,8.177688599,4.856763363,5.654688835,-2.052537918,0.484163344, 
14,524590824,59.59391403,-15.57863331,111.33815,2.540888071,8.168192863,4.836129665,6.417064667,-3.888700008,0.757117927, 
15,524607491,59.68901825,-15.60468102,111.2900848,2.636623621,8.169535637,4.699951172,5.227097511,-4.013984203,0.31049639, 
16,524624158,59.75072098,-15.62498379,111.2552872,2.655021191,8.123118401,4.80654192,3.082456827,-3.435534239,0.064908996, 
17,524640825,59.80915451,-15.64120007,111.2266922,2.667625666,8.111844063,4.900559902,3.139047384,-2.646764994,0.082146324, 
18,524657492,59.86585617,-15.65142345,111.2118835,2.653700829,8.220233917,4.899451256,3.409492493,-1.882316113,-0.005814083, 
19,524674159,59.91901779,-15.65606594,111.2081146,2.625417233,8.205833435,4.83010149,3.384724855,-1.350122213,-0.108879596, 
20,524690826,59.96948624,-15.65700722,111.1956329,2.608823299,8.18554306,4.841536045,3.279123783,-1.040528774,-0.181222662, 
21,524707493,60.01662064,-15.66175556,111.1793976,2.60035181,8.162513733,4.79349947,3.090690613,-1.206729293,0.001684035, 
22,524724160,60.06121445,-15.66673851,111.1837158,2.601351261,8.132189751,4.797661304,2.969414473,-1.086477876,0.095234416, 
23,524740827,60.11759186,-15.67634678,111.1775665,2.591319323,8.107552528,4.822021484,3.733941555,-1.09705615,0.404533446, 
24,524757494,60.17731476,-15.68192005,111.1745148,2.61211586,8.149284363,4.784161091,4.089522362,-0.643147647,0.387961954, 
25,524774161,60.24700165,-15.69038963,111.1762848,2.587257862,8.132043839,4.846695423,4.767028809,-0.46775189,0.675925493, 
26,524790828,60.33938217,-15.70219898,111.1809616,2.582239151,8.134133339,4.823797226,6.222343922,-0.435377568,0.936432481, 
27,524807495,60.44126511,-15.71195412,111.1871872,2.553711653,8.210272789,4.755666256,6.865774632,-0.256472856,0.91115278, 
28,524824162,60.54350662,-15.72568607,111.1893387,2.547547817,8.211860657,4.697278976,6.799103737,-0.565438867,1.044082761, 
29,524840829,60.62624359,-15.73815632,111.1934357,2.566501617,8.256464005,4.687456608,5.514484882,-0.746943176,0.883631647, 
30,524857496,60.68976974,-15.74785805,111.1918259,2.586490631,8.26473999,4.749018192,4.309727192,-0.673690796,0.749254704, 
31,524874163,60.74952698,-15.75451279,111.1896973,2.596404076,8.281172752,4.743414879,4.040370941,-0.688738286,0.540831327, 
32,524890830,60.79780197,-15.76013756,111.1900635,2.616037846,8.30257225,4.775671482,3.372353554,-0.5602265,0.54489094, 
33,524907497,60.83708191,-15.76547909,111.1875763,2.616879225,8.266607285,4.761688709,2.839456081,-0.530413449,0.539128125, 
34,524924164,60.87503815,-15.77516937,111.185585,2.583290577,8.202033997,4.750184536,2.74032855,-0.731140077,0.717027545, 
35,524940831,60.92353821,-15.79014206,111.1778793,2.586064816,8.140815735,4.691371441,3.340664625,-1.028023481,0.913643479, 
36,524957498,60.97200012,-15.80755806,111.1666183,2.61271596,8.142877579,4.719555378,3.37789917,-0.994336307,1.088687181, 
37,524974165,61.02246094,-15.82765198,111.1616058,2.593474865,8.220558167,4.720353603,3.569149494,-0.88651973,1.315141916, 
38,524990832,61.07497025,-15.84818077,111.1557236,2.585236788,8.228574753,4.716471195,3.701618433,-0.875224411,1.349475622, 
39,525007499,61.12601471,-15.86577511,111.1521988,2.596620321,8.288386345,4.652796745,3.648407459,-0.695679426,1.250341654, 
40,525024166,61.161129,-15.87730122,111.1538544,2.607248783,8.263809204,4.689374924,2.77299118,-0.19089143,1.11332655, 
41,525040833,61.19698715,-15.88732052,111.1604691,2.602607727,8.185096741,4.727020264,2.835076332,-0.079066403,1.069464684, 
42,525057500,61.23696899,-15.89817429,111.1636887,2.589112997,8.237260818,4.729066372,3.06756258,-0.198856995,1.05613327, 
43,525074167,61.27157211,-15.91047192,111.1681595,2.583161831,8.273222923,4.682525635,2.707224131,-0.380777627,1.059520602, 
44,525090834,61.29882431,-15.92301559,111.159584,2.581115007,8.271889687,4.656578541,2.195604086,-0.592011929,0.965502739, 
45,525107501,61.32590103,-15.93411732,111.146492,2.594637871,8.256955147,4.670736313,2.158427,-0.597954094,0.8685202, 
46,525124168,61.34959412,-15.94730663,111.1393967,2.60861969,8.170953751,4.679024696,1.950324059,-0.673165798,0.970689297, 
47,525140835,61.37422943,-15.95624733,111.1386185,2.60461998,8.194636345,4.730670929,2.128498793,-0.194951072,0.937559366, 
48,525157502,61.40376282,-15.96891403,111.1406479,2.599859953,8.241184235,4.74385643,2.416820526,-0.365185827,1.092490435, 
49,525174169,61.42951202,-15.98478794,111.1447601,2.572532415,8.291249275,4.734790325,2.202999353,-0.455208093,1.269890308, 
50,525190836,61.44890594,-16.00289726,111.1309662,2.589129925,8.269594193,4.692124367,1.761884928,-0.723923743,1.282338262, 
51,525207503,61.4618187,-16.0229702,111.1065674,2.560704708,8.234065056,4.761677742,1.375043511,-0.78503567,1.384776354, 
52,525224170,61.48244095,-16.04661751,111.0936356,2.575330019,8.19319725,4.715197563,1.782426119,-1.103849769,1.470668316, 
53,525240837,61.50952148,-16.07187653,111.0813751,2.57383585,8.194771767,4.710033894,2.221754313,-1.025519729,1.623608112, 
54,525257504,61.54152679,-16.0978775,111.069252,2.583196402,8.208945274,4.678971291,2.536732912,-1.012585282,1.688184142, 
55,525274171,61.57030487,-16.12080002,111.0626602,2.601480722,8.222318649,4.677720547,2.338810682,-0.954924583,1.510931611, 
56,525290838,61.59437943,-16.14527702,111.0466614,2.603368521,8.218553543,4.699832916,2.015040636,-1.132606387,1.52313602, 
57,525307505,61.6195755,-16.16940689,111.02388,2.614500761,8.208362579,4.736440182,2.046986103,-1.250386357,1.435444474, 
58,525324172,61.64740372,-16.19439316,110.9973907,2.631738663,8.224309921,4.668895245,2.161052465,-1.446029067,1.389405847, 
59,525340839,61.67040634,-16.21611595,110.9794846,2.65981245,8.238829613,4.692571163,1.921586394,-1.210840344,1.293934345, 
60,525357506,61.69865036,-16.23768997,110.9577026,2.654471636,8.252678871,4.713615417,2.199657202,-1.323145628,1.218396187, 
61,525374173,61.72441864,-16.25721931,110.9407043,2.659867764,8.248960495,4.677717209,2.064293861,-1.246077061,1.120133042, 
62,525390840,61.7522583,-16.27379608,110.920639,2.649696112,8.187601089,4.680931568,2.18357873,-1.190350175,0.943565488, 
63,525407507,61.77275085,-16.29207802,110.8906326,2.66020155,8.240773201,4.688218594,1.688241959,-1.425679684,0.929760277, 
64,525424174,61.78977966,-16.31356049,110.8624191,2.625663996,8.22759819,4.705634117,1.447514534,-1.626233578,1.043346167, 
65,525440841,61.80350876,-16.33572006,110.8333435,2.607853889,8.214009285,4.684385777,1.219081283,-1.767570853,1.017035604, 
66,525457508,61.8146553,-16.35536575,110.8015823,2.615218878,8.225664139,4.66365242,1.0434165,-1.777316451,0.843637526, 
67,525474175,61.82198334,-16.37812424,110.7660294,2.612511158,8.238329887,4.66244173,0.752129793,-2.070165634,0.906510293, 
68,525490842,61.8244133,-16.39988899,110.7240677,2.61760354,8.252316475,4.68689394,0.417358935,-2.179570198,0.785029173, 
69,525507509,61.82791901,-16.4213562,110.6790237,2.596185207,8.196688652,4.723797798,0.462962329,-2.240643501,0.73641634, 
70,525524176,61.83934402,-16.44579697,110.6238632,2.618523121,8.236042023,4.690351009,0.863698602,-2.591986179,0.761081398, 
71,525540843,61.84406281,-16.4682312,110.5821838,2.637813568,8.230998993,4.704251766,0.470646203,-2.526763439,0.670911908, 
72,525557510,61.85422134,-16.48974419,110.539917,2.657934427,8.193367004,4.737962723,0.776391327,-2.583680868,0.583297253, 
73,525574177,61.86802673,-16.50743866,110.4981766,2.654304266,8.212697983,4.720845699,1.013513803,-2.459318638,0.389498711, 
74,525590844,61.88729477,-16.52390099,110.4617691,2.670450687,8.153442383,4.743836403,1.419699073,-2.222663641,0.438899219, 
75,525607511,61.92806244,-16.53909874,110.423317,2.670376301,8.105348587,4.772058487,2.717558622,-2.218757629,0.35334, 
76,525624178,61.97638702,-16.54676247,110.3875656,2.67283392,8.265215874,4.72288847,3.261041164,-1.79902339,0.068430729, 
77,525640845,62.00855637,-16.55013657,110.344574,2.661635637,8.266218185,4.697005749,2.3574121,-1.515362501,-0.072880939, 
78,525657512,62.02908707,-16.55067635,110.3117447,2.657600641,8.255371094,4.690327644,1.650905013,-1.478384256,-0.234183341, 
79,525674179,62.04640198,-16.55222702,110.2802353,2.63403368,8.194999695,4.680291176,1.513121367,-1.369133115,-0.101074107, 
80,525690846,62.07518387,-16.55383873,110.2496033,2.639831543,8.181617737,4.694096565,2.221748114,-1.343053222,-0.076953351, 
81,525707513,62.11055756,-16.5597229,110.2233124,2.629332304,8.200746536,4.687328339,2.603947639,-1.538695931,0.11827305, 
