PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,4133193785,179.1999512,-37.73007965,170.0154572,0,0,0,0,0,0, 
1,4133210452,179.2261658,-37.85891342,170.0161591,6.958437443,0.577646792,-8.811752319,3.621181965,8.168589592,-0.246419802, 
2,4133227119,179.2497864,-38.00811386,170.0477295,7.100733757,0.596342504,-8.830771446,4.605798721,9.411780357,-1.693448424, 
3,4133243786,179.2674255,-38.24133301,170.1110077,7.118699074,0.531929314,-8.941139221,5.4373703,14.47147751,-3.128427744, 
4,4133260453,179.2744751,-38.60547256,170.1731567,7.150596142,0.486657143,-8.913200378,4.778717041,22.32664871,-2.963612318, 
5,4133277120,179.2650452,-39.07036209,170.2233582,7.157361984,0.513450563,-8.620613098,3.364999533,28.36435699,-2.314741373, 
6,4133293787,179.2477875,-39.55442047,170.2626343,7.190777302,0.566274464,-8.318080902,2.504462004,29.50875282,-1.764848351, 
7,4133310454,179.2030334,-40.03673172,170.3012695,7.281077385,0.641458631,-8.255756378,0.854179561,29.40503311,-1.711138129, 
8,4133327121,179.1575775,-40.48960114,170.3502197,7.212051392,0.602434576,-8.018655777,1.229598641,27.64696884,-2.172116518, 
9,4133343788,179.0740967,-40.98690796,170.4198608,7.359800339,0.497651458,-8.244579315,-0.21381551,30.33004951,-3.025343418, 
10,4133360455,179.0121613,-41.58650208,170.4898071,7.033044815,0.391768694,-7.988369942,1.14181304,36.47062683,-2.891559124, 
11,4133377122,178.9795532,-42.24116898,170.5691223,7.13670063,0.3383331,-7.909762383,3.289463997,39.78490067,-3.157256842, 
12,4133393789,178.9254303,-42.97357559,170.6511383,7.009097099,0.427621961,-7.506142616,2.257909536,44.45508194,-3.225301266, 
13,4133410456,178.8184662,-43.65139771,170.7715149,6.486938953,0.584065497,-6.908033848,0.524391174,41.21445847,-4.662999153, 
14,4133427123,178.6551514,-44.18032455,170.9612122,6.376389027,0.567054808,-6.325331688,0.190770552,32.36281586,-7.804181099, 
15,4133443790,178.4499359,-44.54694366,171.2671204,5.999827385,0.616593778,-5.699018478,2.591710567,22.77763939,-12.84036827, 
16,4133460457,178.1544495,-44.9429512,171.5625,5.232042789,0.637702584,-5.626032829,-3.148987293,24.58189774,-12.18152237, 
17,4133477124,177.9747925,-45.39972305,171.7218933,4.262056828,0.537664831,-4.710498333,-1.886726618,28.07973671,-6.116227627, 
18,4133493791,177.806076,-45.58514786,171.7849274,3.870308161,0.630343378,-4.196929932,-5.303163528,11.68095398,-2.54855442, 
19,4133510458,177.5611115,-45.52841187,171.8479919,4.273140907,0.643371642,-4.209742069,-9.873329163,-2.825133085,-3.091543913, 
20,4133527125,177.3043823,-45.29920197,171.8602295,4.597623825,0.68113482,-4.63880682,-12.75557518,-13.24342155,-1.443136573, 
21,4133543792,177.0635376,-44.97375488,171.8019562,5.054143906,0.720998406,-5.085562229,-14.79939461,-19.14983559,1.187977195, 
22,4133560459,176.8634491,-44.64455414,171.705307,5.511435986,0.569889307,-5.381711006,-13.96130371,-19.46330643,2.738867044, 
23,4133577126,176.7091064,-44.27741241,171.5958557,5.93326664,0.35643959,-5.559769154,-11.72563457,-21.77820396,3.115234375, 
24,4133593793,176.52771,-43.73555756,171.5256195,6.51563549,0.22682938,-5.748209,-11.68136024,-32.15211105,0.774371147, 
25,4133610460,176.2267303,-43.12674332,171.5105896,6.176080704,-0.139133304,-5.81469202,-16.54798317,-36.01717758,-1.996521115, 
26,4133627127,175.8017578,-42.56616211,171.6074524,6.128290176,-0.115845278,-5.971099377,-19.423172,-32.77418137,-6.934955597, 
27,4133643794,175.3519745,-42.0382309,171.8469238,6.137935638,0.531558931,-6.629547596,-15.20246315,-30.27833176,-13.38365746, 
28,4133660461,174.9161072,-41.39846039,172.1147919,5.648591995,1.045390129,-7.253821373,-13.34321117,-36.74041367,-15.56344891, 
29,4133677128,174.4442902,-40.53524017,172.3073578,5.788433075,1.049895287,-7.081913948,-18.62054825,-50.26603317,-13.85035896, 
30,4133693795,173.8778687,-39.48130035,172.4303741,6.2380023,1.091207266,-6.840039253,-27.12539673,-61.83055496,-12.4298172, 
31,4133710462,173.2980499,-38.30582047,172.523819,6.620168209,1.132625699,-7.126335621,-29.15517807,-69.09356689,-12.59914112, 
32,4133727129,172.8669281,-37.12096405,172.5853271,6.594936371,1.007245421,-7.385911465,-21.50168419,-69.71018982,-11.85363197, 
33,4133743796,172.6651917,-35.96030426,172.5914307,6.314657211,0.863747001,-7.460126877,-9.782183647,-68.53659821,-9.468640327, 
34,4133760463,172.5765533,-34.75727463,172.5280609,6.09398365,1.147466421,-7.379983425,-5.422986507,-71.46748352,-6.614024639, 
35,4133777130,172.4566498,-33.5306778,172.405777,6.197284698,1.452935934,-7.304414749,-9.223937988,-73.24588013,-3.990150928, 
