PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,4133127117,179.1860352,31.33285141,-108.3231049,0,0,0,0,0,0
1,4133143784,179.0386963,31.51769066,-108.3969727,-5.425541878,0.231232688,-8.60036087,-5.951415539,-11.40995884,5.245419979
2,4133160451,178.8518524,31.75285721,-108.4879532,-5.36114645,0.078732625,-8.757007599,-7.768461704,-14.45365238,6.022435188
3,4133177118,178.6134949,32.0561142,-108.6205368,-5.937229633,0.064435221,-8.580406189,-9.517586708,-18.59971237,7.984683514
4,4133193785,178.3208771,32.40162659,-108.7713928,-5.852946758,0.253493637,-8.568616867,-12.15255737,-21.18659973,8.735744476
5,4133210452,178.013092,32.80578613,-108.954071,-5.513272285,0.915877938,-8.54149437,-11.98388004,-24.78895187,10.08850288
6,4133227119,177.6641083,33.23457336,-109.1748505,-5.340393066,1.171670556,-8.55152607,-13.1403389,-26.38357162,11.76441383
7,4133243786,177.3243561,33.70682526,-109.4215088,-5.250097752,0.915122628,-8.267572403,-11.63890076,-29.10395241,12.72762871
8,4133260453,176.9830475,34.19668198,-109.6433258,-5.081689358,0.288309872,-8.122048378,-12.46062469,-30.16122818,11.19934082
9,4133277120,176.6790619,34.69612503,-109.8139954,-4.810422897,0.138246909,-8.227593422,-11.86173153,-30.64654732,8.406443596
10,4133293787,176.3934021,35.20014572,-109.9185944,-4.890229702,0.185188785,-8.329137802,-12.96009827,-30.75918007,4.939646721
11,4133310454,176.1328278,35.7276268,-109.9657288,-5.469730854,0.34851563,-8.268261909,-13.41196156,-31.9968586,1.868659496
12,4133327121,175.8979034,36.28630829,-109.9782562,-5.930007935,0.455589324,-8.108064651,-13.07212925,-33.74950027,-0.089875378
13,4133343788,175.6694641,36.89469528,-109.9968796,-6.144267559,0.555784523,-7.830292702,-12.45851135,-36.7375412,-0.154349342
14,4133360455,175.4379578,37.52273941,-110.0169601,-6.099844933,0.624596953,-7.912467003,-12.58062649,-37.90917969,-0.330219954
15,4133377122,175.1703339,38.26309586,-110.0257187,-6.210754395,0.94875437,-7.84563303,-15.1540575,-44.57089615,-1.591335893
16,4133393789,174.8752441,39.07544327,-110.0405655,-6.232506752,1.025028229,-7.793268204,-16.56753159,-48.88206863,-1.903137088
17,4133410456,174.3942871,40.1953392,-110.0057678,-7.041889668,1.038825512,-7.080630779,-29.60666084,-67.01283264,-6.252761364
18,4133427123,173.9787903,41.32482529,-109.9917145,-5.780597687,0.968303502,-7.907194614,-24.89689445,-67.61486053,-5.869073391
19,4133443790,173.7243347,42.34716797,-110.0326385,-5.740329742,1.011381626,-7.713916302,-13.04553604,-61.44736862,-3.123166323
20,4133460457,173.5391388,43.38863754,-110.0841827,-6.14540863,0.82879734,-7.415924072,-8.422387123,-62.62207031,-3.048908234
21,4133477124,173.4217987,44.40819168,-110.1326981,-6.550773144,0.51498878,-6.970705986,-4.438400269,-61.28474808,-3.233883142
22,4133493791,173.4110413,45.39822388,-110.1598816,-6.273670197,0.459431499,-7.082664967,1.087349534,-59.41268158,-4.036848545
23,4133510458,173.5255127,46.26391983,-110.1690445,-5.923573494,0.461144358,-6.997092724,7.843196869,-51.92019272,-3.898758173
24,4133527125,173.720993,47.07226944,-110.1062241,-6.457299709,0.367291272,-6.824373245,9.567463875,-48.19044876,-6.327460766
25,4133543792,173.9888306,47.81091309,-109.9629974,-6.672934532,0.205714077,-6.283979416,10.31743336,-43.72107697,-8.893593788
26,4133560459,174.3406982,48.47795486,-109.6989899,-7.352930069,0.133207768,-6.098104,9.888933182,-39.02054596,-12.95377445
27,4133577126,174.7246399,49.14458466,-109.3192291,-7.8504529,0.289598227,-5.974799156,6.461357117,-38.66492844,-17.11563683
28,4133593793,175.1414948,49.7762413,-108.8424911,-8.355163574,0.070605896,-5.692261219,3.843964815,-36.38477325,-20.23447227
29,4133610460,175.5974426,50.41574097,-108.2845001,-8.110513687,0.271625787,-6.261888504,2.246133566,-36.78070068,-22.8701725
30,4133627127,176.0373535,51.05653763,-107.7353973,-7.798297405,0.731032133,-6.239873886,1.453004956,-37.09367371,-21.96639252
31,4133643794,176.4516754,51.70490265,-107.247963,-7.646029472,0.655380487,-6.066561699,2.577447891,-37.88962936,-19.13002205
32,4133660461,176.8923187,52.36562347,-106.7970886,-7.453104973,-0.306236506,-5.912742615,5.681010246,-38.87815857,-17.28148079
33,4133677128,177.4259491,53.07824326,-106.3034134,-7.685183048,-1.007136106,-5.894537926,9.01541996,-42.08398056,-18.40347481
34,4133693795,177.9737396,53.83013153,-105.8134308,-8.099919319,-0.061467003,-5.983105183,9.810092926,-44.64167404,-17.66440201
35,4133710462,178.4377899,54.58604431,-105.3274078,-8.470726967,0.041675285,-5.271682262,4.75002861,-45.06450653,-16.82628822
36,4133727129,178.927597,55.33817291,-104.8667526,-8.229561806,0.007556142,-5.426281929,7.320150375,-45.01682281,-15.26156616
37,4133743796,179.4684601,56.09147263,-104.4424286,-8.29024601,0.421070635,-5.583668709,11.97516823,-45.25632095,-13.33369637
38,4133760463,179.9723358,56.82553101,-104.0720444,-8.501004219,0.554505289,-5.034715652,12.26858521,-44.24736786,-10.8570776
39,4133777130,-179.5045319,57.50179291,-103.7040329,-8.332777977,-0.171341404,-4.990277767,13.39902878,-40.88480377,-10.17063618
40,4133793797,-178.9170532,58.17113876,-103.3312073,-8.241566658,0.089925736,-5.354896069,16.87243462,-40.57998657,-9.717162132
41,4133810464,-178.4871979,58.85942078,-103.0677185,-8.714598656,1.738448143,-5.676790237,12.87144184,-41.73477936,-5.682811737
42,4133827131,-178.2725372,59.48311234,-102.9392548,-9.524276733,1.110197425,-4.827656269,6.827151299,-37.77910995,-1.261579037
43,4133843798,-178.1216278,60.04141998,-102.9135513,-10.38598728,-0.282414377,-4.289298058,8.293638229,-33.76332855,1.904139161
44,4133860465,-177.9671326,60.57886124,-102.937355,-9.566000938,-0.776173353,-4.268203735,11.07879925,-32.45601654,3.433108091
45,4133877132,-177.8248596,61.10534668,-102.97995,-8.405770302,-0.489376962,-4.875343323,11.33491421,-31.76722336,4.032908916
46,4133893799,-177.7510681,61.62537003,-103.0644226,-8.027350426,-0.46632272,-4.945449352,9.440391541,-31.33441162,5.258307934
47,4133910466,-177.7171326,62.13450623,-103.1558456,-8.837906837,-0.659967721,-4.397587776,7.440336704,-30.67200279,5.421664715
48,4133927133,-177.6895599,62.61839676,-103.290062,-9.437631607,-0.066391878,-4.105672359,9.352279663,-29.10914612,6.525471687
49,4133943800,-177.6860657,63.05729675,-103.4866333,-9.436717033,0.516319156,-4.377319336,11.26648808,-26.33980942,8.074608803
50,4133960467,-177.7411499,63.47351456,-103.7334595,-9.151151657,0.66925317,-4.514120579,10.48608685,-24.93292618,9.280288696
51,4133977134,-177.8488617,63.86577225,-104.0060806,-9.393766403,0.521309555,-4.330405712,8.76292038,-23.48258972,9.780080795
52,4133993801,-178.0068817,64.17386627,-104.3277206,-9.140679359,0.110205166,-4.080203533,8.437697411,-18.41253662,10.73998833
53,4134010468,-178.091095,64.34397888,-104.6390152,-9.283551216,0.186597675,-4.086728096,12.34037876,-10.16644096,10.07630348
54,4134027135,-178.030304,64.41120148,-104.8911591,-9.026147842,0.409280807,-4.161415577,17.85700798,-4.051518917,8.295580864
55,4134043802,-177.8894958,64.46318817,-105.1138153,-9.495221138,0.362430185,-4.273360729,21.07006073,-3.151597023,7.491247177
56,4134060469,-177.676712,64.55337524,-105.3260269,-9.18449688,0.048990257,-4.668375015,24.83276367,-5.433536053,7.303479671
57,4134077136,-177.391922,64.68275452,-105.5336609,-9.162508965,0.481474191,-4.73005867,28.91449928,-7.767282009,7.285063744
58,4134093803,-177.1058197,64.86006927,-105.6822052,-9.142949104,0.115669847,-4.360104084,25.80490494,-10.68693542,5.92067337
59,4134110470,-176.7550964,65.10234833,-105.7314453,-9.358268738,-0.314125538,-4.447521687,24.29831696,-14.69089222,3.639114618
60,4134127137,-176.3023987,65.49320984,-105.6562347,-9.364557266,0.001483379,-4.449637413,23.64048767,-23.76478958,1.153446794
