PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,4133227119,-43.23249817,48.38969803,-77.44992065,0,0,0,0,0,0
1,4133243786,-43.68498993,48.38088989,-77.71245575,-7.527237892,-5.335380077,4.259879112,-13.65185738,6.424785614,-7.29007864
2,4133260453,-44.12453079,48.38422775,-77.96179199,-7.479129314,-5.158941269,4.25502491,-13.45329189,6.654504776,-6.357800961
3,4133277120,-44.56040573,48.39413071,-78.18297577,-7.624052048,-4.750298977,4.369979382,-14.48971176,6.207307339,-5.224680901
4,4133293787,-45.03551483,48.4283638,-78.37050629,-7.646501064,-4.428682804,4.145419598,-18.34780502,6.344107628,-3.192928076
5,4133310454,-45.56328201,48.48699188,-78.51963806,-7.723090649,-4.578985214,3.936053753,-23.22326469,6.319049358,-1.01201725
6,4133327121,-46.10795593,48.53749084,-78.65197754,-7.925802231,-5.012860775,4.119586945,-24.9866581,5.510648251,-0.833304644
7,4133343788,-46.63031387,48.55973434,-78.75569153,-8.092550278,-5.233763218,4.02288866,-24.90869331,3.541590929,-1.225243688
8,4133360455,-47.17538452,48.56459045,-78.85586548,-8.135428429,-5.360339165,3.947971821,-26.4270134,2.743882418,-1.857456923
9,4133377122,-47.78781891,48.58460617,-79.01369476,-7.890770435,-5.431217194,3.544643164,-27.89678764,5.053745747,-2.685992479
10,4133393789,-48.48213577,48.62353134,-79.27798462,-7.539646626,-5.515573025,3.206932306,-27.97948837,9.01261425,-4.61085844
11,4133410456,-49.18777084,48.66978073,-79.64939117,-7.153380394,-5.732316971,2.92890501,-23.81926918,12.5567503,-6.954244614
12,4133427123,-49.87802887,48.71233749,-80.09524536,-6.925348282,-5.641591072,2.9257195,-19.4998455,14.75425529,-8.87843895
13,4133443790,-50.60572052,48.76221085,-80.62184906,-6.697760582,-5.739996433,2.912591457,-18.07782936,17.59937668,-10.38174343
14,4133460457,-51.36686707,48.83796692,-81.21935272,-6.426445007,-5.719018936,2.559474468,-16.84860039,20.88438606,-10.68712711
15,4133477124,-52.14404297,48.93039322,-81.88646698,-6.239832401,-5.602936268,2.17748785,-14.60643673,23.79091644,-11.29247665
16,4133493791,-52.88223648,49.03043747,-82.58653259,-6.117120266,-5.106492996,1.973813057,-10.71415043,25.22375679,-11.36699581
