PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,4133193785,302.16022,39.422455,264.3782,-4.2741785,1.4906337,-5.2477455,-2.9091897,9.228467,-0.49889088,0.0,0.0,0.0,0.0,0.0,0.0
1,4133210452,302.16763,39.247982,264.38663,-3.9753795,1.4996903,-5.531232,-3.0297081,11.891441,-0.40812755,-0.066256,0.024995,-0.092187,-0.050495,0.198191,-0.006802
2,4133227119,302.17548,39.063698,264.39484,-3.6516995,1.5098976,-5.8393126,-3.1609476,14.702675,-0.29956603,-0.127118,0.05016,-0.189509,-0.103177,0.443236,-0.011795
3,4133243786,302.18365,38.872242,264.40265,-3.3075147,1.5210953,-6.167653,-3.3019412,17.6218,-0.17302692,-0.182243,0.075512,-0.292303,-0.158209,0.736933,-0.014679
4,4133260453,302.19434,38.619675,264.4143,-2.8524728,1.5363338,-6.605276,-3.4736552,21.48024,-0.027352333,-0.229784,0.101118,-0.402391,-0.216103,1.094937,-0.015135
5,4133277120,302.20703,38.317646,264.42883,-2.3050256,1.5550411,-7.1341,-3.6720362,26.098314,0.13877237,-0.268201,0.127035,-0.521293,-0.277304,1.529909,-0.012822
6,4133293787,302.19366,37.9578,264.47247,-2.003127,1.5719793,-7.3934603,-3.8820922,29.367208,0.030318141,-0.301586,0.153235,-0.644517,-0.342006,2.019362,-0.012317
7,4133310454,302.15155,37.530926,264.54852,-1.9669266,1.5871317,-7.360713,-4.10581,31.198935,-0.3819995,-0.334368,0.179687,-0.767196,-0.410436,2.539344,-0.018684
8,4133327121,302.0937,37.04709,264.6441,-2.0476303,1.6026928,-7.19551,-4.3483377,32.4835,-0.9585893,-0.368495,0.206399,-0.887121,-0.482908,3.080736,-0.03466
9,4133343788,302.01202,36.500267,264.76712,-2.3371382,1.6173824,-6.799288,-4.606943,32.66203,-1.784549,-0.407447,0.233355,-1.000442,-0.55969,3.625103,-0.064402
10,4133360455,301.92328,35.879,264.90384,-2.614377,1.6351497,-6.405736,-4.896778,33.19124,-2.6898246,-0.45102,0.260607,-1.107204,-0.641303,4.17829,-0.109232
11,4133377122,301.82812,35.181076,265.0539,-2.8681626,1.6562867,-6.026472,-5.2193804,34.14813,-3.6676052,-0.498823,0.288212,-1.207645,-0.728293,4.747425,-0.170359
12,4133393789,301.71085,34.404667,265.23145,-3.289474,1.6777924,-5.4580784,-5.565648,34.323185,-4.880271,-0.553648,0.316175,-1.298613,-0.821054,5.319478,-0.251697
13,4133410456,301.57446,33.54481,265.43433,-3.8337536,1.7005742,-4.7473125,-5.939648,34.019073,-6.2968254,-0.617544,0.344518,-1.377735,-0.920048,5.886463,-0.356644
14,4133427123,301.43738,32.91755,265.58472,-4.178674,1.707181,-4.2697363,-6.6082892,32.52967,-6.9971104,-0.687189,0.372971,-1.448897,-1.030186,6.428624,-0.473263
15,4133443790,301.2988,32.551964,265.67737,-4.3187475,1.695505,-4.0341063,-7.59888,29.618896,-6.914007,-0.759168,0.401229,-1.516132,-1.156834,6.922272,-0.588496
16,4133460457,301.1516,32.294033,265.74792,-4.378552,1.6743706,-3.891803,-8.790314,25.806448,-6.463784,-0.832144,0.429135,-1.580995,-1.303339,7.352379,-0.696226
17,4133477124,300.9999,32.232983,265.77512,-4.275241,1.6386265,-3.940107,-10.260819,20.826866,-5.391263,-0.903398,0.456445,-1.646663,-1.474353,7.699493,-0.78608
18,4133493791,300.82834,32.183372,265.80835,-4.247855,1.5975742,-3.9054253,-11.856691,14.752111,-4.274441,-0.974196,0.483071,-1.711753,-1.671965,7.945362,-0.857321
19,4133510458,300.63562,32.1351,265.8504,-4.308473,1.5516137,-3.7737596,-13.57398,7.573224,-3.1410491,-1.046004,0.508931,-1.774649,-1.898198,8.071582,-0.909672
20,4133527125,300.4325,32.260384,265.85785,-4.267375,1.4913691,-3.7646682,-15.56182,-1.017236,-1.4758928,-1.117127,0.533787,-1.837393,-2.157562,8.054628,-0.93427
21,4133543792,300.2152,32.523254,265.8407,-4.175217,1.4184778,-3.8204353,-17.793755,-11.048034,0.60771525,-1.186714,0.557428,-1.901067,-2.454125,7.870494,-0.924141
22,4133560459,299.95563,32.803013,265.87073,-4.1119556,1.3880591,-3.875849,-19.58274,-19.216864,1.5276092,-1.255247,0.580562,-1.965664,-2.780504,7.550213,-0.898681
23,4133577126,299.6517,33.114628,265.94894,-4.062007,1.4041066,-3.9522722,-20.88466,-25.286945,1.199666,-1.322947,0.603964,-2.031535,-3.128582,7.128764,-0.878687
24,4133593793,299.31354,33.495747,266.04764,-4.0213733,1.4414827,-4.042592,-22.010674,-30.879408,0.30135345,-1.38997,0.627989,-2.098912,-3.495427,6.614107,-0.873664
25,4133610460,298.93292,33.92325,266.18512,-4.005533,1.5154266,-4.1372986,-22.773554,-35.100323,-1.5949562,-1.456729,0.653246,-2.167867,-3.874986,6.029102,-0.900247
26,4133627127,298.52808,34.517464,266.30804,-3.9182181,1.5913568,-4.3325977,-23.616198,-39.99353,-3.4317582,-1.522033,0.679769,-2.240077,-4.268589,5.362543,-0.957443
27,4133643794,298.09888,35.288853,266.4136,-3.7565088,1.6675315,-4.6319523,-24.562735,-45.703766,-5.157772,-1.584641,0.707561,-2.317276,-4.677968,4.600814,-1.043406
28,4133660461,297.62857,36.16286,266.544,-3.5795727,1.7747065,-4.982546,-25.22813,-50.439915,-7.675434,-1.644301,0.737139,-2.400318,-5.098437,3.760149,-1.17133
29,4133677128,297.12012,37.170513,266.6878,-3.36552,1.9060471,-5.4074907,-25.702236,-54.632828,-10.771177,-1.700393,0.768906,-2.490443,-5.526808,2.849602,-1.35085
30,4133693795,296.69348,38.170307,266.77374,-3.230247,2.0085583,-5.7180405,-25.826641,-58.45162,-12.41556,-1.75423,0.802382,-2.585744,-5.957252,1.875408,-1.557776
31,4133710462,296.35815,39.144917,266.7996,-3.1896744,2.081441,-5.893278,-25.529295,-61.663235,-12.528873,-1.807391,0.837073,-2.683965,-6.38274,0.847687,-1.766591
32,4133727129,296.0589,40.18733,266.7912,-3.1724377,2.1456656,-6.041007,-24.93714,-64.455444,-11.933307,-1.860265,0.872834,-2.784648,-6.798359,-0.22657,-1.965479
33,4133743796,295.82928,41.258923,266.72937,-3.2118,2.187743,-6.108467,-23.981817,-66.78194,-10.088467,-1.913795,0.909296,-2.886456,-7.198056,-1.339602,-2.13362
34,4133760463,295.5946,42.429928,266.66608,-3.254775,2.2469964,-6.1940603,-22.644836,-68.06559,-8.413122,-1.968041,0.946746,-2.98969,-7.57547,-2.474028,-2.273839
35,4133777130,295.3512,43.710842,266.60294,-3.295578,2.3256297,-6.307122,-20.917622,-68.26257,-6.972254,-2.022967,0.985506,-3.094809,-7.924097,-3.611738,-2.390043
36,4133793797,295.16626,45.03466,266.49707,-3.3898535,2.3926797,-6.352743,-18.73524,-67.572685,-4.5871477,-2.079465,1.025384,-3.200688,-8.236351,-4.737949,-2.466495
37,4133810464,295.0251,46.41841,266.35864,-3.5266852,2.456635,-6.351674,-16.077778,-65.82735,-1.5469804,-2.138243,1.066328,-3.306549,-8.504314,-5.835071,-2.492278
38,4133827131,294.88318,47.646904,266.20605,-3.631834,2.5147364,-6.4033527,-14.280583,-64.1212,0.4794324,-2.198774,1.10824,-3.413272,-8.742324,-6.903758,-2.484287
39,4133843798,294.74634,48.689392,266.03506,-3.706787,2.5629501,-6.5036354,-13.451122,-62.524857,1.4833081,-2.260554,1.150956,-3.521666,-8.966509,-7.945839,-2.459565
40,4133860465,294.6274,49.65841,265.84302,-3.780529,2.6083088,-6.618127,-12.931838,-60.354332,2.0683057,-2.323563,1.194428,-3.631968,-9.18204,-8.951745,-2.425093
41,4133877132,294.51788,50.488388,265.63278,-3.8355503,2.6488519,-6.7697935,-13.090302,-57.879032,1.8097539,-2.387489,1.238576,-3.744798,-9.400212,-9.916396,-2.39493
42,4133893799,294.4632,51.28817,265.3811,-3.929628,2.6781716,-6.8763466,-13.118834,-54.44942,1.9952682,-2.452983,1.283212,-3.859404,-9.618859,-10.823886,-2.361676
43,4133910466,294.46698,52.061752,265.08627,-4.066927,2.6962786,-6.9325705,-12.964278,-49.963535,2.684245,-2.520765,1.32815,-3.974947,-9.83493,-11.656612,-2.316939
44,4133927133,294.50116,52.693523,264.7614,-4.204826,2.704166,-6.997506,-13.35099,-44.94929,2.8737812,-2.590845,1.373219,-4.091572,-10.057447,-12.405767,-2.269043
45,4133943800,294.5773,53.201393,264.40045,-4.3567247,2.7000532,-7.05221,-14.113376,-39.232918,2.8364668,-2.663457,1.41822,-4.209109,-10.29267,-13.059649,-2.221769
46,4133960467,294.64047,53.6766,264.1598,-4.4556003,2.7332149,-7.190443,-14.646922,-33.28166,2.7673492,-2.737717,1.463774,-4.32895,-10.536785,-13.614343,-2.175647
47,4133977134,294.6839,54.106483,264.0557,-4.4904227,2.807987,-7.4273834,-14.99587,-27.188005,2.563154,-2.812557,1.510574,-4.45274,-10.786716,-14.067476,-2.132928
