PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,4133127117,239.06372,-45.5784,-114.7106,6.3814335,0.47356355,-4.8360214,-1.1404247,-11.109874,5.7954617,0.0,0.0,0.0,0.0,0.0,0.0
1,4133143784,238.90125,-45.386658,-114.82388,6.2653704,0.5153595,-5.0869374,-1.6483016,-12.669163,6.628065,0.104423,0.008589,-0.084782,-0.027472,-0.211153,0.110468
2,4133160451,238.72957,-45.184204,-114.944214,6.1413965,0.5598414,-5.360497,-2.168795,-14.301017,7.5071416,0.20678,0.01792,-0.174124,-0.063619,-0.449503,0.235587
3,4133177118,238.55116,-44.97393,-115.06995,6.011788,0.6063328,-5.6527386,-2.69095,-15.978013,8.419593,0.306976,0.028026,-0.268336,-0.108468,-0.715803,0.375914
4,4133193785,238.31593,-44.69653,-115.23427,5.831462,0.6680129,-6.044063,-3.427228,-18.247383,9.631255,0.404167,0.03916,-0.36907,-0.165588,-1.019926,0.536435
5,4133210452,238.03473,-44.364815,-115.43005,5.6099367,0.7420882,-6.5182457,-4.329858,-20.989237,11.084744,0.497666,0.051528,-0.477707,-0.237752,-1.369747,0.721181
6,4133227119,237.80942,-44.01097,-115.58154,5.4393477,0.802881,-6.816242,-5.2574177,-23.54994,11.666475,0.588322,0.064909,-0.591311,-0.325376,-1.762246,0.915622
7,4133243786,237.64276,-43.629112,-115.68608,5.322054,0.84982395,-6.9245214,-6.2272434,-25.946196,11.303122,0.677023,0.079073,-0.70672,-0.429163,-2.194683,1.104007
8,4133260453,237.4928,-43.211002,-115.775406,5.21994,0.8934579,-6.956214,-7.27876,-28.418541,10.484632,0.764022,0.093964,-0.822657,-0.550476,-2.668325,1.278751
9,4133277120,237.38588,-42.762062,-115.8297,5.156733,0.927207,-6.841777,-8.384012,-30.812246,8.904352,0.849968,0.109417,-0.936687,-0.69021,-3.181862,1.427157
10,4133293787,237.24869,-42.246033,-115.90233,5.0660996,0.96973157,-6.754138,-9.686535,-33.66461,7.2792916,0.934403,0.125579,-1.049256,-0.851652,-3.742939,1.548479
11,4133310454,237.07706,-41.659702,-115.99628,4.944154,1.022135,-6.702569,-11.19702,-37.011,5.6425295,1.016806,0.142615,-1.160965,-1.038269,-4.359789,1.642521
12,4133327121,236.92992,-41.023922,-116.06796,4.844039,1.0695721,-6.5403137,-12.825289,-40.460762,3.3644013,1.09754,0.160441,-1.26997,-1.252024,-5.034135,1.698594
13,4133343788,236.79155,-40.32908,-116.12863,4.751479,1.11608,-6.3029037,-14.607168,-44.137558,0.5861445,1.176731,0.179042,-1.375018,-1.495477,-5.769761,1.708363
14,4133360455,236.22774,-39.588108,-116.19693,4.662341,1.1456368,-6.139064,-15.200747,-47.10349,-1.3204948,1.254437,0.198136,-1.477336,-1.748823,-6.554819,1.686355
15,4133377122,235.20117,-38.802567,-116.26912,4.5827994,1.1547787,-6.0435925,-14.463507,-49.224483,-2.3090153,1.330817,0.217382,-1.578063,-1.989881,-7.375227,1.647871
16,4133393789,233.90439,-37.957764,-116.343765,4.5052414,1.15372,-5.9686146,-13.052845,-51.03172,-2.9417672,1.405904,0.236611,-1.67754,-2.207428,-8.225756,1.598842
17,4133410456,232.21333,-37.056267,-116.42436,4.4305897,1.1372238,-5.9496202,-10.580074,-52.245773,-2.8585181,1.479747,0.255565,-1.7767,-2.383763,-9.096519,1.5512
18,4133427123,230.39194,-36.09302,-116.48857,4.3749876,1.1106423,-5.860615,-7.7978354,-53.31547,-3.0294147,1.552663,0.274076,-1.874377,-2.513727,-9.98511,1.50071
19,4133443790,228.44894,-35.064934,-116.53549,4.3387713,1.0742476,-5.6951904,-4.7399187,-54.2706,-3.5045953,1.624976,0.29198,-1.969297,-2.592726,-10.88962,1.4423
20,4133460457,226.13957,-33.97549,-116.57863,4.315528,1.0203553,-5.5450115,-0.6770468,-54.632355,-3.4901648,1.696901,0.308986,-2.061714,-2.60401,-11.800159,1.384131
21,4133477124,223.512,-32.822002,-116.61273,4.3093624,0.9495915,-5.3821177,4.2531614,-54.48159,-3.1887841,1.768724,0.324813,-2.151416,-2.533124,-12.708186,1.330985
22,4133493791,223.65105,-31.803905,-116.56743,4.2526493,0.88669205,-5.2336874,7.5793343,-54.117958,-3.661478,1.839601,0.339591,-2.238644,-2.406802,-13.610152,1.26996
23,4133510458,226.83337,-30.941025,-116.43625,4.1389832,0.8324152,-5.1120124,9.171781,-53.485382,-4.912476,1.908584,0.353465,-2.323844,-2.253939,-14.501575,1.188085
24,4133527125,231.63933,-30.136967,-116.24785,4.0038176,0.7748851,-4.984185,10.124798,-52.474316,-6.5748215,1.975314,0.36638,-2.406914,-2.085192,-15.376147,1.078505
25,4133543792,238.94882,-29.448986,-115.98143,3.828349,0.7202848,-4.8601727,9.776924,-51.129337,-8.920342,2.03912,0.378385,-2.487917,-1.922243,-16.228303,0.929833
26,4133560459,246.91907,-28.76117,-115.680115,3.6506891,0.6515783,-4.7467637,9.772372,-49.12805,-11.125793,2.099965,0.389245,-2.56703,-1.75937,-17.047104,0.744403
27,4133577126,255.47636,-28.068108,-115.34421,3.4736924,0.5672393,-4.641667,10.204372,-46.429356,-13.158647,2.15786,0.398699,-2.644391,-1.589297,-17.820927,0.525092
28,4133593793,266.33765,-27.4794,-114.932755,3.261897,0.48075426,-4.550749,9.6796665,-43.208923,-15.66288,2.212225,0.406712,-2.720237,-1.427969,-18.541076,0.264044
29,4133610460,279.16077,-26.97335,-114.45285,3.023116,0.38814288,-4.4756722,8.539178,-39.37293,-18.467617,2.26261,0.413181,-2.794832,-1.285649,-19.197291,-0.04375
30,4133627127,280.99545,-26.35986,-114.00162,2.8335443,0.33260438,-4.385709,8.338917,-36.945675,-20.121334,2.309836,0.418724,-2.867927,-1.146667,-19.813052,-0.379106
31,4133643794,270.7922,-25.637512,-113.58165,2.6956568,0.32003105,-4.2801876,9.0466385,-36.129456,-20.556454,2.354764,0.424058,-2.939263,-0.99589,-20.41521,-0.721714
32,4133660461,254.44116,-24.884754,-113.14992,2.5783043,0.3273016,-4.1757584,10.145565,-35.88813,-20.340944,2.397736,0.429513,-3.008859,-0.826797,-21.013346,-1.06073
33,4133677128,228.29868,-24.054512,-112.73108,2.501439,0.36734113,-4.0652027,12.016623,-36.794384,-19.079361,2.439427,0.435635,-3.076612,-0.62652,-21.626586,-1.378719
34,4133693795,200.31084,-23.289394,-112.25537,2.4115992,0.4184106,-3.9680114,13.386281,-37.69463,-17.779613,2.47962,0.442609,-3.142746,-0.403415,-22.25483,-1.675046
35,4133710462,170.82281,-22.599205,-111.7177,2.3060331,0.47942406,-3.8867154,14.194149,-38.515186,-16.476242,2.518054,0.450599,-3.207525,-0.166846,-22.89675,-1.94965
36,4133727129,132.5972,-21.874306,-111.1732,2.228568,0.5731336,-3.8061867,15.3912,-40.340508,-14.314428,2.555197,0.460151,-3.270961,0.089674,-23.569092,-2.188224
37,4133743796,87.14899,-21.146885,-110.6062,2.1680555,0.69575334,-3.73145,16.700874,-42.94269,-11.490649,2.591331,0.471747,-3.333152,0.368022,-24.284804,-2.379735
38,4133760463,50.663383,-20.445786,-110.15163,2.095498,0.7559731,-3.6457462,17.419708,-44.144127,-9.2112,2.626256,0.484347,-3.393914,0.65835,-25.020539,-2.533255
39,4133777130,23.6545,-19.762005,-109.829636,2.013732,0.74857223,-3.546084,17.581749,-43.89176,-7.473905,2.659818,0.496823,-3.453015,0.951379,-25.752068,-2.65782
40,4133793797,-0.6669731,-19.105175,-109.56615,1.9292326,0.71490455,-3.4443789,17.32272,-43.08203,-5.825401,2.691972,0.508738,-3.510421,1.240091,-26.470102,-2.75491
41,4133810464,-18.093174,-18.480743,-109.40213,1.8356371,0.63044095,-3.3356776,16.465801,-41.15514,-4.56547,2.722566,0.519245,-3.566016,1.514521,-27.156021,-2.831001
42,4133827131,-40.09004,-17.846214,-109.27365,1.7614937,0.5548347,-3.2270355,15.655687,-39.672897,-2.748002,2.751924,0.528492,-3.6198,1.775449,-27.817236,-2.876801
43,4133843798,-67.32024,-17.202618,-109.17761,1.7080603,0.49160552,-3.1195598,14.89756,-38.72601,-0.3192128,2.780392,0.536685,-3.671793,2.023742,-28.462669,-2.882121
44,4133860465,-90.48427,-16.57568,-109.18411,1.656168,0.38973567,-3.0054216,13.71391,-37.062183,2.0009484,2.807995,0.543181,-3.721883,2.252307,-29.080372,-2.848772
45,4133877132,-112.02815,-15.9569435,-109.282486,1.6122847,0.26159957,-2.8862004,12.231395,-35.01695,4.4208665,2.834866,0.547541,-3.769986,2.456164,-29.663988,-2.775091
46,4133893799,-129.12659,-15.41774,-109.367966,1.5694532,0.19409057,-2.797308,11.714568,-32.776318,6.415145,2.861024,0.550776,-3.816608,2.651407,-30.21026,-2.668172
47,4133910466,-140.30359,-14.967842,-109.44322,1.5253239,0.18904969,-2.7411437,12.232017,-30.203415,7.848911,2.886446,0.553927,-3.862294,2.855274,-30.71365,-2.537357
48,4133927133,-148.48672,-14.5681,-109.55438,1.4880629,0.21346627,-2.7020621,13.271018,-27.434988,9.114293,2.911247,0.557485,-3.907328,3.076458,-31.1709,-2.385452
49,4133943800,-152.45488,-14.239693,-109.67784,1.4555149,0.28995574,-2.6898365,15.178743,-24.474688,10.036821,2.935506,0.562318,-3.952159,3.329437,-31.578811,-2.218172
