PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,4133143784,-252.35611,-12.718338,-25.8794,3.7316122,-3.470924,-2.5595853,-0.26969814,-7.3304634,4.647894,0.0,0.0,0.0,0.0,0.0,0.0
1,4133160451,-249.99725,-12.625462,-25.992897,3.5951734,-3.4601588,-2.7330554,-0.012867928,-7.909651,5.4925604,0.05992,-0.057669,-0.045551,-0.000214,-0.131828,0.091543
2,4133177118,-247.41031,-12.527718,-26.112541,3.4381833,-3.448368,-2.9231794,0.28273916,-8.496519,6.392743,0.117223,-0.115142,-0.094271,0.004498,-0.273437,0.198089
3,4133193785,-244.61252,-12.426529,-26.236588,3.2623057,-3.435349,-3.127384,0.61690664,-9.078976,7.3362637,0.171595,-0.172398,-0.146394,0.01478,-0.424753,0.32036
4,4133210452,-241.16476,-12.292679,-26.400637,3.0324636,-3.423116,-3.3985083,1.0028298,-9.896581,8.576751,0.222136,-0.22945,-0.203036,0.031494,-0.589696,0.463306
5,4133227119,-237.15045,-12.132534,-26.596977,2.7545543,-3.4112027,-3.7260473,1.4406924,-10.894536,10.060487,0.268045,-0.286303,-0.265137,0.055506,-0.771272,0.630981
6,4133243786,-237.07849,-11.969067,-26.82267,2.591074,-3.4477494,-3.9299238,1.5266292,-11.767832,11.043151,0.31123,-0.343765,-0.330636,0.08095,-0.967403,0.815034
7,4133260453,-241.33807,-11.800156,-27.082932,2.552342,-3.538002,-4.000325,1.2228692,-12.520515,11.488132,0.353769,-0.402732,-0.397308,0.101331,-1.176078,1.006503
8,4133277120,-247.85837,-11.618443,-27.37501,2.564517,-3.659173,-4.016382,0.720201,-13.264051,11.715423,0.396511,-0.463718,-0.464248,0.113334,-1.397146,1.20176
9,4133293787,-257.91776,-11.428692,-27.700417,2.671773,-3.8254015,-3.9296072,-0.09664869,-13.924072,11.525647,0.441041,-0.527475,-0.529741,0.111723,-1.629214,1.393854
10,4133310454,-268.79623,-11.208988,-28.071531,2.7697372,-4.0096703,-3.859371,-0.9908948,-14.745395,11.4216,0.487203,-0.594303,-0.594064,0.095208,-1.874971,1.584214
