PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Velo_X,Velo_Y,Velo_Z,ANG_X,ANG_Y,ANG_Z
0,4133177118,0.553566,-5.451893,-80.035805,-1.2697873,-0.18981647,0.3576588,2.2476392,-17.83591,-17.834349,0.0,0.0,0.0,0.0,0.0,0.0
1,4133193785,0.5430603,-5.7989693,-79.67665,-0.8462448,-0.1619153,0.30833226,7.2709217,-19.15554,-19.096806,-0.014104,-0.002699,0.005139,0.121182,-0.319259,-0.31828
2,4133210452,0.5351944,-6.165394,-79.299286,-0.3863039,-0.13539076,0.25610775,12.465227,-20.54108,-20.439932,-0.020542,-0.004956,0.009407,0.328936,-0.66161,-0.658946
3,4133227119,0.53071594,-6.5459023,-78.90944,0.10381031,-0.11015463,0.20151311,17.743288,-21.968159,-21.843386,-0.018812,-0.006792,0.012766,0.624657,-1.027746,-1.023002
4,4133243786,0.5167694,-7.0481224,-78.39128,0.75226784,-0.08621168,0.13291818,24.85953,-23.921219,-23.71974,-0.006274,-0.008229,0.014981,1.038982,-1.426433,-1.418331
5,4133260453,0.4965515,-7.6487846,-77.77003,1.5330448,-0.06397915,0.052832186,33.42131,-26.29486,-25.98128,0.019277,-0.009295,0.015862,1.596004,-1.864681,-1.851352
6,4133277120,0.42687988,-8.176662,-77.06953,1.9895153,-0.02628231,0.008224964,39.936165,-28.128868,-26.96765,0.052436,-0.009733,0.015999,2.261607,-2.333495,-2.300813
7,4133293787,0.3015213,-8.63081,-76.27435,2.0955315,0.028413296,0.0021217465,44.309208,-29.399181,-26.572811,0.087362,-0.009259,0.016034,3.000094,-2.823481,-2.743693
8,4133310454,0.14263153,-9.078899,-75.38698,2.0516748,0.09161997,0.013894677,47.95516,-30.497894,-25.526936,0.121557,-0.007732,0.016266,3.799347,-3.331779,-3.169142
9,4133327121,-0.063064575,-9.478199,-74.4067,1.734293,0.16814041,0.05644709,49.966988,-31.177235,-23.374548,0.150462,-0.00493,0.017207,4.63213,-3.8514,-3.558718
10,4133343788,-0.29444122,-9.95908,-73.28521,1.4440126,0.24799967,0.09938121,52.86282,-32.13145,-21.190228,0.174529,-0.000797,0.018863,5.513177,-4.386924,-3.911888
