PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,4133143784,-171.0672607,55.62150955,-9.870909691,0,0,0,0,0,0
1,4133160451,-171.2351379,55.65539932,-10.00426674,-9.158514977,-0.681537926,-5.674926758,-3.873665333,-1.730445504,6.917959213
2,4133177118,-171.4738464,55.78715134,-10.17129898,-9.029425621,-0.758599043,-5.798527718,-6.442853451,-7.373631477,8.91245079
3,4133193785,-171.7516479,55.96405792,-10.35055542,-8.41853714,-0.897888601,-5.693273067,-8.164811134,-10.02181149,9.66047287
4,4133210452,-172.0948639,56.17710114,-10.57715702,-7.371816158,-0.263777912,-5.429563999,-9.710195541,-11.98581028,11.45469761
5,4133227119,-172.4300537,56.37200546,-10.90420151,-6.449691296,-0.781926095,-5.992050648,-4.187091827,-10.5158186,14.51191998
6,4133243786,-172.6869354,56.53797913,-11.20820045,-6.904205799,-1.305654407,-5.520840645,-0.616357446,-8.970972061,13.42116261
7,4133260453,-172.8855591,56.6979866,-11.45746422,-7.900356293,-1.530630469,-5.154296875,0.158754036,-8.893862724,11.51001644
8,4133277120,-173.1361389,56.8997879,-11.68206024,-8.521854401,-0.700799167,-5.059261799,-4.1725173,-11.51784897,10.94354057
9,4133293787,-173.493576,57.11978149,-11.99602699,-7.892090321,-0.066540912,-5.972628593,-6.05809021,-12.30749416,13.87421799
10,4133310454,-173.8902588,57.3859787,-12.37523651,-7.332992077,0.11752905,-5.790913105,-5.075024605,-14.91308498,16.13321686
11,4133327121,-174.307724,57.63208008,-12.78956223,-7.327317238,-0.666003585,-5.649675369,-4.493563652,-13.7079258,16.94174576
12,4133343788,-174.6872559,57.87969208,-13.17422676,-7.852566242,-1.104614019,-5.137061119,-3.671535015,-14.00266361,15.82033062
13,4133360455,-175.0944366,58.1130867,-13.56451607,-8.518885612,-0.906171143,-5.03113699,-4.996482372,-13.23327065,15.749856
14,4133377122,-175.4960785,58.34838867,-14.02454472,-8.705458641,-0.245470062,-5.496661186,-1.055155516,-13.26211452,17.78945541
15,4133393789,-176.1373901,58.65487289,-14.54235554,-8.036422729,0.076682493,-5.362952232,-12.41091347,-17.53502846,19.67858124
16,4133410456,-176.8312531,58.98588181,-15.06817627,-7.156904697,-0.895418406,-5.659895897,-15.06444359,-19.19696426,19.6656456
17,4133427123,-177.4747162,59.34869766,-15.41041946,-6.381459713,-2.624654531,-4.924231052,-21.40559959,-21.59952736,13.73788929
18,4133443790,-178.0578461,59.79093552,-15.58956909,-6.114791393,-2.785209656,-4.313758373,-26.16542816,-26.68478012,8.630390167
19,4133460457,-178.6797791,60.20643234,-15.7172966,-5.924058437,-2.095380545,-5.103476524,-31.1372757,-25.19210815,6.709330559
20,4133477124,-179.2720947,60.70862579,-15.68567848,-5.401591778,-2.008375645,-4.574765682,-37.66141891,-30.53240776,1.77901566
21,4133493791,179.9278564,61.26441956,-15.73790359,-4.383765697,-0.786344588,-4.246530533,-45.74910736,-33.73159027,3.891746283
22,4133510458,178.6310883,61.7190094,-16.15345192,-3.42262578,2.0768466,-5.649360657,-56.38997269,-27.82143974,13.7342844
23,4133527125,177.0938721,61.88168716,-16.91802406,-4.62058115,4.097765446,-7.096943378,-52.31060028,-10.98064041,23.45037842
24,4133543792,175.8045807,61.98323059,-18.17380905,-10.08616066,4.734661102,-6.056926727,-11.39049149,-8.708481789,37.11698151
25,4133560459,174.3262634,62.76651764,-19.88474274,-16.15398788,3.748398066,-3.355801344,1.74675715,-51.34016418,45.46773911
26,4133577126,173.0531921,63.75836182,-21.37760162,-20.15345764,1.417592883,-1.505835533,3.145203352,-63.96336365,35.61006927
27,4133593793,171.999176,64.31517792,-22.01886749,-10.64125156,0.18924436,-1.581812739,-29.07257462,-35.64630508,14.47788429
28,4133610460,170.6997223,64.66092682,-22.7028141,-6.679331303,-0.834824085,-7.114048004,-41.33857727,-23.47360611,16.4869194
29,4133627127,169.6100922,65.17041779,-23.57053947,-6.802121162,-0.039752759,-4.752873421,-18.65641022,-34.21651077,18.65383148
30,4133643794,168.2924042,65.59612274,-24.71718025,-9.954939842,0.414279044,-3.159606934,-16.95705032,-30.88724899,25.36683846
31,4133660461,166.9327698,66.01322937,-25.97267914,-9.832079887,0.281385303,-4.370535851,-13.32051182,-31.37598991,26.92365456
32,4133677128,165.5694733,66.40900421,-27.33166504,-9.330913544,0.574853659,-4.005490303,-7.627575397,-31.19167519,28.45476723
33,4133693795,164.0062103,66.70729828,-28.78915977,-8.545908928,1.146864295,-4.223515034,-14.00793362,-26.6986084,31.0293045
34,4133710462,162.3114777,67.03475952,-30.25512886,-8.718196869,1.033003211,-4.099113941,-21.24611473,-29.11214066,29.52945518
35,4133727129,160.5645599,67.29814911,-31.80014801,-8.593640327,1.515121222,-3.786593914,-19.82594681,-26.72828674,31.22838402
36,4133743796,158.9960785,67.61841583,-33.28675079,-9.437000275,1.303432941,-3.58161664,-12.17933941,-30.13934708,27.60126305
37,4133760463,157.440506,67.9133606,-34.80121613,-8.819664955,1.490953684,-3.401551247,-9.678136826,-29.47582245,27.51958466
38,4133777130,155.8924103,68.17910004,-36.26794815,-8.794075012,1.948167086,-3.874111414,-11.71695423,-27.94985962,26.0553627
39,4133793797,154.2586212,68.48879242,-37.75868607,-8.750889778,1.444145322,-3.727065325,-15.35928917,-31.04375648,24.27504158
40,4133810464,152.6725159,68.76563263,-39.24505234,-8.681259155,1.932211041,-2.625843763,-12.58008099,-29.65319824,23.81669617
41,4133827131,151.1291351,69.00800323,-40.76334763,-8.670064926,2.598024607,-1.290087461,-8.076507568,-28.5505867,24.25949669
42,4133843798,149.7164612,69.03725433,-42.16805267,-8.621863365,3.370806694,-1.941810966,-6.507277012,-16.67273903,27.5364399
